Sample,X,Y,Z
0,0.0537,-0.0405,0.9622
1,0.0686,0.0393,0.9966
2,0.0425,-0.0166,0.9651
3,-0.0093,-0.0090,1.0002
4,-0.0781,0.0120,0.9897
5,-0.0779,-0.0249,0.9631
6,-0.0574,0.0032,0.9927
7,-0.0139,-0.0100,0.9858
8,0.0574,-0.0273,0.9741
9,0.0764,-0.0105,0.9573
10,0.0615,0.0056,0.9651
11,0.0220,0.0002,0.9829
12,-0.0544,0.0151,0.9836
13,-0.0708,0.0066,0.9944
14,-0.0791,-0.0076,0.9836
15,-0.0525,-0.0159,0.9846
16,0.0242,-0.0422,0.9692
17,0.0510,-0.0071,0.9885
18,0.0640,-0.0039,0.9817
19,0.0620,-0.0127,0.9700
20,-0.0093,0.0166,0.9836
21,-0.0330,0.0002,0.9651
22,-0.0645,0.0049,0.9758
23,-0.0771,0.0283,0.9946
24,-0.0410,-0.0229,0.9709
25,0.0142,-0.0139,0.9817
26,0.0325,-0.0061,0.9897
27,0.0779,-0.0227,0.9690
28,0.0432,-0.0447,0.9888
29,-0.0164,0.0146,0.9924
30,-0.0237,-0.0220,0.9536
31,-0.0510,0.0544,0.9788
32,-0.0681,0.0054,0.9636
33,-0.0022,-0.0234,0.9927
34,0.0015,-0.0012,0.9807
35,0.0164,0.0195,0.9849
36,0.0427,-0.0229,0.9487
37,0.0083,-0.0493,0.9878
38,-0.0105,-0.0068,1.0227
39,-0.0127,-0.0339,0.9507
40,-0.0281,0.0364,0.9819
41,-0.0222,0.0139,0.9673
42,-0.0010,-0.0122,0.9907
43,0.0085,-0.0139,0.9780
44,-0.0190,-0.0051,0.9573
45,0.0217,0.0190,0.9653
46,-0.0029,-0.0012,0.9768
47,0.0083,-0.0151,0.9956
48,0.0088,-0.0303,0.9973
49,-0.0146,-0.0078,1.0044
50,-0.0303,-0.0215,0.9807
51,-0.0234,0.0205,0.9741
52,-0.0256,-0.0237,0.9663
53,-0.0081,-0.0063,0.9670
54,0.0132,0.0115,0.9670
55,0.0171,0.0017,0.9592
56,0.0181,0.0142,0.9780
57,0.0151,-0.0037,0.9976
58,0.0046,-0.0061,1.0002
59,-0.0225,-0.0298,0.9780
60,-0.0134,-0.0017,1.0002
61,-0.0342,-0.0466,0.9797
62,-0.0244,-0.0344,0.9915
63,0.0093,0.0137,0.9634
64,0.0266,0.0093,0.9565
65,0.0344,0.0249,0.9634
66,0.0049,-0.0247,0.9546
67,-0.0466,0.0305,1.0103
68,-0.0662,-0.0039,0.9604
69,-0.0559,0.0012,0.9902
70,-0.0149,-0.0151,0.9875
71,0.0520,-0.0559,0.9995
72,0.0742,-0.0217,1.0002
73,0.0391,-0.0139,0.9592
