Sample,X,Y,Z
0,0.0708,-0.0171,0.9253
1,0.0317,-0.0374,1.0168
2,0.0010,-0.0481,0.9683
3,-0.0454,-0.0322,1.0139
4,0.0024,-0.0298,1.0015
5,0.0049,-0.0229,0.9761
6,0.0222,-0.0259,0.9946
7,0.0222,-0.0281,1.0022
8,0.0376,-0.0471,0.9712
9,0.0078,-0.0508,1.0093
10,0.0110,-0.0657,0.9719
11,-0.0046,-0.0232,0.9778
12,0.0105,-0.0444,1.0090
13,0.0205,-0.0227,0.9514
14,-0.0042,-0.0349,1.0100
15,0.0356,-0.0303,0.9651
16,0.0200,-0.0276,0.9924
17,0.0032,-0.0364,0.9963
18,-0.0005,-0.0503,0.9985
19,-0.0193,-0.0432,0.9946
20,0.0237,-0.0291,0.9680
21,0.0117,-0.0286,1.0042
22,0.0320,-0.0271,0.9614
23,0.0161,-0.0452,1.0051
24,0.0271,-0.0459,0.9556
25,-0.0110,-0.0374,1.0122
26,0.0095,-0.0503,1.0005
27,0.0029,-0.0249,0.9585
28,0.0300,-0.0305,1.0151
29,0.0239,-0.0259,0.9563
30,0.0183,-0.0251,1.0051
31,0.0051,-0.0376,0.9897
32,-0.0183,-0.0317,0.9761
33,0.0110,-0.0400,0.9888
34,0.0190,-0.0369,1.0132
35,0.0347,-0.0449,0.9885
36,0.0530,-0.0195,0.9475
37,0.0190,-0.0342,1.0200
38,0.0049,-0.0334,0.9636
39,-0.0132,-0.0422,0.9985
40,-0.0012,-0.0137,0.9546
41,0.0088,-0.0405,1.0276
42,0.0449,-0.0271,0.9661
43,0.0295,-0.0334,0.9878
44,0.0303,-0.0110,0.9761
45,-0.0281,-0.0300,1.0405
46,0.0215,-0.0352,0.9595
47,0.0073,-0.0310,0.9995
48,0.0510,-0.0305,0.9917
49,0.0144,-0.0352,1.0103
50,0.0413,-0.0435,0.9517
51,-0.0076,-0.0242,0.9897
52,-0.0100,-0.0474,1.0012
53,0.0090,-0.0364,0.9670
54,0.0134,-0.0356,1.0002
55,0.0469,-0.0173,0.9788
56,0.0183,-0.0315,1.0042
57,0.0481,-0.0151,0.9731
58,0.0125,-0.0334,1.0071
59,0.0129,-0.0212,0.9653
60,-0.0110,-0.0427,1.0405
61,0.0000,-0.0254,0.9575
62,0.0000,-0.0298,0.9917
63,0.0244,-0.0220,0.9827
64,0.0364,-0.0398,0.9915
65,0.0344,-0.0435,0.9800
66,0.0215,-0.0300,0.9739
67,0.0049,-0.0291,1.0227
68,0.0212,-0.0457,0.9788
69,0.0044,-0.0210,0.9868
70,0.0032,-0.0244,1.0012
71,0.0437,-0.0203,0.9670
72,0.0127,-0.0193,0.9885
73,0.0278,-0.0310,0.9758
74,0.0005,-0.0486,1.0120
75,0.0037,-0.0457,0.9729
76,0.0166,-0.0430,1.0083
77,0.0183,-0.0308,0.9751
78,0.0359,-0.0168,0.9895
79,0.0186,-0.0261,0.9836
80,0.0251,-0.0127,0.9641
81,-0.0134,-0.0276,1.0259
82,0.0225,-0.0398,0.9771
83,-0.0044,-0.0415,1.0059
84,0.0518,-0.0195,0.9565
85,0.0317,-0.0400,1.0256
86,0.0454,-0.0386,0.9456
87,-0.0095,-0.0303,1.0298
88,-0.0093,-0.0391,0.9768
89,-0.0125,-0.0312,0.9878
90,0.0286,-0.0208,0.9888
91,0.0244,-0.0232,0.9819
92,0.0371,-0.0220,0.9829
93,0.0310,-0.0259,0.9973
94,0.0125,-0.0337,0.9875
95,-0.0015,-0.0173,0.9946
96,0.0142,-0.0361,0.9995
97,0.0190,-0.0264,0.9592
98,0.0198,-0.0330,1.0093
99,0.0190,-0.0227,0.9670
100,-0.0210,-0.0525,1.0229
101,0.0132,-0.0356,0.9683
102,0.0598,-0.0422,1.0542
103,0.1130,-0.0156,1.0737
104,0.1294,0.0671,0.9058
105,0.1274,0.3115,0.7747
106,0.1646,0.5637,0.7437
107,0.1619,0.8833,0.8108
108,0.2031,1.1001,1.1399
109,0.1218,1.3228,0.9026
110,0.0125,1.6245,0.9241
111,0.4487,1.2405,1.4917
112,-0.5171,1.3032,0.8596
113,-0.0999,1.7551,1.3403
114,-0.0703,1.4731,1.3489
115,-0.0212,1.2339,1.2405
116,-0.2339,1.1313,1.1282
117,-0.3064,0.8713,1.1919
118,-0.2690,0.6333,1.0969
119,-0.2356,0.3557,0.8306
120,-0.1682,0.2144,0.8159
121,0.1182,0.2539,0.6799
122,0.2246,0.3503,0.7368
123,0.3445,0.4644,0.7292
124,0.1252,0.6594,0.8062
125,-0.0750,0.8442,1.0491
126,-0.1685,1.0000,1.1331
127,-0.0720,1.0989,1.1646
128,0.0806,1.2026,1.1194
129,0.0142,1.2961,1.1548
130,-0.0369,1.3079,1.1138
131,-0.0715,1.2749,1.0872
132,-0.0820,1.1584,1.1235
133,-0.0129,0.9182,1.0005
134,0.0796,0.7112,0.8315
135,0.0154,0.6731,0.8071
136,0.0728,0.7200,0.8979
137,-0.0166,0.7593,1.0793
138,-0.1135,0.7708,1.2065
139,0.0593,0.7083,1.1851
140,0.0276,0.5356,1.0764
141,0.0791,0.3950,0.9836
142,0.0310,0.2598,0.8176
143,-0.0996,0.3135,0.7961
144,-0.1238,0.5029,0.8831
145,-0.0112,0.6382,1.0852
146,0.2148,0.7131,0.9556
147,0.1023,0.7971,0.9048
148,0.1792,0.7454,0.9790
149,-0.0291,0.6731,0.9116
150,-0.2209,0.7825,1.1069
151,-0.2258,1.0725,1.2085
152,-0.1592,1.5422,1.2935
153,0.1531,1.7690,1.2522
154,0.5593,1.1675,1.2698
155,0.1958,0.2783,1.1489
156,-0.1968,-0.7390,1.2161
157,-0.3997,-1.5024,0.8442
158,-0.7446,-1.8083,0.8430
159,0.0464,-1.8208,0.8423
160,0.1887,-1.6882,0.6995
161,0.3406,-1.6345,0.8977
162,0.0935,-1.5486,0.6067
163,-0.1257,-1.5522,0.7681
164,-0.0491,-1.1736,0.4729
165,0.2400,-0.5874,0.4229
166,0.6050,0.2000,0.5874
167,0.4836,0.9067,0.7131
168,0.2458,1.2993,1.3225
169,-0.3926,1.3413,1.6855
170,-0.8362,1.2317,1.3296
171,-0.7874,1.5754,0.7886
172,-0.2007,1.7717,1.4731
173,0.7253,1.8110,1.3157
174,0.6450,1.8381,1.3110
175,0.3455,1.1196,1.2844
176,-0.3716,0.4438,1.1096
177,-0.6079,-0.1321,1.0032
178,-0.2695,-0.4053,0.8813
179,0.1189,-0.5730,0.9045
180,0.4822,-0.5662,0.7747
181,0.2273,-0.6606,0.7729
182,-0.0278,-0.7507,1.0217
183,-0.3733,-0.7383,0.9624
184,-0.3169,-0.6667,1.0002
185,0.0002,-0.5271,0.7864
186,0.2285,-0.3699,0.7356
187,0.4539,-0.3762,0.7717
188,0.1365,-0.3777,0.8762
189,-0.0596,-0.2566,1.0891
190,-0.1082,-0.1794,1.2092
191,0.0417,0.0090,1.0872
192,0.2039,0.0583,1.1313
193,0.3286,0.0000,1.0415
194,-0.0808,-0.1753,0.9878
195,-0.3735,-0.2390,1.0090
196,-0.4377,-0.1702,0.9673
197,-0.3066,-0.0154,0.9778
198,0.1116,0.1665,1.0696
199,0.4722,0.3757,1.0962
200,0.4360,0.0999,1.0864
201,0.4800,-0.4839,0.8286
202,-0.2917,-0.7002,0.6362
203,-0.1843,-0.4634,0.7544
204,-0.2183,0.0215,0.9055
205,0.0386,0.4351,1.2717
206,0.2295,0.5876,1.2397
207,-0.0229,0.4136,1.1692
208,-0.1406,0.1042,0.9104
209,-0.1375,-0.1147,0.7104
210,0.0923,0.0510,0.7915
211,-0.0383,0.4185,0.9592
212,0.0454,0.7456,1.2717
213,-0.0352,0.7007,1.3420
214,-0.0747,0.4458,1.2180
215,-0.0562,0.2075,0.8774
216,0.2759,-0.1714,0.9946
217,0.3237,-0.3916,0.7476
218,0.0076,-0.4761,0.8403
219,-0.1177,-0.4832,0.8918
