Sample,X,Y,Z
0,-0.1733,-0.0491,0.9407
1,-0.1577,0.0137,1.0168
2,-0.0649,-0.0537,0.9302
3,0.0444,0.0393,0.9829
4,0.1167,0.0012,0.9758
5,0.1477,0.0088,0.9624
6,0.0610,0.0020,0.9722
7,0.0044,0.0066,0.9797
8,-0.0928,-0.0139,0.9575
9,-0.1045,-0.0305,0.9644
10,-0.0652,0.0010,0.9810
11,-0.0588,-0.0667,0.9429
12,-0.0188,0.0190,0.9976
13,0.0293,-0.0125,0.9368
14,0.0640,0.0369,0.9758
15,0.0793,-0.0134,0.9641
16,0.0298,0.0129,0.9797
17,-0.0247,0.0232,0.9758
18,-0.0896,-0.0295,0.9573
19,-0.0916,0.0142,0.9983
20,-0.0361,-0.0828,0.9429
21,0.0215,0.0066,0.9895
22,0.0564,0.0159,0.9497
23,0.0828,-0.0439,0.9368
24,-0.0134,0.0417,1.0188
25,-0.0630,-0.0034,0.9417
26,-0.0762,-0.0190,0.9768
27,-0.0950,0.0334,1.0061
28,0.0347,-0.0244,0.8997
29,0.0442,-0.0310,0.9907
30,0.0886,0.0288,0.9827
31,0.0623,-0.0852,0.9272
32,-0.0251,0.0798,1.0425
33,-0.0872,-0.0488,0.9221
34,-0.0664,0.0269,0.9761
35,-0.0625,-0.0022,0.9863
36,0.0002,-0.0103,0.9456
37,0.0188,-0.0015,0.9800
38,0.0078,-0.0200,0.9741
39,0.0254,-0.0227,0.9622
40,0.0300,-0.0266,0.9622
41,0.0376,-0.0061,0.9604
42,-0.0090,0.0073,0.9478
43,-0.0120,0.0088,0.9719
44,-0.0818,0.0002,0.9797
45,-0.1135,0.0261,0.9731
46,-0.0659,-0.0159,0.9731
47,0.0635,-0.0020,0.9927
48,0.1299,-0.0203,0.9497
49,0.1343,-0.0222,0.9741
50,0.0273,-0.0083,0.9788
51,-0.1204,-0.0288,0.9446
52,-0.1851,0.0237,0.9868
53,-0.1255,0.0002,0.9329
54,-0.0229,0.0032,0.9749
55,0.0859,0.0298,0.9836
56,0.1660,-0.0342,0.9468
57,0.0781,0.0386,1.0149
58,-0.0181,-0.0415,0.9556
59,-0.0662,-0.0769,0.9888
60,-0.1079,0.0054,0.9885
61,-0.0691,-0.0332,0.9192
62,-0.0164,0.0076,0.9771
63,0.0139,0.0176,0.9631
64,0.0562,0.0215,0.9270
65,0.0366,0.0591,0.9966
66,-0.0046,-0.0137,0.9602
67,-0.0105,-0.0164,0.9858
68,-0.0254,-0.0178,0.9758
69,-0.0525,-0.0510,0.9751
70,-0.0596,-0.0381,0.9868
71,0.0051,-0.0479,0.9771
72,0.0410,0.0200,0.9634
73,0.0330,0.0098,0.9446
74,0.0537,0.0403,0.9641
75,-0.0017,0.0176,0.9592
76,-0.0957,0.0193,0.9646
77,-0.0764,0.0132,0.9810
78,-0.0430,-0.0491,0.9573
79,-0.0032,-0.0293,0.9946
80,0.0305,-0.0312,0.9839
81,0.0508,-0.0735,0.9653
82,0.0256,0.0288,0.9944
83,-0.0247,-0.0066,0.9172
84,-0.0193,0.0251,0.9954
85,-0.0198,0.0261,0.9553
86,-0.0146,0.0122,0.9507
87,-0.0039,0.0483,0.9683
88,-0.0186,-0.0190,0.9719
89,0.0281,-0.0393,0.9683
90,0.0000,-0.0547,0.9946
91,-0.0393,-0.0081,0.9680
92,-0.0308,-0.0378,0.9631
93,-0.0103,-0.0276,0.9788
94,-0.0244,0.0144,0.9583
95,-0.0112,0.0466,0.9465
96,-0.0322,-0.0081,0.9670
97,0.0010,0.0396,0.9810
98,0.0217,-0.0320,0.9351
99,0.0376,0.0063,1.0110
100,0.0532,-0.0652,0.9504
101,0.0002,-0.0393,0.9839
102,-0.0254,0.0117,0.9878
103,-0.0837,-0.0647,0.9282
104,-0.0842,0.0828,1.0012
105,-0.0867,-0.0378,0.9292
106,0.0293,0.0676,0.9817
107,0.0325,0.0171,0.9524
108,0.0652,0.0112,0.9585
109,0.0667,-0.0244,0.9885
110,0.0273,-0.0332,0.9875
111,-0.0100,-0.0569,0.9783
112,-0.0476,-0.0479,0.9839
113,-0.0759,-0.0334,0.9670
114,-0.0945,-0.0105,0.9399
115,-0.0403,0.0291,0.9729
116,-0.0222,0.0205,0.9321
117,0.0535,0.0532,0.9673
118,0.0779,0.0447,0.9663
119,0.0706,-0.0159,0.9595
120,0.0281,0.0107,1.0081
121,-0.0322,-0.0771,0.9602
122,-0.0725,-0.0356,1.0063
123,-0.1011,-0.0532,0.9575
124,-0.0784,-0.0269,0.9731
125,-0.0356,0.0049,0.9595
126,0.0381,0.0208,0.9553
127,0.0564,0.0525,0.9663
128,0.0952,0.0347,0.9524
129,0.0454,-0.0051,0.9536
130,-0.0374,0.0249,0.9817
131,-0.0579,-0.0664,0.9553
132,-0.0793,-0.0403,0.9985
133,-0.0764,-0.0508,0.9749
134,-0.0210,-0.0247,0.9624
135,0.0486,0.0127,0.9973
136,0.0896,0.0039,0.9321
137,0.0200,0.0466,0.9858
138,-0.0593,0.0342,0.9944
139,-0.1626,-0.0615,0.9780
140,-0.1641,0.0706,0.9670
141,-0.0820,0.0417,0.8979
142,0.0322,0.1084,0.9517
143,0.1370,0.1113,0.9644
144,0.1177,0.1497,0.9690
145,0.0054,0.0984,1.0403
146,-0.0803,-0.0137,1.0327
147,-0.0625,0.0537,0.9536
148,-0.1079,0.4924,0.9202
149,-0.0449,0.8442,0.7866
150,-0.0105,1.0090,0.8733
151,-0.0095,1.1274,0.9380
152,-0.0461,1.0227,0.9426
153,-0.0642,1.0493,1.0679
154,-0.0833,0.9478,0.9995
155,-0.0342,1.3772,1.0071
156,-0.0574,1.7776,0.8889
157,-0.0544,1.9597,0.8901
158,-0.0579,1.8596,0.9465
159,-0.0710,1.3335,0.9624
160,-0.0317,0.8772,1.0286
161,0.0813,0.6841,1.0806
162,0.2991,0.7446,0.9927
163,0.3428,0.9097,0.9224
164,0.2476,1.3911,0.8999
165,-0.0669,1.5266,0.8127
166,-0.4026,1.1624,0.8831
167,-0.5298,0.6138,1.1128
168,-0.4419,0.1021,1.0366
169,-0.1489,0.1384,1.0217
170,0.2146,0.3989,0.9448
171,0.3528,0.7100,0.8853
172,0.2444,0.9888,0.9146
173,0.0356,0.8616,0.8752
174,-0.1938,0.7886,0.9077
175,-0.2871,0.5571,0.8745
176,-0.2024,0.5293,0.9692
177,-0.0774,0.7805,0.9739
178,0.1340,1.2524,1.0122
179,0.0823,1.0317,0.8511
180,-0.0105,0.2578,1.0864
181,-0.0020,-0.0430,1.1487
182,-0.0886,-0.1567,0.9700
183,0.0737,0.4241,0.9924
184,-0.0073,0.9231,0.8342
185,0.0271,1.7056,0.8374
186,0.0781,1.5884,0.7388
187,0.0149,1.0005,1.0356
188,0.0166,0.4299,1.0017
189,-0.0623,0.3669,0.8833
190,-0.1987,0.3372,1.0444
191,-0.1978,0.2573,1.1411
192,-0.2300,0.2092,1.1506
193,-0.0747,0.3074,1.0588
194,0.1782,-0.0369,0.9849
195,0.2471,-0.2024,0.9722
196,0.2532,0.1924,0.8608
197,-0.0200,0.8977,0.7502
198,-0.2681,0.7632,0.7505
199,-0.2646,-0.1692,1.0356
200,-0.1997,-1.0378,1.1206
201,-0.0403,-1.2205,0.9888
202,0.1357,-0.7739,1.0374
203,0.2424,-0.5251,0.9878
204,0.1477,-0.2600,1.1167
205,0.1460,0.3469,1.1887
206,-0.1748,0.6685,0.8530
207,-0.3115,0.5754,0.8958
208,-0.2520,-0.1682,0.9331
209,-0.2129,-0.5095,0.8491
210,0.1782,0.3035,0.8391
211,0.3442,0.5334,0.6096
212,0.3274,0.8530,0.9243
213,0.1423,0.7815,0.9290
214,-0.2175,0.5598,0.9709
215,-0.3018,0.3572,1.2798
216,-0.2478,-0.0918,1.1711
217,-0.1714,-0.0884,1.1899
218,0.1748,0.0696,1.0911
219,0.1487,0.1333,0.9624
220,0.0500,0.6487,0.9436
221,-0.0005,0.6860,0.8003
222,-0.0750,0.1960,0.7170
223,0.0117,-0.7097,0.9390
224,0.1667,-0.4673,1.0247
225,0.0542,0.1094,0.7856
226,0.0557,0.0894,1.0098
227,-0.1611,-0.4126,1.1262
228,-0.3169,-0.7039,0.9663
229,-0.2388,-0.2100,1.0708
230,-0.0947,0.0688,1.0513
231,0.1799,-0.4436,0.8774
232,0.3323,-0.2878,1.1216
233,0.2122,-0.2029,0.8042
234,0.0574,0.3513,0.8850
235,-0.1252,0.4377,0.9250
236,-0.1919,-0.4148,0.8374
