Sample,X,Y,Z
0,0.0247,0.0039,0.9641
1,-0.1208,-0.0815,0.9426
2,-0.1746,-0.0288,0.9875
3,-0.2000,-0.0354,0.9651
4,-0.0564,-0.0029,0.9556
5,0.0647,-0.0288,0.9946
6,0.1663,0.0117,0.9575
7,0.1411,0.0122,0.9700
8,0.0637,0.0371,0.9680
9,-0.0403,-0.0095,0.9673
10,-0.1428,0.0203,0.9663
11,-0.1445,-0.0364,0.9680
12,-0.0815,-0.0208,0.9761
13,-0.0037,-0.0149,0.9670
14,0.0750,0.0046,0.9741
15,0.0859,0.0161,0.9700
16,0.0759,0.0049,0.9524
17,0.0142,-0.0295,0.9758
18,-0.0647,0.0500,0.9917
19,-0.0742,-0.0403,0.9253
20,-0.0947,-0.0063,1.0054
21,-0.0105,-0.0322,0.9446
22,0.0188,-0.0571,0.9514
23,0.0530,0.0261,1.0132
24,0.0537,-0.0601,0.9368
25,-0.0144,0.0403,0.9817
26,-0.0327,0.0078,0.9614
27,-0.0630,-0.0349,0.9604
28,-0.0613,0.0352,0.9915
29,-0.0410,0.0044,0.9380
30,-0.0034,0.0508,0.9917
31,0.0806,-0.0801,0.9602
32,0.0913,-0.0266,0.9907
33,0.0864,0.0593,0.9778
34,0.0022,-0.0737,0.9509
35,-0.1133,0.0122,1.0217
36,-0.1438,-0.0627,0.9106
37,-0.1184,0.0662,0.9797
38,-0.0391,0.0217,0.9360
39,0.0684,-0.0215,0.9614
40,0.1343,0.0120,1.0071
41,0.0996,-0.0239,0.9504
42,0.0144,0.0410,0.9771
43,-0.0713,-0.0540,0.9731
44,-0.0952,-0.0881,0.9849
45,-0.1128,-0.0383,0.9709
46,-0.0415,0.0364,0.9504
47,-0.0164,0.0208,0.9507
48,0.0823,-0.0166,0.9829
49,0.1123,0.0259,0.9797
50,0.0725,0.0549,0.9475
51,0.0112,0.0723,0.9673
52,-0.0808,-0.0652,0.9529
53,-0.1204,-0.0601,1.0051
54,-0.1138,-0.0483,0.9751
55,-0.0522,-0.0073,0.9573
56,0.0342,-0.0254,0.9683
57,0.0938,-0.0217,0.9758
58,0.0935,-0.0217,0.9543
59,0.0671,0.0654,0.9712
60,-0.0239,0.0425,0.9592
61,-0.0610,0.0022,0.9758
62,-0.0989,-0.0488,0.9680
63,-0.0991,0.0139,0.9810
64,-0.0073,-0.0398,0.9507
65,0.0366,-0.0352,1.0015
66,0.0903,-0.0349,0.9680
67,0.0688,-0.0190,0.9631
68,-0.0110,0.0732,0.9829
69,-0.0759,0.0032,0.9321
70,-0.0667,0.0137,0.9927
71,-0.0520,-0.0132,0.9707
72,-0.0010,0.0249,0.9407
73,0.0244,0.0195,0.9771
74,0.0437,-0.0693,0.9719
75,0.0442,-0.0732,0.9797
76,0.0029,0.0217,0.9778
77,-0.0217,0.0110,0.9575
78,-0.0652,-0.0498,0.9761
79,-0.0505,0.0063,0.9895
80,-0.0537,0.0112,0.9358
81,-0.0020,0.0305,0.9692
82,0.0408,-0.0103,0.9749
83,0.0408,-0.0364,0.9475
84,0.0503,0.0178,0.9741
85,-0.0310,-0.0144,0.9575
86,-0.0422,-0.0203,0.9849
87,-0.0154,-0.0303,0.9956
88,-0.0544,0.0286,0.9612
89,-0.0066,0.0320,0.9573
90,0.0120,-0.0098,0.9683
91,-0.0098,-0.0249,0.9731
92,-0.0173,0.0110,0.9731
93,-0.0483,-0.0415,0.9683
94,0.0576,-0.0002,0.9661
95,-0.0166,-0.0466,0.9436
96,0.0344,0.0549,0.9875
97,0.0740,-0.1108,0.9446
98,-0.0347,0.0737,1.0103
99,-0.0439,0.0171,0.9297
100,-0.1011,-0.0427,0.9836
101,-0.0264,-0.0027,1.0022
102,-0.0295,-0.0681,0.9175
103,0.0178,0.1023,1.0100
104,0.0300,-0.0713,0.9270
105,0.0339,0.0107,0.9897
106,0.0027,-0.0059,0.9663
107,-0.0056,0.0159,0.9631
108,-0.0186,0.0554,0.9819
109,-0.0171,-0.0474,0.9429
110,-0.0286,0.0088,1.0002
111,-0.0205,-0.0308,0.9514
112,0.0071,-0.0081,0.9741
113,-0.0266,-0.0393,0.9709
114,-0.0120,-0.0247,0.9856
115,-0.0469,-0.0396,0.9475
116,-0.0007,-0.0024,0.9709
117,0.0334,0.0400,0.9456
118,0.0415,0.0037,0.9624
119,0.0774,-0.0059,0.9897
120,-0.0022,-0.0259,0.9631
121,-0.0852,0.0371,0.9709
122,-0.1616,-0.0144,0.9595
123,-0.0967,-0.0239,0.9788
124,-0.0051,-0.0537,0.9585
125,0.1145,0.0347,0.9858
126,0.1414,0.0222,0.9426
127,0.0896,0.0168,0.9819
128,-0.1580,-0.0435,1.0562
129,-0.3616,-0.0718,1.0559
130,-0.3049,0.0657,0.8950
