Sample,X,Y,Z
0,-0.0039,-0.0020,0.9536
1,-0.1077,-0.0469,0.9739
2,-0.1201,-0.0742,0.9729
3,-0.1235,-0.0999,0.9983
4,-0.0603,-0.0093,0.9875
5,0.0208,-0.0508,0.9624
6,0.0830,0.0615,1.0005
7,0.0818,-0.0022,0.9468
8,0.0825,0.1191,1.0024
9,0.0210,0.0076,0.9504
10,-0.0396,-0.0449,0.9858
11,-0.0579,-0.0535,1.0005
12,-0.1021,0.0054,0.9846
13,-0.0791,-0.0415,0.9700
14,-0.0388,-0.0938,0.9946
15,0.0344,-0.0615,0.9807
16,0.0891,0.0803,0.9771
17,0.0986,0.0918,0.9456
18,0.0369,0.0103,0.9885
19,-0.0449,-0.0251,0.9758
20,-0.1060,-0.0078,0.9731
21,-0.1011,0.0247,0.9895
22,-0.0496,-0.0857,0.9651
23,0.0730,-0.0410,1.0122
24,0.0825,0.0054,0.9917
25,0.0449,0.0068,0.9817
26,0.0198,-0.0027,1.0034
27,-0.0879,-0.0081,0.9768
28,-0.0789,-0.0259,0.9321
29,-0.0518,0.0217,0.9690
30,-0.0103,0.0364,0.9585
31,0.0806,0.0303,0.9888
32,0.0588,-0.0063,1.0005
33,-0.0066,-0.0908,0.9810
34,-0.0391,-0.0767,0.9895
35,-0.0566,0.0149,1.0034
36,-0.0398,0.0344,0.9807
37,0.0049,0.0117,0.9792
38,0.0237,0.0237,0.9778
39,0.0164,-0.0381,0.9504
40,-0.0020,0.0139,0.9829
41,-0.0066,-0.0012,0.9829
42,-0.0154,-0.0625,0.9661
43,0.0015,0.0034,1.0002
44,0.0007,0.0271,0.9788
45,-0.0195,-0.0300,0.9663
46,-0.0269,0.0518,1.0161
47,-0.0344,-0.0264,0.9331
48,-0.0066,-0.0190,1.0061
49,0.0110,-0.0466,0.9868
50,0.0010,-0.0383,0.9797
51,0.0049,-0.0059,0.9800
52,-0.0103,-0.0132,0.9741
53,-0.0046,-0.0010,0.9810
54,0.0042,0.0510,0.9465
55,0.0181,0.0356,0.9739
56,-0.0095,0.0364,0.9897
57,-0.0383,-0.0947,0.9722
58,-0.0300,-0.0327,1.0364
59,-0.0100,-0.0522,0.9858
60,-0.0078,0.0098,0.9915
61,-0.0142,-0.0247,0.9390
62,-0.0020,-0.0261,0.9680
63,-0.0159,0.0437,0.9893
64,0.0139,0.0293,0.9536
65,0.0259,0.0186,0.9751
66,0.0017,-0.0308,0.9895
67,0.0205,0.0110,0.9934
68,-0.0054,-0.0259,0.9888
69,-0.0479,-0.0344,0.9778
70,-0.0566,-0.0366,1.0042
71,-0.0435,-0.0027,0.9790
72,-0.0278,-0.0476,0.9700
73,0.0378,0.0168,0.9712
74,0.0549,0.0039,0.9556
75,0.0591,0.0344,1.0022
76,0.0049,0.0103,0.9749
77,-0.0457,-0.0017,0.9731
78,-0.0698,0.0339,0.9741
79,-0.0684,-0.0322,1.0002
80,-0.0396,-0.0833,0.9778
81,0.0195,-0.0298,1.0083
82,0.0676,0.0132,0.9858
83,0.0669,-0.0139,0.9683
84,0.0264,-0.0002,0.9868
85,-0.0120,0.0303,0.9741
86,-0.0417,-0.0454,0.9709
87,-0.0786,-0.0078,0.9644
88,-0.0625,0.0051,0.9534
89,-0.0149,0.0017,0.9712
90,-0.0017,-0.0088,1.0200
91,0.0164,-0.0090,0.9749
92,0.0386,0.0193,0.9836
93,0.0381,0.0083,0.9836
94,0.0227,-0.0249,0.9836
95,-0.0251,-0.0146,0.9763
96,-0.0366,-0.0442,0.9856
97,-0.0452,-0.0706,1.0042
98,-0.0237,-0.0002,0.9817
99,-0.0244,-0.0244,0.9299
100,0.0100,0.0593,0.9651
101,-0.0061,0.0454,0.9614
102,0.0176,0.0828,0.9924
103,-0.0049,0.0012,0.9771
104,-0.0020,-0.0598,0.9917
105,0.0261,-0.1177,1.0171
106,-0.0039,-0.0732,0.9983
107,-0.0015,-0.0090,0.9807
108,-0.0215,0.0125,0.9709
109,-0.0557,-0.0034,0.9817
110,-0.0549,0.0659,0.9683
111,-0.0603,0.0740,0.9512
112,0.0134,0.0156,0.9390
113,0.0752,-0.0522,0.9954
114,0.1133,-0.0205,1.0054
115,0.0757,-0.0300,0.9800
116,-0.0144,0.0220,1.0151
117,-0.1292,-0.1240,0.9592
