Sample,X,Y,Z
0,-0.0544,0.0422,1.0249
1,-0.0315,-0.0496,0.8765
2,-0.0779,-0.0100,1.0073
3,-0.0298,0.0369,0.9583
4,0.0076,-0.0774,0.8977
5,0.0464,0.0686,1.0325
6,0.0447,-0.0830,0.9409
7,0.0134,0.0239,0.9790
8,-0.0408,0.0151,0.9819
9,-0.0415,-0.0242,0.9866
10,-0.0857,0.0132,0.9788
11,-0.0566,-0.0188,0.9583
12,0.0146,-0.0024,0.9670
13,0.0479,-0.0059,0.9565
14,0.0791,-0.0229,0.9604
15,0.0725,-0.0371,0.9663
16,-0.0520,-0.0002,1.0024
17,-0.0737,0.0237,0.9189
18,-0.0657,-0.0496,0.9497
19,-0.0879,0.0403,1.0422
20,0.0132,-0.0457,0.9126
21,0.0256,0.0171,0.9927
22,0.0232,0.0054,0.9827
23,0.0337,-0.0466,0.9377
24,0.0088,0.0522,0.9768
25,-0.0225,-0.0537,0.9868
26,-0.0149,0.0264,0.9749
27,-0.0298,-0.0332,0.9438
28,-0.0352,0.0176,0.9954
29,-0.0239,-0.0034,0.9448
30,0.0029,-0.0420,0.9709
31,0.0166,0.0083,0.9663
32,-0.0215,-0.0242,0.9592
33,0.0098,0.0017,0.9526
34,-0.0557,-0.0388,1.0022
35,-0.0295,0.0571,0.9792
36,-0.0073,-0.0764,0.9214
37,0.0449,0.0742,1.0366
38,0.0654,-0.0562,0.9182
39,0.0286,0.0339,0.9878
40,-0.0251,-0.0356,0.9788
41,-0.0459,-0.0422,0.9614
42,-0.1123,0.0227,0.9856
43,-0.0688,-0.0422,0.9146
44,-0.0505,0.0327,0.9956
45,0.0381,0.0020,0.9595
46,0.0874,-0.0835,0.9563
47,0.0691,0.1094,1.0337
48,0.0308,-0.0979,0.8804
49,-0.0276,0.0469,1.0413
50,-0.0911,-0.0625,0.9553
51,-0.0830,-0.0278,0.9575
52,-0.0295,0.0271,0.9849
53,0.0154,-0.0405,0.9565
54,0.0356,0.0344,0.9690
55,0.0603,-0.0027,0.9514
56,0.0186,0.0090,0.9768
57,-0.0361,0.0178,0.9683
58,-0.0608,-0.0422,0.9546
59,-0.0801,0.0354,1.0149
60,-0.0266,-0.0732,0.9438
61,0.0283,-0.0320,0.9917
62,0.0618,-0.0088,0.9478
63,0.0476,-0.0090,0.9651
64,-0.0195,-0.0107,0.9790
65,-0.0505,0.0288,0.9624
66,-0.0664,0.0027,0.9448
67,-0.0588,0.0193,1.0051
68,-0.0396,-0.0046,0.9536
69,0.0244,-0.0083,0.9556
70,0.0662,-0.0347,1.0103
71,0.0688,-0.0198,0.9761
72,0.0344,-0.0256,0.9534
73,-0.0129,-0.0159,0.9966
74,-0.0918,-0.0410,0.9543
75,-0.1287,0.0757,0.9504
76,-0.0652,-0.0317,0.9221
77,-0.0088,0.0227,1.0154
78,0.0430,0.0063,0.9399
79,0.1221,-0.0317,0.9380
80,0.0295,0.0410,1.0591
81,0.0100,-0.0637,0.9058
82,-0.0649,-0.0430,1.0044
83,-0.0764,0.0718,1.0200
84,-0.0652,-0.1121,0.8997
85,-0.0146,0.1152,1.0403
86,0.0422,-0.1304,0.9009
87,0.0715,0.0845,0.9937
88,0.0266,-0.0178,0.9116
89,-0.0249,-0.0557,0.9934
90,-0.0571,0.0601,0.9985
91,-0.0967,-0.0808,0.8931
92,-0.0508,0.0674,1.0337
93,-0.0239,-0.0415,0.9756
94,0.0732,-0.0244,0.9360
95,0.0676,0.0159,1.0317
96,0.0745,0.0134,0.9583
97,0.0171,-0.0664,0.9299
98,-0.0439,0.0527,1.0269
99,-0.1055,-0.0522,0.9106
100,-0.1013,0.0232,0.9758
101,-0.0750,0.0293,0.9778
102,-0.0093,-0.0505,0.9377
103,0.0713,0.0344,0.9917
104,0.1077,-0.0710,0.9592
105,0.0334,0.0188,1.0032
106,0.0151,-0.0132,0.9387
107,-0.0359,-0.0601,0.9944
108,-0.0972,0.0281,0.9956
109,-0.0730,-0.0095,0.9026
110,-0.0557,0.0750,0.9934
111,0.0144,-0.0588,0.9517
112,0.0486,0.0085,0.9739
113,0.0498,0.0793,0.9565
114,0.0513,-0.1121,0.9583
115,-0.0110,0.0081,1.0618
116,-0.0908,-0.0842,0.9221
117,-0.0701,0.0293,0.9583
118,-0.0393,0.0044,0.9819
119,0.0002,-0.0332,0.9358
120,0.0352,-0.0095,0.9563
121,0.0662,0.0713,0.9780
122,0.0203,0.0024,0.9185
123,-0.0117,-0.0144,1.0247
124,-0.0679,0.0178,1.0103
125,-0.0908,-0.0249,0.9097
126,-0.0239,-0.0217,1.0054
127,-0.0237,-0.0220,1.0032
128,0.0977,-0.0403,0.9204
129,0.1917,0.0146,0.9836
130,0.2231,-0.0173,0.9846
131,0.2393,-0.0327,0.9280
132,0.1780,0.0811,0.9741
133,0.0964,-0.0442,0.9456
134,0.0571,0.0144,0.9993
135,0.2532,0.0046,0.9858
136,0.5452,-0.0735,0.9790
137,0.9358,-0.0530,1.0474
138,1.1692,-0.1304,0.9448
139,1.1653,-0.1194,1.0034
140,0.9390,-0.1753,1.0100
141,0.6809,-0.2302,0.9644
142,0.4583,-0.1235,0.9761
143,0.5549,-0.1169,0.9678
144,0.8625,-0.1443,0.9839
145,1.1167,-0.0601,0.9797
146,1.3198,0.0276,0.9270
147,1.1868,0.2285,0.9146
148,0.8108,0.2305,0.9282
149,0.5667,0.3433,1.0005
150,0.3582,0.2307,0.9612
151,0.4995,0.2390,1.1047
152,0.8254,0.1270,1.0532
153,0.9719,0.0332,1.0903
154,1.0247,0.0984,1.0581
155,0.7896,0.0698,0.9231
156,0.4368,0.1775,0.9507
157,0.2390,-0.0432,0.8784
158,0.1731,0.1184,0.9526
159,0.3635,0.1443,0.9487
160,0.7231,0.1177,0.9163
161,0.9680,-0.0168,0.9585
162,1.0522,0.0381,1.0198
163,1.0356,-0.0969,0.8948
164,0.8833,-0.1035,1.1008
165,0.7874,-0.1411,1.1587
166,0.7925,-0.2295,0.9456
167,0.8423,0.1218,1.0188
168,0.9692,0.1877,0.8948
169,0.9126,0.0798,0.8831
170,0.8286,0.1116,1.0315
171,0.7700,0.0129,0.9124
172,0.6917,-0.0742,0.9780
173,0.7378,-0.0928,1.0920
174,0.8735,-0.1826,1.0081
175,0.9954,-0.0669,1.0122
176,1.1135,-0.0276,1.0010
177,1.0278,0.1028,0.9749
178,0.7593,0.1326,0.8870
179,0.5474,0.1355,0.9817
180,0.2817,0.2039,0.9387
181,0.1760,0.0251,0.8733
182,0.2017,0.1431,1.0229
183,0.2747,-0.0994,0.9771
184,0.4878,-0.0833,1.0920
185,0.4583,-0.0374,1.0767
186,0.2893,-0.0750,0.9751
187,-0.0508,-0.0146,1.0171
188,-0.4087,0.1460,0.9077
189,-0.5659,-0.0461,0.7622
190,-0.4001,0.1399,0.9944
191,-0.1030,-0.1877,0.8159
192,0.1450,-0.0332,0.9426
193,0.3850,0.0427,1.0083
194,0.2620,-0.1863,0.9487
195,0.0266,0.0381,1.1567
196,-0.1597,-0.0386,1.0571
197,-0.1389,-0.1646,1.0002
198,0.0688,0.1450,1.1702
199,0.3667,0.0205,0.8518
200,0.5444,0.0215,0.9338
201,0.6135,0.1621,0.9985
202,0.3628,-0.0305,0.7297
203,0.0583,0.0857,0.9045
204,-0.1821,-0.0239,0.9771
205,-0.2078,-0.0234,0.9338
206,0.1050,0.0706,1.0618
207,0.5112,-0.0771,1.0911
208,0.7610,-0.2117,1.0093
209,0.6870,0.0408,1.0530
210,0.3704,-0.0508,0.8579
211,-0.1094,-0.0447,0.9790
212,-0.5083,0.1453,1.0366
213,-0.6580,-0.0217,0.7776
214,-0.5330,0.1682,1.0100
215,-0.2661,0.1565,0.8667
216,0.0293,-0.0208,0.9075
217,0.2144,0.1294,1.1851
218,0.1353,-0.4268,0.9114
219,-0.0100,-0.1323,1.1272
220,-0.1824,-0.1489,0.9563
221,-0.2473,-0.2019,0.9146
222,-0.1096,0.1855,1.0835
223,0.0269,-0.0830,0.7817
224,0.0752,0.2092,0.9211
225,0.0923,0.2271,0.8794
226,-0.1140,0.1855,0.9019
227,-0.1565,0.1682,1.1379
228,-0.2136,-0.2043,1.0042
229,-0.2529,-0.1187,1.0452
230,-0.0264,-0.1892,0.9731
231,0.1128,-0.1680,0.9648
232,0.2610,0.0154,1.0327
233,0.2866,0.0972,0.8928
234,0.1951,0.1064,0.8628
235,0.1047,0.2856,0.8696
236,0.0305,0.1111,0.7905
237,-0.0452,-0.0273,1.0793
238,-0.0496,-0.1497,1.1265
239,-0.0295,-0.3171,1.0132
240,-0.0884,-0.0835,1.1116
241,-0.0940,-0.2095,0.9182
242,-0.0671,-0.0063,1.0366
243,0.0334,-0.0071,0.9790
244,0.0312,0.0120,0.8645
245,0.0029,0.3394,0.8511
246,-0.0303,0.1812,0.7310
247,0.0215,0.1536,1.0012
248,0.0645,0.0388,1.0610
249,-0.0032,-0.3396,0.9360
250,0.0337,-0.0488,1.2056
251,0.0027,-0.2339,0.9221
252,-0.0593,-0.1113,1.0552
253,-0.0403,0.1719,1.1284
254,-0.1575,-0.1555,0.7651
255,-0.1372,0.3262,0.9663
256,-0.0452,0.0872,0.7571
257,-0.0889,0.1125,0.8645
258,0.1182,0.1279,1.0679
259,0.1902,-0.3137,0.9165
260,0.1106,-0.1167,1.0979
261,0.0544,0.0251,1.0217
262,-0.1267,-0.2183,0.8923
263,-0.1013,0.0449,1.2935
264,-0.0962,-0.1042,0.9282
265,-0.1516,0.0039,0.8970
266,-0.0310,0.4534,1.0334
267,0.0237,-0.0942,0.6184
268,0.0876,0.1304,1.0767
269,0.0845,-0.0286,0.9331
270,-0.0718,-0.2554,0.8188
271,-0.0701,0.1646,1.1196
272,-0.0210,-0.2310,0.8557
273,0.0503,0.0544,1.0891
274,0.1614,0.0913,1.0708
275,0.1287,-0.1448,0.9136
276,0.0427,0.2659,1.1223
277,-0.0933,-0.1082,0.7866
278,-0.2651,0.0425,1.0239
279,-0.1233,0.0037,1.0579
280,-0.0471,-0.1892,0.8433
281,0.0803,0.1692,1.0374
282,0.1697,-0.0471,0.7905
283,0.2021,-0.0413,0.9583
284,0.1770,0.0940,1.0864
285,-0.0984,-0.1375,0.8853
286,-0.1299,0.0259,1.0415
287,-0.0942,0.0229,0.9404
288,-0.0596,-0.0942,0.9634
289,0.1050,0.0676,1.1340
290,0.0825,-0.2559,0.9270
291,0.0149,0.1216,1.1108
292,0.0117,0.1033,0.8237
293,-0.0955,0.0217,0.8684
294,0.0808,0.2983,1.1108
295,0.1589,-0.2007,0.7336
296,0.1135,0.1631,1.0669
297,0.0984,0.0566,0.8669
298,-0.0703,-0.2788,0.8259
299,-0.0764,0.1389,1.2446
300,-0.0344,-0.2134,0.8860
301,-0.1223,-0.1055,1.0806
302,0.0376,0.1934,1.1147
303,-0.0427,-0.1606,0.7444
304,-0.0859,0.1145,1.1614
305,-0.0659,-0.0032,0.9712
306,-0.2070,0.0164,0.8147
307,-0.0239,0.1423,0.9407
308,0.0759,-0.1145,0.8547
309,0.1147,0.0083,1.0071
310,0.1985,-0.1204,0.9976
311,-0.0591,-0.1333,1.0413
312,-0.0569,0.0125,1.0120
313,-0.2126,-0.0630,0.8997
314,-0.2595,0.1431,1.1204
315,-0.1384,-0.0474,1.0061
316,-0.1238,0.0586,0.9546
317,0.0913,0.1443,0.9319
318,0.0854,-0.0056,0.8010
319,0.0735,0.0259,0.9526
320,0.1011,0.0063,0.9680
321,-0.1121,-0.1338,0.9475
322,-0.1399,-0.0173,0.9995
323,-0.1189,0.0073,0.9084
324,-0.1052,-0.0320,1.0198
325,0.0837,0.0625,1.1265
326,0.1453,0.0251,0.9946
327,0.1814,-0.0432,0.9341
328,0.0918,0.0627,1.0071
329,-0.0784,-0.0093,0.9153
330,-0.1272,-0.1079,0.9946
331,-0.1221,-0.0710,0.9778
332,-0.1008,0.0266,0.8433
333,0.0476,0.1697,0.8784
334,0.1558,0.0803,0.9333
335,0.2737,-0.0190,1.0337
336,0.1372,-0.1558,1.0076
337,-0.0889,-0.1038,1.0256
338,-0.1863,-0.0208,0.9839
339,-0.1931,-0.0801,0.9700
340,-0.0632,-0.0552,1.0989
341,0.0259,0.0300,0.9722
342,0.0408,-0.0378,0.8970
343,0.1018,0.2329,0.9390
344,-0.0100,-0.0029,0.7739
345,-0.1252,0.1870,1.0415
346,-0.0125,-0.0493,0.9329
347,0.0034,-0.1670,0.9602
348,0.0942,0.0332,1.0647
349,0.1191,-0.1353,0.8933
350,0.1362,-0.0400,1.1294
351,0.1089,-0.0627,1.0471
352,-0.0974,-0.0110,0.9565
353,-0.2527,0.0540,0.9553
354,-0.1804,0.1375,0.9036
355,-0.1743,0.0259,0.8989
356,-0.0032,0.0310,0.9988
357,-0.0042,-0.0774,0.8882
358,0.0352,-0.0232,0.9231
359,0.0527,-0.0210,0.8909
360,0.0474,-0.1628,0.9614
361,-0.0303,0.0640,1.1245
362,0.0305,-0.1133,0.9250
363,0.0835,0.0100,1.0269
364,0.0842,0.1663,0.9937
365,0.0117,-0.0054,0.9097
366,0.0239,0.1282,1.1624
367,-0.0361,-0.2200,0.9419
368,-0.1841,0.0193,0.9761
369,-0.1243,-0.0339,0.8931
370,-0.1123,-0.0005,0.9250
371,0.0430,0.0110,0.9583
372,0.0632,-0.0735,0.8665
373,0.0425,0.0654,0.9565
374,0.0562,0.0808,0.9006
375,-0.0459,-0.0046,0.8850
376,0.0339,0.0942,1.1353
377,-0.0100,-0.1765,1.0002
378,-0.0503,-0.0562,1.0784
379,0.0015,-0.0261,1.0100
380,-0.1047,-0.1401,0.9182
381,-0.0847,0.0745,1.0764
382,-0.1199,0.0015,0.9065
383,-0.1343,0.0195,0.9077
384,-0.0757,0.1445,0.8862
385,0.0447,0.0942,0.7505
386,0.0669,0.1421,1.0012
387,0.0208,-0.0667,1.0042
388,-0.1758,-0.2974,0.9709
389,-0.0977,-0.0129,1.1177
390,-0.1204,-0.1448,0.9270
391,-0.0020,-0.1191,1.1096
392,0.1956,-0.0730,1.1450
393,0.1785,-0.0525,0.9175
394,0.1265,0.1794,0.9524
