Sample,X,Y,Z
0,0.0759,0.0400,1.0054
1,0.1228,-0.0283,0.9348
2,0.0967,0.0776,0.9897
3,-0.0071,0.0103,0.9448
4,-0.0776,-0.0081,0.9761
5,-0.1121,0.0024,0.9910
6,-0.0933,-0.0508,0.9399
7,-0.0569,0.0393,0.9907
8,0.0093,-0.0537,0.9573
9,0.0757,-0.0522,0.9846
10,0.0403,0.0417,0.9839
11,0.0601,-0.0222,0.9321
12,0.0085,-0.0142,0.9927
13,-0.0400,0.0271,0.9751
14,-0.0427,-0.0339,0.9133
15,-0.0417,-0.0144,1.0112
16,-0.0347,0.0190,0.9543
17,-0.0149,0.0015,0.9185
18,-0.0356,-0.0068,1.0229
19,0.0117,-0.0613,0.9673
20,0.0068,0.0703,0.9602
21,-0.0083,0.0137,0.9768
22,0.0212,-0.0554,1.0083
23,0.0281,-0.0115,0.9497
24,-0.0303,0.0181,0.9504
25,0.0374,-0.0200,0.9690
26,-0.0039,-0.0913,0.9810
27,-0.0312,0.0640,0.9692
28,-0.0461,-0.0244,0.9153
29,-0.1016,-0.0066,1.0073
30,-0.0291,0.0002,0.9702
31,0.0220,0.0229,0.9260
32,0.0220,0.0452,1.0083
33,0.0764,-0.0540,1.0024
34,0.0522,-0.0403,0.9622
35,-0.0161,0.0149,0.9846
36,-0.0688,-0.0210,0.9446
37,-0.0747,-0.0383,0.9504
38,-0.0632,-0.0076,0.9810
39,-0.0020,-0.0017,0.9436
40,0.0420,0.0388,0.9729
41,0.0403,0.0510,0.9702
42,0.0215,-0.0137,0.9507
43,0.0032,-0.0378,1.0071
44,-0.0186,-0.0247,0.9946
45,-0.0457,-0.0093,0.9517
46,-0.0464,-0.0183,0.9790
47,-0.0386,-0.0776,0.9749
48,-0.0232,0.0010,0.9651
49,0.0549,0.0256,0.9312
50,0.0532,0.0322,0.9663
51,0.0220,0.0356,0.9729
52,-0.0178,-0.0271,0.9487
53,-0.0808,0.0002,1.0090
54,-0.0891,0.0442,0.9543
55,-0.0730,-0.0564,0.9409
56,0.0183,-0.0393,1.0315
57,0.1099,-0.0635,0.9575
58,0.0830,0.0115,0.9558
59,0.0564,0.0000,1.0129
60,-0.0393,-0.0278,0.9351
61,-0.1150,0.0596,0.9336
62,-0.1250,0.0339,0.9524
63,-0.1077,-0.0488,0.9573
64,0.0100,0.0269,0.9819
65,0.0725,-0.0183,0.9575
