Sample,X,Y,Z
0,-0.0991,0.0571,1.0103
1,-0.0259,0.0051,0.9514
2,0.0374,0.0054,0.9507
3,0.0735,0.0339,1.0286
4,0.0833,-0.0229,0.9771
5,0.0586,-0.0271,0.9631
6,-0.0242,-0.0669,0.9937
7,-0.0959,-0.0127,0.9817
8,-0.0984,-0.0403,0.9009
9,-0.0969,-0.0073,0.9915
10,0.0081,0.0376,0.9563
11,0.0442,-0.0090,0.9116
12,0.0842,0.1021,1.0083
13,0.0608,-0.0195,0.9575
14,0.0190,-0.0044,0.9758
15,-0.0630,-0.0461,1.0220
16,-0.0728,-0.0364,0.9719
17,-0.0881,-0.0725,0.9612
18,-0.0347,-0.0005,0.9897
19,0.0305,-0.0527,0.9214
20,0.0598,0.0193,0.9680
21,0.0496,0.0315,0.9573
22,0.0186,0.0344,0.9419
23,-0.0376,0.0789,0.9741
24,-0.0630,-0.0117,0.9609
25,-0.0513,-0.0037,0.9985
26,-0.0237,-0.0601,0.9937
27,0.0054,-0.0728,0.9768
28,0.0017,-0.0657,0.9885
29,0.0037,-0.0291,0.9709
30,0.0146,-0.0222,0.9426
31,0.0115,0.0747,0.9624
32,-0.0212,0.0347,0.9146
33,-0.0234,0.0618,0.9836
34,-0.0208,0.0066,0.9602
35,-0.0332,0.0005,0.9641
36,0.0129,-0.0137,0.9976
37,0.0107,-0.1162,0.9739
38,0.0078,-0.0371,1.0208
39,0.0146,-0.0757,0.9360
40,-0.0327,0.0125,0.9946
41,-0.0417,0.0430,0.9673
42,-0.0151,-0.0063,0.9019
43,-0.0383,0.0981,0.9976
44,-0.0083,0.0308,0.9233
45,-0.0022,-0.0232,0.9644
46,-0.0056,-0.0105,1.0073
47,0.0244,-0.0671,0.9507
48,0.0178,-0.0361,0.9944
49,-0.0027,-0.0496,1.0063
50,0.0134,-0.0586,0.9622
51,-0.0391,-0.0066,0.9790
52,-0.0403,0.0613,0.9761
53,-0.0332,0.0227,0.9126
54,-0.0293,0.0625,0.9778
55,0.0054,-0.0208,0.9585
56,0.0164,-0.0249,0.9524
57,0.0088,-0.0100,0.9749
58,0.0024,-0.0310,0.9761
59,-0.0276,-0.0166,0.9907
60,-0.0122,-0.0510,0.9917
61,0.0220,-0.0105,0.9661
62,-0.0442,0.0151,0.9712
63,-0.0127,0.0332,0.9553
64,-0.0222,-0.0090,0.9536
65,-0.0088,0.0518,0.9780
66,0.0247,-0.0408,0.9360
67,0.0024,-0.0188,0.9963
68,-0.0344,-0.0627,0.9663
69,-0.0400,0.0024,0.9612
70,-0.0474,-0.0359,0.9700
71,-0.0200,0.0100,0.9897
72,0.0322,-0.0034,0.9473
73,0.0688,0.0312,0.9612
74,0.0479,0.0122,0.9902
75,0.0100,-0.0139,0.9712
76,-0.0613,0.0073,0.9712
77,-0.0767,-0.0183,0.9692
78,-0.0913,-0.0476,0.9673
79,-0.0415,-0.0161,0.9624
80,0.0032,-0.0327,0.9448
81,0.0754,0.0396,0.9595
82,0.0791,-0.0435,0.9719
83,0.0193,0.0125,0.9897
84,-0.0249,0.0168,0.9604
85,-0.0566,0.0156,0.9749
86,-0.0793,-0.0088,0.9761
87,-0.0508,-0.0583,0.9712
88,0.0039,-0.0183,0.9641
89,0.0393,-0.0195,0.9690
90,0.0303,0.0227,0.9670
91,0.0137,-0.0044,0.9504
92,-0.0156,-0.0012,0.9846
93,-0.0427,-0.0068,0.9612
94,-0.0444,0.0181,0.9897
95,-0.0266,-0.0066,0.9612
96,-0.0063,-0.0220,0.9680
97,0.0471,-0.0112,0.9692
98,0.0330,-0.0469,0.9543
99,0.0002,0.0120,0.9963
100,-0.0334,-0.0361,0.9419
101,-0.0603,0.0042,0.9919
102,-0.0566,0.0208,0.9702
103,-0.0139,-0.0107,0.9348
104,0.0435,0.0413,1.0012
105,0.0493,-0.0256,0.9680
106,0.0447,-0.0337,0.9653
107,-0.0239,-0.0486,0.9741
108,-0.0601,0.0261,0.9661
109,-0.0725,-0.0425,0.9390
110,-0.0522,0.0159,0.9751
111,-0.0059,0.0046,0.9866
112,0.0449,-0.0088,0.9390
113,0.0391,0.0105,1.0107
114,0.0603,0.0369,0.9563
115,-0.0232,-0.0691,0.9360
116,-0.0386,0.0315,1.0308
117,-0.0813,-0.1140,0.9312
118,-0.0679,0.0391,0.9731
119,-0.0171,0.0208,0.9700
120,0.0364,-0.0044,0.9390
121,0.0557,-0.0144,0.9761
122,0.0662,0.0261,0.9897
123,0.1648,0.0176,0.9653
124,0.6506,-0.0056,1.0220
125,1.1692,0.0205,1.0728
126,1.8770,0.0527,1.0190
127,1.9980,-0.0911,0.9878
128,1.9980,0.0120,0.9917
129,1.8745,-0.0615,0.9075
