Sample,X,Y,Z
0,-0.0464,-0.0649,0.9673
1,-0.0640,0.0203,0.9871
2,-0.0327,-0.0479,0.9377
3,-0.0024,0.0374,0.9976
4,0.0332,-0.0728,0.9583
5,0.0427,0.0095,0.9790
6,-0.0044,-0.0320,0.9829
7,0.0002,0.0649,0.9741
8,-0.0195,-0.0771,0.9426
9,-0.0464,0.0671,1.0024
10,-0.0522,-0.0310,0.9146
11,-0.0278,-0.0154,0.9778
12,-0.0122,0.0256,0.9966
13,0.0088,-0.0317,0.9165
14,0.0408,-0.0281,1.0073
15,0.0195,-0.0269,0.9878
16,0.0122,0.0286,0.9390
17,-0.0281,0.0110,0.9836
18,-0.0508,-0.0605,0.9954
19,-0.0466,0.0005,0.9592
20,-0.0432,0.0112,0.9465
21,0.0151,0.0269,0.9846
22,0.0464,-0.0400,0.9438
23,0.0364,0.0146,0.9683
24,0.0056,-0.0168,0.9741
25,-0.0078,-0.0242,0.9839
26,-0.0530,0.0171,0.9827
27,-0.0696,-0.0156,0.9526
28,-0.0286,-0.0449,0.9829
29,-0.0059,-0.0303,0.9729
30,0.0264,0.0540,0.9438
31,0.0330,-0.0312,0.9622
32,0.0154,-0.0112,1.0120
33,-0.0188,-0.0051,0.9380
34,-0.0312,0.0378,0.9553
35,-0.0366,-0.0254,0.9866
36,0.0090,-0.0474,0.9719
37,0.0137,0.0427,0.9534
38,0.0105,-0.0444,0.9614
39,-0.0049,-0.0168,1.0112
40,-0.0349,-0.0388,0.9397
41,-0.0410,0.0610,0.9780
42,-0.0427,-0.0061,0.9514
43,-0.0125,-0.0393,0.9614
44,0.0193,0.0525,0.9797
45,0.0276,-0.0256,0.9448
46,0.0579,-0.0176,1.0112
47,0.0171,-0.0684,0.9861
48,-0.0220,-0.0056,0.9478
49,-0.0542,-0.0173,0.9673
50,-0.0913,-0.0366,0.9595
51,-0.0540,0.0222,0.9534
52,-0.0073,0.0234,0.9409
53,0.0354,0.0613,0.9875
54,0.0857,0.0034,0.9612
55,0.0532,-0.0095,0.9683
56,0.0056,0.0444,1.0188
57,-0.0518,-0.0730,0.9517
58,-0.0718,-0.0603,1.0120
59,-0.0569,-0.0388,0.9849
60,-0.0356,-0.0369,0.9165
61,0.0259,-0.0166,0.9846
62,0.0225,-0.0081,0.9612
63,0.0435,0.0603,0.9211
64,0.0007,0.0159,0.9478
65,-0.0378,0.0420,1.0022
66,-0.0242,-0.0090,0.9360
67,-0.0408,0.0293,0.9966
68,-0.0295,-0.0400,1.0093
69,0.0125,-0.1189,0.9800
70,0.0032,0.0088,1.0161
71,0.0181,-0.0129,0.9241
72,0.0237,0.0264,0.9624
73,-0.0220,-0.0073,0.9612
74,-0.0093,0.0066,0.9341
75,-0.0447,0.0344,0.9653
76,-0.0352,-0.0071,0.9651
77,0.0132,0.0129,0.9683
78,-0.0237,-0.0474,0.9797
79,0.0364,-0.0718,0.9895
80,0.0115,-0.0779,0.9856
81,-0.0439,0.1152,0.9690
82,-0.0505,-0.0586,0.9241
83,-0.0488,0.0044,1.0347
84,-0.0164,0.0005,0.9446
85,0.0488,0.0923,0.9331
86,0.0444,0.0273,0.9905
87,0.0469,-0.1021,0.9719
88,0.0168,0.0305,0.9751
89,-0.0781,-0.0625,0.9331
90,-0.0437,-0.0139,1.0120
91,-0.0813,-0.0601,0.9529
92,-0.0288,0.0029,0.9497
93,-0.0012,-0.0337,0.9807
94,0.0359,0.0356,0.9800
95,0.0696,0.0764,0.9526
96,0.0142,0.0354,0.9622
97,0.0095,-0.0515,0.9985
98,-0.0442,-0.0562,0.9705
99,-0.0613,0.0396,0.9592
100,-0.0278,-0.0425,0.9504
101,-0.0090,-0.0620,1.0063
102,-0.0203,-0.0220,0.9612
103,0.0508,-0.0054,0.9553
104,0.0220,0.0657,0.9888
105,-0.0012,-0.0015,0.9341
106,-0.0159,0.0332,0.9741
107,-0.0515,-0.0603,0.9622
108,-0.0115,0.0430,0.9915
109,-0.0403,-0.0281,0.9358
110,-0.0166,-0.0459,1.0081
111,0.0239,-0.0186,0.9712
112,-0.0017,-0.0269,0.9377
113,0.0066,0.0735,0.9985
114,0.0139,-0.0938,0.9536
115,-0.0049,0.0847,0.9963
116,-0.0220,-0.0188,0.9146
117,-0.0354,0.0039,0.9976
118,-0.0249,-0.0261,0.9592
119,-0.0383,-0.0195,0.9575
120,0.0034,0.0159,0.9692
121,0.0210,-0.0959,0.9758
122,0.0098,0.0510,0.9944
123,0.0256,-0.0361,0.9380
124,-0.0063,0.0596,1.0161
125,-0.0273,-0.0234,0.9448
126,-0.0244,-0.0139,0.9524
127,-0.0715,0.0073,1.0042
128,-0.1384,-0.0042,1.0081
129,-0.1707,-0.0769,1.0305
130,-0.1328,0.0847,0.9546
131,-0.0796,0.6575,0.8694
132,-0.0515,0.9729,0.6829
133,-0.0093,1.2280,0.9028
134,-0.0691,1.6125,0.9358
135,-0.2209,1.6243,0.8323
136,-0.3601,1.6917,1.1155
137,-0.3860,1.1877,1.0715
138,-0.2581,1.0393,1.0920
139,-0.0239,1.0249,1.1011
140,0.2017,0.9866,1.0198
141,0.3340,0.8530,0.9819
142,0.2700,0.7161,0.9934
143,0.1475,0.6086,0.9065
144,0.0750,0.4758,0.8215
145,0.0813,0.6204,0.9055
146,0.1606,0.6555,0.7903
147,0.2000,0.9375,0.8169
148,0.2100,1.0493,0.8970
149,0.1191,0.8696,0.8823
150,-0.1204,0.8528,1.0471
151,-0.2197,1.0972,1.0229
152,-0.2048,1.1858,0.9778
153,-0.1282,1.2061,1.0630
154,0.0125,0.9858,1.0015
155,0.0679,1.0862,1.0598
156,0.1189,1.0022,1.0305
157,0.0645,1.0078,1.0933
158,0.0466,1.0032,0.9612
159,-0.0076,0.8567,0.8801
160,-0.0156,1.0129,0.9221
161,-0.0989,0.7476,0.7427
162,-0.2126,0.7190,0.8577
163,-0.2119,0.5625,0.9116
164,-0.2097,0.3723,0.8665
165,-0.1851,0.3013,0.9858
166,0.0610,0.0745,1.0579
167,0.1736,0.3872,1.0630
168,0.2278,0.6743,0.9526
169,0.3086,0.9983,0.9885
170,0.0378,0.9282,0.9575
171,-0.2888,0.9915,1.0061
172,-0.5740,1.0149,0.9602
173,-0.6980,0.9417,0.8918
174,-0.4089,0.6506,0.9417
175,0.1362,0.4016,0.9846
176,0.5686,0.4004,1.0425
177,0.7131,0.6113,0.8931
178,0.6292,0.7749,0.8325
179,0.1729,1.0891,0.8186
180,-0.3928,1.1409,0.9368
181,-0.5825,0.4529,1.0786
182,-0.6921,-1.4526,1.3518
183,-0.3179,-1.9980,1.7202
184,0.2100,-1.9983,1.2356
185,0.4177,-1.8816,0.9038
186,0.6018,-1.3513,0.9292
187,0.3345,-1.0933,0.5012
188,-0.1030,-0.0400,0.4819
189,-0.2935,0.7065,0.2690
190,-0.5925,0.4778,0.2712
191,-0.4585,0.4907,0.9009
192,-0.0710,0.2141,1.0032
193,0.1858,0.6064,1.3110
194,0.4565,0.8059,1.5266
195,0.4326,0.4644,1.4751
196,0.2646,0.7485,1.4927
197,-0.0002,1.2319,1.1812
198,-0.3291,1.9568,0.9839
199,-0.3591,1.8372,0.6892
200,-0.2874,0.8948,0.8000
201,-0.1309,0.9380,0.7319
202,0.0425,0.8999,0.5366
203,0.1633,0.5093,0.8608
204,0.1880,-0.6860,1.1731
205,0.0471,-1.4109,1.2173
206,-0.2393,-1.8181,1.0142
207,-0.2722,-1.7778,1.1848
208,-0.1340,-1.5554,1.0874
209,0.0378,-0.6150,0.9409
210,0.3196,0.7275,0.7788
211,0.3979,1.0217,0.4641
212,0.1694,0.7986,0.8176
213,-0.1008,0.0601,0.8899
214,-0.3269,-0.6108,0.8918
215,-0.4714,-1.1157,1.1917
216,-0.2573,-1.2839,1.2983
217,-0.0430,-0.5308,1.2161
218,0.2983,0.6047,1.0803
219,0.3262,0.9312,0.9849
220,0.2483,0.9553,0.9885
221,0.0833,0.3354,0.8188
222,-0.0598,0.1658,0.8811
223,-0.0476,-0.1868,0.9028
224,0.0017,-0.4741,0.9836
225,-0.0195,0.0259,1.1731
226,-0.1072,-0.1660,0.7515
227,-0.1475,-0.5933,0.9329
228,-0.2280,-0.9724,1.1587
229,-0.1606,-0.9187,0.8804
230,0.0032,0.3179,1.0190
231,0.0784,1.0637,0.7512
232,-0.0312,1.2026,0.7085
233,0.1194,0.7837,0.9917
234,0.0464,0.2139,1.0562
235,-0.0200,-0.1724,1.0276
236,-0.0081,-0.6501,1.0737
237,-0.0417,-0.3450,1.2385
238,-0.0774,0.1948,0.9517
239,-0.0168,0.8696,0.9331
240,-0.0559,0.7268,0.9612
241,0.1543,0.0774,0.9019
242,0.1221,-0.0444,0.8765
243,-0.0613,0.2913,0.8274
