Sample,X,Y,Z
0,0.0740,0.0300,0.9585
1,0.0667,-0.0217,0.9263
2,0.0076,0.0300,1.0120
3,-0.0452,-0.0107,0.9810
4,-0.0679,-0.0166,0.9622
5,-0.0691,-0.0486,1.0071
6,-0.0493,-0.0452,0.9771
7,-0.0039,-0.0547,0.9290
8,0.0239,0.0225,0.9954
9,0.0393,0.0259,0.9429
10,0.0376,-0.0212,0.9319
11,0.0020,0.0591,1.0110
12,-0.0171,-0.0156,0.9241
13,-0.0408,0.0134,0.9741
14,-0.0593,0.0171,0.9927
15,-0.0386,-0.0854,0.9507
16,-0.0105,-0.0283,1.0093
17,0.0381,-0.0281,0.9878
18,0.0532,-0.0349,0.9575
19,-0.0039,0.0515,0.9797
20,-0.0286,0.0608,0.9504
21,-0.0630,-0.0505,0.9185
22,-0.0442,0.0354,1.0139
23,-0.0159,-0.0310,0.9387
24,0.0229,0.0120,0.9504
25,0.0554,-0.0278,0.9941
26,0.0359,-0.0737,0.9700
27,0.0000,-0.0366,0.9702
28,-0.0342,0.0085,0.9778
29,-0.0710,0.0430,0.9651
30,-0.0901,0.0024,0.9624
31,-0.0247,-0.0027,0.9758
32,0.0164,0.0088,0.9673
33,0.0752,0.0261,0.9407
34,0.0513,0.0022,0.9807
35,0.0273,-0.0422,0.9641
36,-0.0459,-0.0703,0.9751
37,-0.0894,-0.0212,0.9897
38,-0.0544,-0.0488,0.9390
39,-0.0281,0.0410,0.9895
40,-0.0129,0.0413,0.9526
41,0.0520,-0.0151,0.9390
42,0.0481,0.0208,0.9985
43,0.0283,0.0298,0.9619
44,-0.0103,-0.0259,0.9592
45,-0.0669,-0.0005,1.0178
46,-0.0698,-0.0728,0.9670
47,-0.0542,-0.0396,0.9663
48,-0.0271,-0.0122,0.9604
49,0.0439,0.0308,0.9624
50,0.0659,0.0134,0.9458
51,0.0315,-0.0088,0.9758
52,0.0015,0.0513,0.9712
53,-0.0552,-0.0515,0.9253
54,-0.0750,0.0288,1.0276
55,-0.0554,-0.0488,0.9749
56,-0.0203,-0.0259,0.9622
57,0.0205,-0.0383,1.0073
58,0.0483,-0.0071,0.9729
59,0.0466,-0.0159,0.9253
60,0.0317,0.0261,0.9915
61,-0.0430,0.0571,0.9651
62,-0.0688,-0.0591,0.9243
63,-0.0684,0.0210,1.0178
64,-0.0527,0.0161,0.9573
65,0.0251,-0.0732,0.9165
66,0.0542,0.0232,1.0657
67,0.0952,-0.0234,0.9338
68,0.0234,-0.0615,0.9475
69,-0.0217,0.0283,1.0393
70,-0.0942,-0.0571,0.9368
71,-0.0894,0.0542,0.9448
72,-0.0959,-0.0098,0.9731
73,-0.0232,0.0718,0.9565
74,0.0627,-0.0811,0.9133
75,0.0771,0.0588,1.0491
76,0.0750,-0.0549,0.9282
77,0.0293,0.0107,0.9749
78,-0.0127,0.0005,1.0178
79,-0.0786,-0.1030,0.9592
80,-0.1189,-0.0171,0.9807
81,-0.0769,0.0002,0.9771
82,-0.0278,0.0564,0.9231
83,0.0220,-0.0281,0.9116
84,0.0950,0.0422,1.0161
85,0.0791,-0.0408,0.9282
86,0.0188,0.0391,0.9849
87,-0.0020,0.0259,0.9924
88,-0.0647,-0.0664,0.9807
89,-0.0640,-0.0293,1.0063
90,-0.0566,-0.0764,0.9731
91,-0.0647,0.0203,0.9749
92,-0.0359,-0.0195,0.9290
93,0.0115,0.0400,0.9485
94,0.0188,0.0012,0.9419
95,0.0859,0.0266,0.9653
96,0.0271,-0.0015,0.9719
97,-0.0022,0.0410,0.9995
98,-0.0098,-0.0310,0.9604
99,-0.0696,-0.0339,1.0139
100,-0.0620,-0.0396,0.9927
101,-0.0498,-0.0911,0.9478
102,-0.0110,0.0435,0.9954
103,0.0415,-0.0420,0.9133
104,0.0464,0.0872,0.9670
105,0.0212,0.0044,0.9260
106,-0.0068,0.0356,0.9641
107,-0.0613,-0.0054,0.9749
108,-0.0691,-0.0552,0.9856
109,-0.0420,0.0110,1.0037
110,0.0134,-0.0654,0.9375
111,0.0366,-0.0286,1.0178
112,0.0671,-0.0339,0.9700
113,0.0127,0.0054,0.9573
114,-0.0156,0.0562,0.9780
115,-0.0620,-0.0188,0.9407
116,-0.0935,0.0422,0.9780
117,-0.0598,-0.0405,0.9094
118,-0.0217,0.0579,1.0051
119,0.0300,-0.0208,0.9592
120,0.0498,-0.1172,0.9614
121,0.0618,0.0303,1.0425
122,0.0474,-0.0532,0.9124
123,-0.0222,0.0623,0.9827
124,-0.0684,-0.0242,0.9858
125,-0.0605,-0.0269,0.9565
126,-0.0732,0.0227,0.9741
127,-0.0422,0.0342,0.9436
128,0.0708,0.0164,0.9514
129,0.2495,-0.0144,0.9807
130,0.3467,-0.0510,0.9897
131,0.3806,0.0132,0.9885
132,0.3958,-0.0151,0.9722
133,0.2754,-0.0122,1.0012
134,0.4719,0.0208,0.9966
135,0.7698,-0.0996,0.9702
136,1.2122,0.0862,1.0454
137,1.6116,-0.1350,0.8931
138,1.6829,-0.0320,1.0044
139,1.4702,-0.2183,1.0110
140,1.0090,-0.3806,1.0103
141,0.5032,-0.4285,1.0249
142,0.2729,-0.2661,0.9856
143,0.3374,-0.0579,0.8967
144,0.5969,0.2207,0.9497
145,0.9612,0.3735,0.9224
146,1.0608,0.4263,0.8804
147,1.0015,0.3909,0.9446
148,0.6655,0.2463,1.0061
149,0.3286,0.0752,1.0667
150,0.1953,-0.0447,1.1655
151,0.3196,-0.0417,1.1001
152,0.6851,0.0383,1.0032
153,0.9907,0.1641,0.9456
154,1.1975,0.0608,0.8921
155,1.0298,0.0679,0.9104
156,0.6506,0.1880,0.9165
157,0.4336,0.2996,0.8882
158,0.2676,0.2654,0.9299
159,0.5210,0.0134,1.0481
160,0.9312,-0.3813,0.9768
161,1.1995,-0.2878,1.1606
162,1.3706,-0.1255,1.0784
163,1.2288,-0.1658,0.9165
164,0.8394,0.2166,1.0940
165,0.6331,0.1157,0.8286
166,0.5081,0.2754,0.9185
167,0.6108,0.1816,0.9827
168,0.8989,0.0750,0.8938
169,1.0969,0.0298,0.9604
170,1.2571,-0.1228,1.0601
171,1.1340,-0.3328,1.0337
172,0.9351,-0.3608,1.0540
173,0.7610,-0.0276,1.0757
174,0.5193,-0.0430,0.8530
175,0.5461,0.2612,1.0151
176,0.6460,0.2043,0.9368
177,0.7961,0.1230,0.9097
178,0.8694,0.3164,1.0425
179,0.7268,0.2324,0.8823
180,0.4653,0.0225,0.9260
181,0.0403,-0.1924,1.1118
182,-0.2947,-0.2007,1.0911
183,-0.3801,-0.3049,0.9761
184,-0.4097,-0.0686,1.0649
185,-0.3801,-0.0603,0.8765
186,-0.4880,0.0352,0.8362
187,-0.7283,0.1882,0.9797
188,-0.6960,-0.0110,0.7800
189,-0.5574,0.1184,0.9084
190,-0.1975,0.0879,0.9312
191,0.3445,-0.1775,0.9341
192,0.6516,0.0327,1.2241
193,0.7388,-0.1006,1.0540
194,0.6060,-0.1301,0.9905
195,0.2305,-0.0132,1.0991
196,0.0837,-0.0247,0.9260
197,0.0732,0.1802,0.9829
198,0.2573,0.1089,0.9553
