Sample,X,Y,Z
0,0.0879,-0.0188,0.9670
1,0.0527,0.0103,1.0142
2,0.0132,-0.0166,0.9211
3,-0.0547,0.0576,0.9585
4,-0.0627,0.0259,0.9729
5,-0.0537,-0.0366,0.9441
6,-0.0215,0.0212,0.9785
7,-0.0044,-0.0352,0.9641
8,0.0371,-0.0112,0.9839
9,0.0417,-0.0505,0.9827
10,0.0227,-0.0229,0.9800
11,0.0352,-0.0105,0.9719
12,-0.0725,-0.0251,0.9690
13,-0.0601,0.0540,0.9819
14,-0.0720,0.0015,0.9075
15,-0.0696,0.0493,0.9917
16,0.0579,-0.0110,0.9641
17,0.0847,-0.0515,0.9641
18,0.0769,0.0657,1.0061
19,0.0273,-0.0813,0.9194
20,-0.0845,-0.0234,1.0190
21,-0.1050,-0.0283,0.9761
22,-0.0830,-0.0408,0.9233
23,-0.0405,0.0552,1.0042
24,0.0693,-0.0264,0.9397
25,0.0801,0.0083,0.9595
26,0.0713,0.0413,0.9849
27,-0.0239,-0.0168,0.9458
28,-0.0474,0.0142,0.9868
29,-0.0444,-0.0532,0.9651
30,-0.0735,-0.0090,0.9768
31,0.0500,-0.0244,0.9741
32,0.0054,-0.0388,0.9771
33,0.0210,0.0481,0.9768
34,-0.0085,-0.0681,0.9341
35,-0.0403,0.0547,1.0161
36,-0.0405,-0.0161,0.9143
37,-0.0383,0.0156,0.9761
38,-0.0137,0.0034,0.9924
39,0.0176,-0.0186,0.9377
40,0.0405,0.0068,0.9761
41,0.0288,-0.0852,0.9954
42,0.0171,0.0430,0.9836
43,-0.0405,-0.0591,0.9133
44,-0.0393,0.0222,1.0288
45,-0.0759,-0.0278,0.9338
46,-0.0247,0.0232,0.9653
47,0.0183,0.0308,0.9927
48,0.0127,-0.0425,0.9504
49,0.0374,0.0569,0.9741
50,-0.0007,-0.0916,0.9565
51,0.0037,0.0388,1.0071
52,-0.0291,-0.0596,0.9146
53,-0.0398,0.0044,0.9993
54,0.0034,-0.0005,0.9778
55,0.0173,-0.0581,0.9409
56,-0.0364,0.0576,1.0042
57,0.0132,0.0083,0.9377
58,-0.0696,-0.0288,0.9534
59,-0.0229,0.0271,1.0110
60,0.0046,-0.0352,0.9133
61,-0.0015,0.0215,0.9983
62,0.0850,-0.0298,0.9788
63,0.0081,-0.0737,0.9504
64,-0.0312,0.0640,1.0081
65,-0.0645,-0.0806,0.9163
66,-0.0920,0.0400,1.0190
67,0.0107,-0.0088,0.9241
68,0.0276,-0.0144,0.9690
69,0.0762,0.0620,1.0103
70,0.0657,-0.0769,0.9019
71,-0.0615,0.0886,1.0295
72,-0.0698,-0.0920,0.9290
73,-0.0977,-0.0215,0.9973
74,-0.0554,0.0264,0.9758
75,0.0259,-0.0596,0.9233
76,0.0486,0.0620,1.0325
77,0.0996,-0.0464,0.9185
78,0.0547,0.0376,0.9875
79,-0.0378,0.0044,0.9749
80,-0.0806,-0.0515,0.9419
81,-0.1252,0.0295,0.9836
82,-0.0547,-0.0510,0.9468
83,0.0063,-0.0264,0.9937
84,0.0737,0.0266,0.9749
85,0.0908,-0.0039,0.9507
86,0.0583,0.0288,0.9810
87,0.0000,-0.0422,0.9819
88,-0.0779,0.0239,0.9670
89,-0.1077,-0.0330,0.9575
90,-0.1008,0.0073,0.9797
91,-0.0706,-0.0425,0.9631
92,0.0474,-0.0017,0.9536
93,0.0950,-0.0466,0.9771
94,0.1157,0.0586,0.9846
95,0.0757,-0.0503,0.9270
96,-0.0276,0.0317,1.0266
97,-0.0857,-0.0029,0.9458
98,-0.1396,-0.0388,0.9436
99,-0.0796,0.0417,1.0308
100,-0.0193,-0.0791,0.9114
101,0.0090,0.0217,0.9924
102,0.0554,0.0103,0.9612
103,0.0603,-0.0425,0.9426
104,0.0327,0.0825,1.0024
105,0.0081,-0.0845,0.9292
106,-0.0315,0.0603,1.0237
107,-0.0269,-0.0540,0.9331
108,-0.0200,-0.0315,0.9875
109,-0.0105,0.0105,0.9932
110,-0.0264,-0.0620,0.9214
111,-0.0188,0.0486,0.9954
112,-0.0432,-0.0383,0.9390
113,-0.0342,0.0566,0.9546
114,0.0125,0.0254,0.9868
115,0.0068,-0.0134,0.9663
116,0.0496,0.0234,1.0044
117,0.0293,-0.0315,0.9468
118,-0.0178,-0.0623,0.9807
119,-0.0242,-0.0239,0.9834
120,-0.0117,-0.0457,0.9224
121,-0.0227,0.0190,0.9875
122,-0.0261,0.0056,0.9500
123,-0.0161,0.0164,0.9614
124,-0.0481,0.0225,0.9761
125,-0.0354,0.0061,0.9783
126,0.0120,0.0146,0.9700
127,0.0249,-0.0361,0.9690
128,0.0193,-0.0068,1.0054
129,-0.0002,-0.0654,0.9758
130,-0.0459,-0.0027,0.9653
131,-0.0554,0.1379,0.9641
132,-0.0745,0.1396,0.8774
133,-0.0554,0.1235,1.0034
134,-0.1167,0.1038,1.0337
135,-0.1343,0.0862,0.9514
136,-0.1694,0.3657,0.9946
137,-0.2148,0.6538,0.8599
138,-0.2251,0.8743,0.8147
139,-0.3250,1.2053,0.9661
140,-0.3481,1.1997,0.8735
141,-0.2439,1.3499,0.9397
142,-0.0837,1.6213,1.0105
143,0.1638,1.7288,0.8860
144,0.3154,1.8518,1.0247
145,0.3511,1.6926,1.0354
146,0.3210,1.2769,0.9722
147,0.1003,1.0188,1.1223
148,-0.0540,0.5786,1.0093
149,-0.0525,0.4692,1.0669
150,-0.0249,0.5288,1.0073
151,0.1604,0.8403,0.8960
152,0.2820,1.0725,0.7502
153,0.2561,0.8657,0.7651
154,0.1729,0.7114,0.9106
155,-0.0901,0.5869,0.8774
156,-0.3064,0.7161,0.9563
157,-0.2676,0.5208,0.9768
158,-0.1060,0.3643,1.0181
159,0.0676,0.6675,1.0356
160,0.2373,1.1345,0.9612
161,0.2153,0.7869,0.9827
162,0.0979,0.2637,1.1948
163,-0.0701,0.6118,1.0649
164,-0.3394,1.6060,0.7603
165,-0.3237,1.8315,0.8511
166,-0.2986,0.8342,0.9856
167,-0.2224,-0.0776,0.9475
168,0.0610,-0.4917,0.9377
169,0.2314,-0.2180,0.9827
170,0.3179,0.5066,0.9231
171,0.2922,1.6958,0.8589
172,-0.0151,1.9998,0.8176
