Sample,X,Y,Z
0,-0.0386,-0.1108,0.9526
1,-0.0464,0.0334,0.9827
2,-0.0315,-0.0417,0.9368
3,-0.0198,0.0217,0.9944
4,-0.0215,-0.0571,0.9700
5,0.0198,-0.0073,0.9719
6,0.0005,0.0627,0.9702
7,-0.0017,0.0640,0.9495
8,0.0066,-0.0164,0.9856
9,-0.0098,-0.0381,0.9993
10,0.0190,-0.0269,0.9419
11,-0.0200,0.0254,0.9751
12,-0.0286,-0.0400,0.9517
13,-0.0454,-0.0996,0.9778
14,-0.0293,0.0103,0.9788
15,-0.0308,-0.0176,0.9299
16,0.0142,0.0784,0.9719
17,0.0247,-0.0195,0.9514
18,0.0471,0.0190,0.9878
19,0.0300,0.0134,0.9722
20,-0.0256,0.0237,0.9885
21,-0.0435,-0.0225,0.9849
22,-0.0640,-0.1018,0.9651
23,-0.0317,0.0276,0.9851
24,-0.0068,-0.0576,0.9172
25,0.0376,0.0300,1.0002
26,0.0195,0.0017,0.9429
27,0.0164,0.0273,0.9624
28,-0.0381,0.0200,0.9722
29,-0.0515,0.0061,0.9575
30,-0.0164,-0.0010,0.9666
31,0.0085,-0.0464,0.9722
32,0.0559,-0.0027,0.9927
33,0.0078,-0.0435,0.9583
34,0.0112,-0.0178,1.0112
35,-0.0334,-0.0159,0.9614
36,-0.0569,-0.0273,0.9575
37,-0.0588,0.0408,0.9807
38,-0.0398,-0.0120,0.9231
39,0.0002,0.0239,0.9666
40,0.0525,-0.0046,0.9631
41,0.0510,-0.0010,0.9536
42,0.0120,-0.0071,0.9895
43,-0.0103,-0.0129,0.9829
44,-0.0374,-0.0593,0.9702
45,-0.0605,0.0203,0.9954
46,-0.0623,-0.0112,0.9514
47,-0.0291,0.0020,0.9858
48,0.0559,-0.0190,0.9719
49,0.0674,-0.0054,0.9556
50,0.0520,0.0647,0.9614
51,0.0132,-0.0435,0.9495
52,-0.0564,-0.0149,0.9937
53,-0.0991,-0.0308,0.9417
54,-0.0752,0.0034,0.9683
55,-0.0562,-0.0120,0.9790
56,0.0032,-0.0449,0.9575
57,0.0659,0.0095,0.9858
58,0.0613,0.0127,0.9731
59,0.0757,0.0146,0.9651
60,0.0173,-0.0347,0.9683
61,-0.0510,0.0508,0.9907
62,-0.0820,-0.0322,0.9211
63,-0.1277,0.0046,1.0071
64,-0.0713,-0.0173,0.9653
65,0.0388,-0.0452,0.9390
66,0.0815,0.0530,0.9973
67,0.0945,-0.0410,0.9172
68,0.0276,0.0142,0.9995
69,-0.0308,-0.0095,0.9761
70,-0.0669,-0.0381,0.9556
71,-0.0527,0.0525,1.0012
72,-0.0354,-0.0933,0.9446
73,0.0005,0.0020,1.0015
74,-0.0215,-0.0100,0.9504
75,-0.0293,-0.0042,0.9497
76,0.0186,0.0139,0.9729
77,0.0315,-0.0334,0.9468
78,0.0671,0.0662,0.9851
79,0.0176,-0.0059,0.9514
80,-0.0315,0.0164,0.9827
81,-0.0923,-0.0132,0.9934
82,-0.0408,-0.0608,0.9456
83,-0.0217,-0.0093,1.0002
84,0.0227,-0.0007,0.9485
85,0.0142,-0.0645,0.9595
86,0.0039,0.0364,1.0061
87,-0.0037,-0.0476,0.9114
88,-0.0229,0.0515,1.0015
89,0.0066,-0.0078,0.9426
90,0.0134,-0.0459,0.9553
91,-0.0281,0.0547,1.0002
92,-0.0371,-0.0554,0.9214
93,-0.0059,0.0344,0.9993
94,-0.0012,-0.0615,0.9583
95,0.0413,-0.0115,0.9897
96,-0.0183,0.0093,0.9875
97,-0.0127,0.0098,0.9468
98,-0.0791,0.0046,0.9749
99,-0.0352,-0.0149,0.9700
100,-0.0334,-0.0386,0.9585
101,0.0435,0.0518,0.9778
102,0.0498,-0.0366,0.9446
103,0.0425,0.0073,0.9885
104,0.0244,-0.0562,0.9524
105,-0.0469,0.0012,0.9839
106,-0.0259,0.0203,0.9631
107,-0.0718,-0.0586,0.9465
108,-0.0488,0.0603,1.0220
109,-0.0024,-0.0571,0.9270
110,0.0186,0.0176,0.9927
111,0.0425,0.0034,0.9724
112,0.0286,-0.0388,0.9448
113,-0.0288,0.0085,0.9846
114,-0.0662,-0.0125,0.9436
115,-0.0610,0.0300,0.9692
116,-0.0168,-0.0496,0.9644
117,0.0645,0.0354,0.9917
118,0.0498,-0.0144,0.9348
119,0.0405,-0.0266,1.0034
120,0.0078,-0.0259,0.9768
121,-0.0833,-0.0405,0.9456
122,-0.1125,0.0500,1.0288
123,-0.1313,-0.0898,0.9409
124,-0.1262,0.1040,0.9905
125,-0.0400,0.2466,0.9087
126,0.0056,0.1011,0.9028
127,0.0652,0.0781,1.0835
128,0.0276,-0.0818,0.9966
129,0.0134,0.1426,0.9692
130,-0.0247,0.5305,0.9417
131,-0.0789,0.7114,0.7935
132,-0.0757,0.9028,0.9429
133,-0.0840,0.9944,0.9631
134,-0.0396,0.9238,0.9136
135,0.0642,1.0364,1.0413
136,0.0857,1.2209,0.9778
137,0.0232,1.4075,0.9055
138,-0.0796,1.6255,1.0122
139,-0.1897,1.3921,0.9282
140,-0.2612,1.2944,0.9771
141,-0.1704,1.1323,0.9692
142,-0.0015,0.9839,0.9751
143,0.1465,1.0354,0.9924
144,0.3567,1.1138,0.9761
145,0.3440,1.3413,0.9009
146,0.1672,1.3372,0.8586
147,-0.0105,1.1333,0.8491
148,-0.3376,0.8401,0.9280
149,-0.4878,0.7407,1.0093
150,-0.3999,0.6089,1.0142
151,-0.2178,0.6526,1.0725
152,0.1494,0.8196,0.9895
153,0.3628,0.9119,0.9446
154,0.3279,0.8726,0.9858
155,0.2522,0.6411,0.9595
156,-0.0681,0.5852,0.9524
157,-0.2959,0.8657,0.8647
158,-0.4285,0.8713,0.8069
159,-0.4536,1.0757,0.9409
160,-0.2959,0.8999,0.8892
161,0.1626,0.5203,0.9094
162,0.4592,-0.0378,1.1187
163,0.5396,0.0071,1.1184
164,0.3206,0.5969,0.9475
165,-0.1033,0.9211,0.9817
166,-0.3530,0.9326,1.0581
167,-0.5132,0.9839,0.9116
168,-0.3892,1.0854,0.8931
169,0.0183,0.4468,0.8540
170,0.0647,0.2048,0.9019
171,-0.0457,-0.6082,1.0288
172,-0.1880,-1.4470,1.0718
173,-0.3367,-1.9575,0.8518
174,-0.1250,-1.2039,0.8413
175,0.0918,-0.1165,0.8235
176,0.2124,1.4583,0.7278
177,0.1938,1.8706,0.7036
178,0.0132,0.9614,0.8911
179,-0.2732,-0.6709,1.1057
180,-0.2952,-1.1108,1.2903
181,-0.1919,-1.1404,1.1392
182,0.1431,-0.1223,1.2673
183,0.3635,0.9575,1.0356
184,0.2952,1.3706,0.8169
185,0.1641,1.6321,0.9739
186,-0.2148,1.3472,0.8423
187,-0.3069,0.9592,0.7932
188,-0.2898,0.1768,0.9290
189,-0.1262,-0.0200,0.9595
190,0.1091,0.0181,0.8555
191,0.2278,0.3008,1.1626
192,0.0239,0.7622,1.1206
193,-0.0291,-0.0022,0.9067
194,-0.0498,-1.2771,1.2007
195,-0.0430,-1.7856,1.2092
196,0.1416,-0.3333,0.8225
197,0.0276,0.6731,0.5989
198,0.1448,0.8970,0.9937
199,-0.1616,0.3052,0.7681
200,-0.3044,-0.2136,0.7522
201,-0.2886,-0.8201,1.0308
202,-0.1899,-1.6560,1.0630
203,0.1797,-1.2046,1.2141
204,0.2917,-0.5437,1.0610
205,0.3562,1.0422,0.9856
206,0.1252,1.1509,0.7769
207,-0.1272,0.6655,1.0757
208,-0.2036,-0.3706,1.0032
209,-0.2029,-0.8481,0.8948
210,-0.0544,-0.8640,0.9829
211,0.1489,-0.1755,1.0422
212,0.1799,0.5845,0.8179
213,0.0840,0.9397,0.9529
214,-0.0059,0.5093,0.9458
215,-0.2188,-0.3384,0.9231
216,-0.1658,-0.3091,1.1487
217,-0.0674,-0.4233,0.9260
218,0.0808,0.1074,1.0706
219,0.1091,0.1392,1.1001
220,0.0112,0.4294,1.0559
221,-0.0828,0.3323,0.8762
222,-0.2095,0.1511,0.9380
223,-0.0811,-0.3025,0.9868
224,0.0408,-0.5161,0.8967
225,0.1519,0.1755,0.9075
226,0.1372,0.4001,0.6750
227,-0.0315,0.8794,0.8442
228,-0.2620,1.1409,0.8997
229,-0.2412,0.6794,0.8157
230,-0.1702,-0.6909,1.2190
231,0.0342,-1.5347,1.3391
232,0.2131,-0.8191,1.1841
233,0.2043,0.0664,0.9302
234,0.1743,0.5542,1.1040
235,0.0039,0.2759,0.9302
