Sample,X,Y,Z
0,0.0176,0.0164,0.9897
1,0.0098,-0.0547,0.9602
2,0.0510,0.0347,0.9673
3,0.0090,-0.0059,0.9622
4,0.0051,-0.0183,0.9924
5,-0.0569,0.0188,0.9670
6,-0.1350,-0.0176,0.9604
7,-0.0176,0.0339,0.9771
8,-0.0120,-0.0664,0.9448
9,0.1060,0.0266,0.9868
10,0.0874,-0.0488,0.9565
11,-0.0049,0.0605,0.9885
12,-0.0835,-0.0554,0.9517
13,-0.0769,-0.0132,0.9983
14,-0.0442,0.0081,0.9465
15,0.0107,-0.0049,0.9487
16,0.0300,0.0410,0.9810
17,0.0103,-0.0764,0.9517
18,0.0071,0.0439,0.9968
19,-0.0259,-0.0017,0.9507
20,-0.0142,0.0171,0.9810
21,0.0425,-0.0288,0.9788
22,0.0042,-0.0317,0.9722
23,-0.0449,0.0408,0.9729
24,-0.0449,-0.0762,0.9446
25,-0.0510,0.0022,0.9927
26,-0.0059,-0.0415,0.9368
27,0.0237,0.0386,0.9702
28,0.0186,0.0042,0.9602
29,0.0598,0.0042,0.9592
30,-0.0190,0.0229,0.9788
31,-0.0117,0.0330,0.9768
32,-0.0413,-0.0408,0.9705
33,-0.0640,0.0090,1.0061
34,-0.0029,-0.0540,0.9456
35,-0.0139,-0.0105,0.9875
36,0.0100,-0.0471,0.9565
37,0.0344,-0.0039,0.9663
38,-0.0330,0.0056,0.9602
39,-0.0066,0.0295,0.9731
40,-0.0356,-0.0623,0.9348
41,-0.0430,0.0654,0.9993
42,0.0117,-0.0044,0.9231
43,0.0347,-0.0151,0.9849
44,0.0447,-0.0398,1.0032
45,0.0164,-0.0203,0.9670
46,0.0176,0.0261,0.9768
47,-0.0535,0.0166,0.9690
48,-0.0803,-0.0120,0.9761
49,-0.1145,-0.0715,0.9749
50,-0.0508,0.0459,0.9983
51,0.0242,0.0166,0.9084
52,0.0662,-0.0193,0.9624
53,0.1274,-0.0237,0.9846
54,0.0872,-0.0566,0.9331
55,-0.0024,0.0427,0.9976
56,-0.1123,0.0132,0.9612
57,-0.1472,-0.0574,0.9763
58,-0.0867,-0.0242,0.9897
59,-0.0081,0.0298,0.9563
60,0.0493,0.0317,0.9519
61,0.1003,-0.0264,0.9995
62,0.0847,-0.0068,0.9827
63,0.0417,0.0005,0.9387
64,-0.0710,0.0090,0.9946
65,-0.1326,-0.0271,0.9475
