Sample,X,Y,Z
0,-0.0615,-0.0063,0.9602
1,-0.0938,0.0371,0.9348
2,-0.1147,-0.0676,0.9429
3,-0.0251,0.0498,0.9807
4,0.0276,-0.0107,0.9253
5,0.0293,0.1426,0.9993
6,0.0527,-0.0530,0.9487
7,0.0264,-0.0085,1.0364
8,0.0017,-0.0542,0.9680
9,0.0374,-0.0427,0.9690
10,-0.0007,-0.0039,0.9888
11,-0.0417,-0.0835,0.9338
12,-0.0933,-0.0051,0.9937
13,-0.0972,0.0261,0.9390
14,-0.0710,0.0039,0.9331
15,0.0310,0.0999,0.9954
16,0.0872,-0.0381,0.9106
17,0.0806,0.0505,1.0168
18,0.0303,-0.0215,0.9702
19,-0.0090,-0.0513,0.9856
20,-0.0918,-0.0242,1.0188
21,-0.0708,-0.0583,0.9546
22,-0.0234,-0.0679,0.9631
23,-0.0408,0.0435,0.9800
24,0.0007,0.0049,0.9104
25,0.0491,0.0486,0.9866
26,0.0288,0.0210,0.9602
27,0.0464,0.0308,0.9465
28,0.0088,-0.0171,0.9827
29,-0.0735,-0.0042,0.9875
30,-0.0603,-0.0652,0.9417
31,-0.0820,-0.0730,1.0073
32,0.0120,-0.0012,0.9856
33,0.0481,-0.0554,0.9292
34,0.0503,0.1001,1.0178
35,0.0291,-0.0149,0.9241
36,-0.0547,0.0264,0.9797
37,-0.0305,0.0850,0.9602
38,-0.0786,-0.0576,0.9165
39,-0.0120,0.0427,1.0317
40,0.0605,-0.1675,0.9409
41,0.0315,0.0295,1.0181
42,0.0100,-0.0247,0.9380
43,-0.0085,-0.0513,0.9807
44,-0.0652,0.0156,0.9878
45,-0.0527,-0.0061,0.9321
46,-0.0234,0.1094,0.9790
47,-0.0388,-0.0356,0.9490
48,0.0452,0.0339,0.9917
49,0.0151,-0.0308,0.9573
50,0.0527,-0.0100,0.9758
51,0.0474,-0.0378,0.9758
52,0.0059,-0.0701,0.9614
53,-0.0654,0.0081,0.9771
54,-0.1003,0.0149,0.9543
55,-0.1052,-0.0229,0.9536
56,-0.0300,0.0190,1.0034
57,0.0671,0.0203,0.9409
58,0.0881,0.0278,0.9604
59,0.1167,0.0237,0.9895
