Sample,X,Y,Z
0,0.0220,-0.0488,0.9624
1,0.0396,0.0134,0.9519
2,0.0762,0.0698,0.9407
3,0.0872,0.0056,0.9771
4,0.0364,0.0374,0.9680
5,-0.0515,0.0193,0.9722
6,-0.0693,0.0220,0.9807
7,-0.1233,-0.0920,0.9771
8,-0.0664,-0.0425,0.9946
9,0.0083,-0.0762,0.9338
10,0.0249,0.0007,1.0044
11,0.0999,0.0405,0.9370
12,0.0354,-0.0125,0.9368
13,0.0117,0.1331,1.0139
14,-0.0098,-0.0640,0.8950
15,-0.0840,0.1089,1.0181
16,-0.0811,-0.0398,0.9397
17,-0.0388,-0.0981,0.9836
18,-0.0208,-0.0286,1.0142
19,0.0740,-0.0811,0.9204
20,0.0110,0.0283,1.0090
21,0.0085,-0.0378,0.9583
22,0.0129,-0.0088,0.9731
23,-0.0383,0.0935,0.9680
24,0.0046,0.0361,0.9136
25,-0.0466,0.0371,0.9995
26,-0.0159,-0.0483,0.9749
27,-0.0144,-0.0791,0.9680
28,-0.0344,0.0261,0.9885
29,-0.0049,-0.0574,0.9419
30,-0.0269,-0.0342,0.9924
31,0.0068,-0.0264,0.9741
32,-0.0088,0.0466,0.9790
33,0.0437,0.0771,0.9487
34,0.0503,-0.0349,0.9487
35,0.0217,0.0898,1.0051
36,-0.0195,-0.1106,0.9026
37,-0.0349,0.0432,1.0308
38,-0.0977,-0.0476,0.9224
39,-0.0837,-0.0508,0.9937
40,-0.0125,-0.0410,1.0142
41,0.0032,-0.0574,0.9436
42,0.0750,0.1050,0.9805
43,0.0530,-0.0596,0.9312
44,0.0251,0.0798,1.0098
45,-0.0525,-0.0645,0.9126
46,-0.0349,0.0742,1.0112
47,-0.0791,-0.0381,0.9329
48,0.0112,-0.0078,0.9758
49,0.0562,-0.0203,0.9829
50,0.0432,-0.0208,0.9524
51,0.0278,0.0293,0.9956
52,-0.0771,-0.0442,0.9768
53,-0.0725,0.0068,0.9839
54,-0.1204,-0.0210,0.9485
55,-0.0569,0.0178,0.9712
56,0.0242,-0.0454,0.9348
57,0.0945,0.0085,0.9790
58,0.1113,-0.0127,0.9546
59,0.0723,-0.0188,0.9595
60,-0.0073,0.0083,0.9888
61,-0.1067,-0.0347,0.9778
62,-0.1274,0.0457,0.9758
63,-0.1089,0.0107,0.9595
64,0.0063,-0.0173,0.9819
65,0.0913,-0.0601,0.9924
66,0.0652,0.0771,0.9888
67,0.0417,-0.0154,0.9087
68,-0.0234,-0.0461,1.0061
69,-0.0337,-0.0088,0.9360
70,-0.0500,-0.0320,0.9231
71,-0.0110,0.0974,1.0054
72,-0.0134,-0.1189,0.9192
73,0.0066,0.0396,1.0405
74,0.0002,-0.0334,0.9497
75,-0.0007,0.0190,0.9644
76,-0.0464,0.0049,0.9905
77,-0.0356,-0.0730,0.9722
78,-0.0344,-0.0132,0.9670
79,-0.0598,0.0542,0.9790
80,0.0691,0.0076,0.9426
81,0.0764,-0.0625,0.9712
82,0.0962,0.0820,0.9900
83,0.0337,-0.0337,0.8987
84,-0.0740,0.0034,1.0286
85,-0.1365,-0.0361,0.9700
86,-0.1206,-0.0535,0.9487
87,-0.0601,0.0186,1.0090
88,0.0461,-0.0664,0.9263
89,0.0803,0.0420,0.9976
90,0.0703,-0.0073,0.9487
91,0.0525,0.0393,0.9595
92,-0.0422,0.0505,0.9602
93,-0.0413,-0.0312,0.9780
94,-0.0244,-0.0398,0.9927
95,-0.0168,-0.0120,0.9683
96,-0.0266,-0.0078,0.9460
97,-0.0122,-0.0569,0.9749
98,-0.0286,-0.0244,0.9700
99,-0.0627,0.0161,0.9641
100,-0.0078,0.0005,0.9722
101,0.0146,-0.0029,0.9751
102,0.0491,0.0432,0.9497
103,0.0825,-0.0159,0.9485
104,0.0398,-0.0281,0.9985
105,-0.0300,0.0005,0.9653
106,-0.0713,-0.0071,0.9377
107,-0.1450,0.0139,0.9917
108,-0.0688,-0.0447,0.9614
109,-0.0056,-0.0383,0.9885
110,0.0640,0.0869,0.9915
111,0.1255,-0.0105,0.9192
112,0.0725,-0.0276,0.9905
113,0.0217,-0.0344,0.9771
114,-0.0732,-0.0422,0.9309
115,-0.1299,0.0413,1.0022
116,-0.1084,-0.0933,0.9487
117,-0.0234,-0.0049,0.9954
118,0.0527,0.0337,0.9456
119,0.0957,0.0400,0.9536
120,0.0828,0.0093,0.9875
121,0.0190,-0.0327,0.9800
122,-0.0635,0.0601,0.9663
123,-0.1572,-0.0305,0.9517
124,-0.0847,-0.0166,1.0005
125,-0.0562,-0.0972,0.9507
126,0.0786,0.0283,0.9790
127,0.1104,-0.0049,0.9429
128,0.0300,-0.0076,0.9907
129,-0.0034,-0.0166,1.0022
130,-0.1221,-0.0171,0.9497
131,-0.1614,0.1904,0.9575
132,-0.1255,0.1458,0.8831
133,-0.0532,0.1384,1.0161
134,0.0200,0.0525,1.0002
135,0.1165,0.2012,0.9683
136,0.0823,0.5537,0.9458
137,0.0251,0.5835,0.8696
138,-0.1042,0.6008,1.0149
139,-0.1504,0.5278,0.9614
140,-0.1177,0.7817,0.9272
141,-0.0247,1.2756,0.9290
142,0.1375,1.5210,0.8501
143,0.1008,1.8081,0.9819
144,0.0210,1.7200,0.9495
145,-0.1990,1.4055,0.9329
146,-0.2693,1.1704,1.0864
147,-0.2090,0.9485,0.9885
148,-0.0574,0.8655,1.0256
149,0.1292,0.9211,1.0881
150,0.2341,0.5464,0.9058
151,0.1929,0.6743,1.0186
152,0.1313,0.8923,0.8362
153,-0.0708,1.2437,0.7329
154,-0.1394,1.6467,0.8440
155,-0.2769,1.5679,0.8101
156,-0.2881,1.3374,0.9272
157,-0.1221,0.6038,1.0100
158,-0.0178,0.0706,1.1096
159,0.1807,-0.1267,1.1262
160,0.1958,0.2839,1.1467
161,0.1660,1.0481,1.0354
162,0.0500,1.3918,0.8616
163,-0.0950,1.5776,0.9302
164,-0.2791,1.1946,0.8186
165,-0.2146,0.8445,0.8479
166,-0.2710,0.3555,0.9087
167,-0.0046,0.4050,0.9788
168,0.1648,0.5049,0.8975
169,0.2017,0.6624,1.0168
170,0.1907,0.5186,1.0425
171,0.0352,0.3955,1.0347
172,-0.1421,0.6936,1.0793
173,-0.1548,0.5562,0.8599
174,-0.1289,0.7915,0.9390
175,0.0583,0.5435,0.9321
176,0.1545,0.7200,0.9973
177,-0.0562,1.1331,0.9739
178,-0.1624,1.3062,0.8481
179,-0.3843,0.8726,0.8960
180,-0.2937,0.3406,1.0764
181,-0.0435,0.0012,0.9976
182,0.3208,-0.2065,1.0793
183,0.5171,0.0640,1.0608
184,0.2817,0.2991,0.8987
185,0.0027,0.6848,0.8596
186,-0.4321,0.2725,0.9302
187,-0.5034,-0.4182,1.0825
188,-0.2029,-1.1714,0.9729
189,0.0461,-1.2485,1.0862
190,0.2803,-0.9263,1.0012
191,0.2864,-1.0925,0.8169
192,0.0496,-0.6646,1.0520
193,-0.1028,-0.4214,0.8284
194,-0.1602,0.0676,0.7405
195,-0.2134,0.4023,0.8721
196,-0.1399,0.7456,0.7339
197,-0.1958,0.9204,0.8608
198,-0.0007,0.4690,1.0266
199,0.1345,0.0874,1.2300
200,0.2476,0.4700,1.1428
201,0.3018,1.0552,1.0464
202,0.2612,1.1047,1.1272
203,0.0615,0.8928,1.1125
204,-0.1902,0.6555,0.9788
205,-0.3650,0.7839,0.9797
206,-0.2642,0.6328,0.9263
207,-0.0730,-0.0090,0.8254
208,0.0710,0.4133,1.1477
209,0.0842,-0.0247,0.7397
210,0.1216,-0.4158,0.9497
211,0.0754,-0.6262,1.0708
212,-0.1423,-0.8716,0.7249
213,0.0039,-0.3008,1.0659
214,0.0168,-0.6455,0.9163
215,0.0745,-0.2976,1.0366
216,-0.0059,-0.2668,0.9067
217,-0.0242,-0.3997,0.8433
218,-0.1694,0.0342,1.1636
219,-0.3386,-0.5698,0.8293
220,-0.2681,-0.5769,1.1216
221,-0.0781,-0.3875,1.0034
222,0.1396,-0.1267,0.7681
223,0.3850,0.8169,1.1069
224,0.4395,0.6987,0.7847
225,0.2603,0.5906,1.0588
226,0.0076,-0.0879,1.0305
227,-0.2190,-0.5913,1.0129
228,-0.2961,-0.3154,1.1252
229,-0.2686,-0.4468,0.9084
230,-0.0537,0.1829,1.1399
231,0.1233,0.1477,0.8198
232,0.1665,0.0691,0.7876
233,0.1396,0.3665,0.9436
234,-0.0803,0.1746,0.7827
235,-0.0940,0.4067,1.1372
236,-0.1511,-0.3108,0.9973
237,-0.1606,0.1436,1.0786
238,-0.1562,0.2981,0.9172
239,0.0156,-0.1667,0.9712
240,0.0576,-0.1189,1.2073
241,0.0420,-0.3809,0.7805
242,0.1133,0.2175,1.0100
243,0.0161,0.5073,0.9097
244,0.0513,0.6128,0.7905
245,-0.0640,0.5952,1.0522
246,-0.0168,0.1768,0.8499
247,0.0042,0.1184,0.9351
248,-0.1750,-0.5022,1.0005
249,-0.1606,-1.2271,1.0549
250,-0.0859,-0.6528,1.2385
251,-0.0081,0.1904,0.8325
252,0.1375,1.0659,0.8833
253,0.2834,0.9351,0.8979
254,0.2041,-0.2769,0.9475
255,0.1841,-0.6128,1.2190
256,-0.0674,-0.9285,0.9741
257,-0.2681,-0.5193,1.0073
258,-0.3318,-0.3232,0.9915
259,-0.3015,0.3135,0.9780
260,-0.0872,0.7153,0.7612
261,0.0310,0.1470,0.8784
262,0.2002,-0.2759,1.0601
263,0.2278,-0.8025,0.8306
264,0.3279,-0.2849,1.1040
265,0.2407,0.6047,1.0881
266,0.0339,0.7522,0.7761
267,-0.1492,0.7200,1.0500
268,-0.3770,-0.4341,0.9241
269,-0.4773,-0.6025,0.9973
270,-0.3728,-0.1201,1.0237
271,0.0344,-0.0312,0.7671
272,0.4077,-0.0266,1.1028
273,0.5679,0.5256,1.0129
274,0.2004,0.9409,0.7124
275,-0.0269,0.7993,0.9741
276,-0.3569,-0.7615,1.1128
277,-0.3979,-1.1189,1.2153
278,-0.3284,-0.9482,0.8547
279,0.0938,-0.3208,0.9446
280,0.3528,0.3286,1.0415
281,0.3889,0.6226,0.8267
282,0.2913,1.2505,0.9028
283,-0.1160,0.8850,0.7024
284,-0.2371,0.3567,0.9436
285,-0.3862,-0.3850,1.0503
286,-0.2036,-0.6694,1.1116
287,-0.0081,-0.3169,1.1411
288,0.1040,-0.0332,0.9741
289,0.2610,0.0833,0.9907
290,0.2319,0.0193,1.0295
291,0.0947,-0.1008,0.9280
292,0.0015,-0.0461,1.0745
293,0.0217,-0.1628,0.9272
294,-0.0505,0.3081,1.0630
295,-0.0781,0.3557,0.7727
296,-0.1299,-0.0686,0.8081
297,-0.1787,-0.1475,1.0168
298,-0.1262,-0.6567,0.7834
299,-0.0283,-0.3040,0.9690
300,-0.0591,0.2300,0.9448
301,0.1416,0.2502,0.8384
302,0.1831,0.0771,1.1897
303,0.2131,-0.0828,1.1392
304,0.1294,0.2271,0.9849
305,0.0349,0.0679,1.0559
306,-0.0842,-0.6187,1.0627
307,-0.3257,-0.7634,1.1294
308,-0.3708,-0.2646,0.9202
309,-0.3767,0.4343,0.7639
310,-0.0583,0.7551,0.8225
311,0.2341,0.1831,0.7554
312,0.4158,-0.0110,1.0610
313,0.3987,0.1450,0.8560
314,0.0662,0.0464,0.7864
315,-0.1980,0.2488,1.1975
316,-0.4021,-0.0444,0.9426
317,-0.3384,0.0269,1.0776
318,-0.0405,-0.1216,1.1633
319,0.1729,-0.6040,1.0090
320,0.3359,-0.2029,1.1401
321,0.2078,-0.3188,0.9810
322,0.2061,0.2810,1.0989
323,-0.1008,0.7798,0.9331
324,-0.3110,0.5337,0.6714
325,-0.3142,-0.1816,0.9143
326,-0.2332,-0.8394,0.8987
327,-0.1387,-0.7300,0.8401
328,0.1746,0.0278,0.9458
329,0.2754,0.0581,0.7588
330,0.2959,0.4402,1.0198
331,0.0889,0.7119,0.9741
332,-0.0737,0.4771,1.0278
333,-0.1016,-0.1746,1.2046
334,-0.1824,-0.8530,1.2307
335,-0.0288,-0.3381,1.0432
336,-0.0508,0.3450,0.8655
337,0.0569,0.6670,0.9702
338,-0.0134,0.2278,0.9185
339,-0.1016,-0.0125,0.9612
340,-0.0862,-0.0176,0.8879
341,0.0085,-0.2278,0.8511
342,0.1018,-0.3762,0.9995
343,0.1843,-0.3066,1.0315
344,0.1396,0.1431,0.8623
345,-0.0793,0.5530,0.8655
346,-0.1016,0.3589,0.9360
347,-0.2581,-0.1318,1.0071
348,-0.1562,-0.1143,1.0894
349,-0.0327,-0.5496,0.9644
350,0.1067,-0.5798,1.2397
351,0.2368,-0.1077,1.2336
352,0.1201,0.6602,0.9956
353,0.0181,0.3557,0.8147
354,-0.1267,-0.2207,1.0461
355,-0.2107,-0.3911,0.7688
356,-0.0894,0.0334,0.6597
357,0.0337,0.4019,0.8293
358,0.0327,0.2644,0.7834
359,0.0769,0.2925,0.9526
360,-0.0493,0.3794,1.0405
361,-0.0117,0.0911,1.0334
362,-0.0562,-0.4900,1.2368
363,-0.1179,-1.1062,1.2681
364,0.0239,-0.7349,1.1936
365,0.0225,0.0339,0.8442
366,-0.0076,0.0957,0.8237
367,0.1594,0.3213,0.8887
368,0.0647,0.8528,0.7483
369,0.0969,0.7563,0.7246
370,-0.0703,0.0322,0.9526
371,-0.2336,-0.4832,1.0464
372,-0.2678,-0.3130,1.0667
373,-0.2192,-0.2136,1.0181
374,0.1055,0.2507,1.1262
375,0.2510,0.1125,0.8967
376,0.1655,-0.5103,0.9465
377,0.1904,-0.3015,1.1304
378,-0.0901,0.0242,0.8948
379,-0.2068,1.1372,0.9351
380,-0.1829,0.7600,0.8596
381,-0.1179,-0.0950,1.2271
382,0.1650,-0.3914,1.3491
383,0.1189,-0.5708,1.0022
384,0.0806,-0.9216,0.9663
385,-0.0493,-1.2185,0.9507
386,-0.3462,-0.2979,0.7827
387,-0.2898,0.8752,0.5061
388,-0.2583,1.1509,0.5454
389,-0.1023,0.8733,0.8372
390,0.2109,0.3403,0.8987
391,0.3918,-0.3123,1.0981
392,0.4512,-0.3284,1.2778
393,0.2666,-0.6794,1.2383
394,-0.1042,-0.5239,1.3118
395,-0.3142,-0.0667,1.1545
396,-0.4534,0.4058,0.8247
397,-0.3267,-0.0151,0.8696
398,0.0176,-0.0957,0.9983
399,0.2959,0.2766,0.6897
400,0.3550,0.6438,0.7747
401,0.2834,0.4702,0.8745
402,-0.0085,0.0132,0.9045
403,-0.2268,-0.2446,1.0798
404,-0.3367,-0.6367,1.0442
405,-0.1697,-0.8052,1.0950
406,0.1851,-0.0920,1.0627
407,0.2532,0.2236,0.7104
408,0.3877,0.2678,0.9177
409,0.2395,-0.0193,1.0415
