Sample,X,Y,Z
0,0.1211,0.0076,0.9885
1,0.0952,-0.0269,0.9602
2,-0.0071,-0.0142,0.9817
3,-0.0457,0.0002,0.9722
4,-0.1370,-0.0032,0.9722
5,-0.0684,0.0134,0.9692
6,-0.0427,-0.0535,0.9626
7,0.0474,0.0540,0.9761
8,0.0823,-0.0588,0.9182
9,0.0791,0.0505,1.0142
10,0.0415,-0.0342,0.9397
11,-0.0579,0.0007,0.9670
12,-0.1062,0.0527,0.9917
13,-0.0945,-0.0212,0.9368
14,-0.0708,0.0276,1.0200
15,0.0281,-0.0352,0.9487
16,0.0662,0.0054,0.9829
17,0.0613,0.0063,0.9624
18,0.0496,-0.0732,0.9673
19,-0.0190,0.0315,0.9878
20,-0.0498,-0.0471,0.9360
21,-0.0520,0.0220,0.9819
22,-0.0576,-0.0286,0.9436
23,-0.0034,0.0347,0.9751
24,0.0232,-0.0251,0.9575
25,0.0447,0.0120,0.9995
26,0.0210,0.0007,0.9575
27,-0.0310,-0.0447,0.9702
28,-0.1003,0.0308,0.9966
29,-0.0732,-0.0464,0.9387
30,0.0002,0.0227,0.9824
31,0.0232,0.0176,0.9741
32,0.1030,0.0103,0.9592
33,0.0396,-0.0200,0.9771
34,0.0283,0.0483,0.9624
35,-0.0764,-0.0549,0.9553
36,-0.0569,-0.0068,1.0073
37,-0.0776,-0.0789,0.9556
38,-0.0522,0.0271,0.9731
39,-0.0083,-0.0740,0.9504
40,0.0410,0.0398,0.9985
41,0.0859,-0.0300,0.9260
42,0.0581,0.0327,0.9971
43,-0.0171,0.0522,0.9768
44,-0.0684,-0.0508,0.9348
45,-0.0996,0.0383,1.0198
46,-0.0496,-0.0212,0.9331
47,0.0430,-0.0222,0.9661
48,0.0161,0.0171,0.9985
49,0.0833,-0.0273,0.9458
50,0.0002,-0.0298,0.9800
51,-0.0369,0.0435,0.9983
52,-0.0220,-0.0181,0.9175
53,-0.0479,-0.0210,0.9858
54,-0.0095,0.0337,0.9780
55,-0.0437,-0.0740,0.9202
56,-0.0088,0.0085,1.0129
57,0.0120,-0.0210,0.9526
58,-0.0171,-0.0183,0.9536
59,0.0251,-0.0088,1.0239
60,0.0295,-0.0054,0.9331
61,-0.0078,-0.0027,0.9526
62,-0.0112,0.0422,0.9905
63,-0.0378,-0.0264,0.9524
64,0.0095,0.0251,0.9946
65,-0.0342,-0.0369,0.9663
66,-0.0151,0.0337,0.9849
67,-0.0012,-0.0557,0.9270
68,-0.0308,-0.0056,0.9868
69,0.0164,0.0142,0.9631
70,-0.0198,-0.0559,0.9536
