Sample,X,Y,Z
0,-0.0374,0.0020,0.9780
1,-0.0425,-0.0232,0.9583
2,-0.0781,0.0037,0.9624
3,-0.0410,0.0337,0.9592
4,0.0703,-0.0217,0.9495
5,0.0718,0.0237,0.9817
6,0.0405,0.0046,0.9663
7,-0.0276,-0.0476,0.9702
8,-0.1128,0.0061,1.0032
9,-0.0872,-0.0132,0.9309
10,-0.0388,-0.0435,0.9739
11,0.0125,0.0232,0.9954
12,0.0498,-0.0273,0.9331
13,0.0303,0.0432,0.9915
14,-0.0066,-0.0200,0.9556
15,-0.0229,0.0112,0.9724
16,0.0217,-0.0088,0.9573
17,-0.0046,-0.0256,0.9661
18,0.0242,0.0396,0.9670
19,-0.0420,-0.0793,0.9722
20,-0.0366,0.0454,1.0090
21,-0.0347,-0.0693,0.9250
22,-0.0427,0.0486,1.0042
23,-0.0269,-0.0098,0.9417
24,-0.0232,-0.0400,0.9487
25,0.0208,0.0771,0.9934
26,0.0139,-0.0552,0.9299
27,0.0732,0.0388,1.0247
28,0.0444,-0.0828,0.9409
29,0.0154,0.0366,0.9790
30,-0.0645,-0.0381,0.9487
31,-0.0850,-0.0508,0.9846
32,-0.0642,0.0083,0.9641
33,-0.0403,-0.0012,0.9553
34,0.0132,0.0415,0.9810
35,0.0286,-0.0337,0.9507
36,0.0266,0.0574,0.9875
37,-0.0200,-0.0447,0.9546
38,0.0115,0.0315,0.9993
39,-0.0410,-0.0752,0.9446
40,0.0073,0.0105,0.9846
41,-0.0088,-0.0442,0.9478
42,0.0200,0.0166,0.9866
43,0.0347,-0.0276,0.9565
44,-0.0376,-0.0020,1.0015
45,-0.0144,0.0457,0.9556
46,-0.0754,-0.0564,0.9360
47,-0.0520,0.0830,1.0073
48,-0.0354,-0.0898,0.9172
49,-0.0276,0.0381,1.0044
50,0.0320,-0.0105,0.9556
51,0.0862,-0.0278,0.9622
52,0.0664,0.0034,1.0002
53,0.0464,-0.0369,0.9604
54,-0.0435,0.0039,0.9780
55,-0.0769,-0.0217,0.9729
56,-0.0935,-0.0007,0.9465
57,-0.1108,-0.0032,0.9749
58,0.0103,-0.0212,0.9692
59,0.0183,0.0034,0.9680
60,0.0630,0.0510,0.9595
61,0.0835,-0.0237,0.9592
62,0.0078,0.0012,0.9827
63,-0.0059,-0.0039,0.9526
64,-0.0474,-0.0037,0.9749
65,-0.1069,-0.0200,0.9956
66,-0.0608,-0.0491,0.9563
67,-0.0181,-0.0146,0.9739
68,0.0664,0.0120,0.9592
69,0.0894,-0.0159,0.9563
70,0.0483,0.0139,0.9836
71,-0.0098,-0.0054,0.9517
72,-0.1155,0.0098,0.9771
73,-0.0723,-0.0100,0.9790
74,-0.0679,-0.0366,0.9673
75,0.0256,0.0244,0.9741
76,0.0833,-0.0542,0.9370
77,0.0237,0.0366,1.0002
78,0.0159,-0.0066,0.9312
79,-0.0469,-0.0347,0.9944
80,-0.0703,0.0671,1.0073
81,0.0120,-0.0767,0.9058
82,0.0046,0.0439,1.0347
83,0.0237,-0.0305,0.9270
84,0.0142,-0.0469,0.9583
85,-0.0239,0.0244,1.0005
86,-0.0107,-0.0627,0.9233
87,-0.0457,0.0432,0.9917
88,-0.0149,-0.0398,0.9612
89,-0.0117,0.0247,0.9602
90,-0.0420,0.0181,0.9712
91,-0.0403,-0.0315,0.9771
92,-0.0234,0.0066,0.9966
93,0.0271,-0.0310,0.9351
94,0.0596,-0.0010,0.9924
95,0.0737,-0.0032,0.9641
96,0.0676,-0.0376,0.9487
97,-0.0308,0.0437,1.0054
98,-0.1211,-0.0527,0.9468
99,-0.1348,0.0081,0.9751
100,-0.1008,0.0002,0.9653
101,0.0198,-0.0125,0.9373
102,0.1042,-0.0200,0.9917
103,0.1433,0.0127,0.9702
104,0.0947,-0.0447,0.9507
105,-0.0139,0.0349,1.0034
106,-0.1223,-0.0483,0.9321
107,-0.1604,0.0234,0.9875
108,-0.1299,-0.0349,0.9661
109,-0.0312,0.0156,0.9758
110,0.0366,0.0054,0.9602
111,0.1558,0.0188,0.9846
112,0.1616,-0.0508,0.9534
113,0.0635,0.0342,1.0024
114,-0.0198,-0.0459,0.9360
115,-0.1672,-0.0347,0.9778
116,-0.2148,0.0115,0.9739
117,-0.1453,-0.0603,0.9146
118,-0.0037,0.0249,1.0171
119,0.1580,0.0376,0.9448
120,0.2202,-0.0210,0.9514
121,0.1477,0.0718,1.0327
122,0.0022,-0.0664,0.9260
123,-0.1692,0.0288,1.0051
124,-0.2202,-0.0518,0.9661
125,-0.1487,-0.0264,0.9583
126,-0.0481,-0.0491,0.9683
127,0.1121,-0.0073,0.9690
128,0.1030,0.0146,0.9780
129,0.0530,0.0034,0.9819
130,-0.0334,-0.0042,0.9651
131,-0.1355,0.1982,0.9429
132,-0.1235,0.1990,0.8774
133,-0.0496,0.1663,0.9885
134,0.0261,0.0544,0.9976
135,0.0735,0.0364,1.0220
136,-0.0083,0.0264,1.0806
137,0.0042,-0.1155,0.9595
138,-0.0283,0.2468,0.9836
139,-0.1152,0.8059,0.8049
140,-0.0247,1.0649,0.7598
141,-0.0574,1.2434,0.9612
142,-0.0815,1.1428,0.8899
143,-0.0168,1.0920,1.0168
144,-0.0898,1.0972,1.0747
145,-0.0427,1.1460,0.9604
146,-0.0015,1.5803,1.0178
147,-0.0891,1.7007,0.9077
148,0.0134,1.7710,0.9478
149,-0.0718,1.3384,0.9443
150,-0.0198,1.0151,1.0024
151,0.0605,0.7690,0.9946
152,0.1980,0.8403,1.0034
153,0.2419,0.9504,0.8948
154,0.1777,1.1685,0.9390
155,0.0188,1.1614,0.9104
156,-0.2747,0.8318,0.9641
157,-0.4551,0.7480,1.0444
158,-0.4717,0.1821,0.9312
159,-0.1938,0.3672,1.0425
160,0.1067,0.5029,0.8491
161,0.3066,1.2502,0.8850
162,0.3892,1.3840,0.8518
163,0.2246,0.8071,0.8608
164,-0.1069,0.4761,1.0864
165,-0.2642,0.2354,0.9302
166,-0.3303,0.5532,1.0015
167,-0.2700,0.8098,1.0315
168,-0.0071,0.6763,0.9438
169,0.0706,0.8542,1.0452
170,0.1057,0.3230,1.0129
171,0.1406,0.5261,0.9504
172,-0.0435,0.9077,0.8462
173,-0.1125,1.0393,0.9573
174,-0.1794,0.6780,0.8459
175,-0.2078,0.4944,0.9788
176,-0.0796,0.5630,0.9038
177,0.1018,0.7837,0.9233
178,0.0994,1.2485,1.0366
179,0.0962,1.2327,0.9417
180,-0.0510,0.9507,1.1411
181,-0.1714,0.0356,1.1477
182,-0.1177,-0.3923,1.1509
183,-0.0498,-0.5767,0.9905
184,0.0095,-0.1560,0.8821
185,0.1038,0.4446,0.8303
