Sample,X,Y,Z
0,-0.1375,0.0247,0.9939
1,-0.0503,0.0298,0.9241
2,0.0295,-0.0588,0.9731
3,0.1064,0.0081,1.0071
4,0.1509,-0.0684,0.9326
5,0.0662,0.0889,1.0015
6,-0.0354,-0.0378,0.9417
7,-0.1025,-0.0435,0.9692
8,-0.1606,0.0022,0.9819
9,-0.1072,-0.0032,0.9158
10,-0.0383,-0.0010,0.9888
11,0.0430,-0.0337,0.9839
12,0.1267,0.0144,0.9670
13,0.0991,0.0349,0.9817
14,0.0732,-0.0085,0.9673
15,-0.0347,0.0127,0.9751
16,-0.0842,0.0249,0.9670
17,-0.1335,-0.0657,0.9517
18,-0.1057,-0.0020,1.0083
19,-0.0020,-0.0088,0.9465
20,0.0586,-0.0505,0.9663
21,0.1196,-0.0012,0.9880
22,0.0879,-0.0088,0.9399
23,-0.0095,0.0361,0.9690
24,-0.0854,-0.0232,0.9700
25,-0.1855,0.0002,0.9800
26,-0.1008,0.0027,0.9644
27,0.0276,-0.0474,0.9712
28,0.0981,0.0393,0.9937
29,0.1890,-0.0088,0.9495
30,0.0542,-0.0063,0.9866
31,-0.0234,0.0042,0.9858
32,-0.1216,-0.0330,0.9448
33,-0.1785,0.0266,0.9885
34,-0.0662,-0.0366,0.9456
35,-0.0132,-0.0640,0.9658
36,0.0623,0.0286,0.9878
37,0.1050,-0.0400,0.9302
38,0.0432,0.0330,1.0149
39,0.0093,-0.0134,0.9338
40,-0.0415,0.0342,0.9653
41,-0.0144,0.0176,0.9778
42,-0.0537,-0.0334,0.9709
43,-0.0195,0.0371,1.0012
44,-0.0579,-0.0891,0.9670
45,-0.0291,0.0049,0.9963
46,-0.0081,-0.0598,0.9172
47,0.0139,0.0496,0.9810
48,0.0347,-0.0354,0.9536
49,0.0208,-0.0176,0.9656
50,0.0288,0.0657,0.9749
51,0.0085,-0.0129,0.9282
52,-0.0076,0.0046,1.0083
53,-0.0239,-0.0435,0.9563
54,-0.0703,-0.0127,0.9573
55,-0.0796,-0.0039,0.9866
56,-0.0605,-0.0552,0.9700
57,-0.0515,0.0071,0.9790
58,0.0601,0.0222,0.9573
59,0.0720,0.0054,0.9634
60,0.1082,0.0200,0.9829
61,0.1001,-0.0088,0.9438
62,-0.0334,0.0278,0.9807
63,-0.0718,-0.0298,0.9468
64,-0.1375,-0.0808,0.9709
65,-0.1230,0.0535,0.9875
66,-0.0605,-0.0789,0.9146
67,-0.0203,0.0217,1.0305
68,0.1052,-0.0081,0.9487
69,0.0422,0.0085,0.9614
70,0.1003,0.0559,1.0112
71,0.0608,-0.1040,0.9351
72,-0.0029,0.0789,1.0000
73,-0.0276,-0.0581,0.9126
74,-0.1116,-0.0276,0.9866
75,-0.1062,-0.0100,0.9729
76,-0.0901,-0.0269,0.9175
77,-0.0332,0.0618,1.0168
78,0.0928,-0.0447,0.9468
79,0.0891,0.0381,0.9878
80,0.0903,0.0469,0.9797
81,0.0259,-0.0403,0.9497
82,-0.1050,-0.0061,1.0259
83,-0.0847,-0.0557,0.9470
84,-0.0833,-0.0532,0.9585
85,-0.0085,0.0107,0.9819
86,0.0562,-0.0557,0.9211
87,0.0339,0.0127,1.0063
88,0.0610,0.0317,0.9426
89,-0.0413,0.0203,0.9380
90,-0.0488,0.0764,1.0061
91,0.0088,-0.1008,0.9280
92,-0.0464,0.0425,1.0220
93,0.0305,0.0134,0.9360
94,0.0173,-0.0925,0.9673
95,-0.0312,0.0452,1.0256
96,-0.0190,-0.0928,0.9019
97,-0.0696,0.0369,1.0190
98,-0.0530,-0.0271,0.9692
99,0.0334,-0.0071,0.9351
100,0.0161,0.0322,0.9956
101,0.0696,-0.0176,0.9377
102,0.0354,-0.0164,0.9585
103,-0.0322,0.0239,0.9866
104,-0.0562,-0.0515,0.9290
105,-0.0593,-0.0110,1.0100
106,-0.0691,0.0110,0.9612
107,0.0144,0.0178,0.9504
108,0.0339,0.0103,0.9993
109,0.0549,-0.0300,0.9741
110,0.0669,0.0459,0.9661
111,-0.0310,-0.0166,0.9612
112,-0.0415,-0.0103,0.9917
113,-0.0532,-0.0793,0.9429
114,-0.0833,0.0212,0.9836
115,-0.0579,-0.0481,0.9370
116,0.0249,-0.0332,0.9683
117,-0.0007,-0.0066,0.9836
118,0.0981,0.0410,0.9497
119,0.0388,-0.0205,0.9622
120,-0.0068,0.0955,1.0100
121,-0.0349,-0.0481,0.9221
122,-0.0835,-0.0176,1.0220
123,-0.0227,-0.0127,0.9768
124,-0.0081,-0.0095,0.9163
125,0.0454,0.0400,1.0051
126,0.0359,-0.1062,0.9487
127,0.0005,0.0049,0.9966
128,-0.0500,0.0046,0.9661
129,-0.1270,-0.0042,0.9827
130,-0.1147,0.0129,0.9543
131,-0.0544,0.0176,0.9360
132,0.0085,0.1597,0.9497
133,0.0930,0.0398,0.9290
134,0.0955,0.0598,1.0393
135,0.0186,-0.1011,1.0227
136,-0.0273,-0.0623,1.0083
137,-0.1104,0.1348,0.9839
138,-0.1169,0.4773,0.8577
139,-0.0874,0.5208,0.8450
140,-0.0740,0.6125,0.9709
141,-0.0215,0.4641,0.9553
142,0.0085,0.5325,0.9983
143,0.0378,0.6011,0.9888
144,0.1401,1.0220,0.9673
145,0.0979,1.3677,0.8560
146,-0.0391,1.7515,0.9751
147,-0.2686,1.6526,0.8752
148,-0.3870,1.4514,0.9553
149,-0.2559,1.2993,0.9868
150,-0.0044,1.2759,0.9360
151,0.3003,1.3792,1.0198
152,0.4880,1.2817,1.0044
153,0.3411,1.1587,0.9946
154,0.0581,1.0432,1.0149
155,-0.2566,0.7249,0.9231
156,-0.4668,0.6550,0.9709
157,-0.4187,0.8503,0.9084
158,-0.2505,0.9351,0.8608
159,0.0032,0.9575,0.9360
160,0.2324,0.5676,0.9719
161,0.2771,0.2317,0.9751
162,0.1284,-0.1045,0.9583
163,-0.0156,0.1858,1.0061
164,-0.1824,0.7356,0.8997
165,-0.1877,1.3716,0.8599
166,-0.0547,1.8997,0.9583
167,-0.0051,1.6411,0.8345
168,0.0007,1.1223,1.0051
169,0.0100,0.1511,1.0776
170,-0.0422,-0.3687,1.0901
171,0.0173,-0.0481,1.1304
172,0.0259,0.4285,0.9626
173,-0.0552,0.9058,0.9653
174,0.0281,1.0129,0.8909
175,-0.0449,0.9595,0.8491
176,-0.0981,0.9214,0.8032
177,-0.0212,0.7581,0.8030
178,-0.0298,0.7532,0.9387
179,0.0615,0.7153,0.9185
180,0.0212,0.7805,1.0188
181,-0.0916,0.9309,1.1155
182,-0.1824,0.3621,1.0588
183,-0.1475,0.2444,1.2737
184,0.0220,0.1956,1.0833
185,0.1519,0.4133,0.8606
186,0.3105,0.5608,0.9749
187,0.1562,0.1326,0.8521
188,-0.2305,0.1355,0.9290
189,-0.3904,-0.1772,0.8811
190,-0.4050,-0.3823,0.8967
191,-0.1523,-0.2993,0.8870
192,0.2976,-0.1931,0.8638
193,0.3787,-0.0703,0.9670
194,0.3184,-0.2881,1.0481
195,0.0237,-0.4868,1.2043
196,-0.4429,-0.8718,1.1187
197,-0.4636,-0.8853,1.0784
198,-0.2283,-0.4829,0.9290
199,0.0774,0.2644,0.7922
200,0.4917,1.2283,0.7756
201,0.3987,1.3042,0.6938
202,0.1550,1.0149,0.8997
203,-0.1028,0.1946,0.9807
204,-0.4146,-0.1384,0.9565
205,-0.3687,0.1533,1.0981
206,-0.1221,0.5037,1.1047
207,0.1587,-0.2886,1.0979
208,0.4124,-0.0269,1.4175
209,0.2930,0.7964,0.9370
210,0.0322,1.2327,0.5549
211,-0.1609,0.8870,1.0813
212,-0.3591,-0.1934,0.9885
213,-0.2842,-0.2261,0.9192
214,-0.2478,0.0425,0.9875
215,0.0635,-0.4565,0.7981
216,0.2175,-0.7800,1.0396
217,0.2190,-0.6433,1.0835
218,0.2261,-0.1404,0.8792
219,0.0845,0.0391,0.9075
220,-0.1357,-0.1870,0.9133
221,-0.2517,0.1067,0.9592
222,-0.3179,0.0435,0.8687
223,-0.0522,-0.1147,1.0911
224,0.0576,-0.0142,1.1506
225,0.1335,-0.5603,0.7603
226,0.2239,-0.4656,1.1704
227,0.0811,-0.5950,0.9966
228,0.0598,-0.1055,0.9253
229,0.0042,0.7490,1.0542
230,0.0151,1.0952,0.8052
231,-0.0540,0.5281,0.8337
232,-0.1128,-0.2202,1.1301
233,-0.1426,-0.6665,1.0422
234,-0.1689,-0.4429,0.9739
235,-0.1260,-0.2622,0.9788
236,0.0073,-0.3354,0.9446
237,0.2051,-0.0417,0.9907
238,0.2236,0.1462,0.8635
239,0.1484,0.2693,0.9192
240,-0.0776,0.2000,0.8276
241,-0.3032,0.5972,0.9507
242,-0.2466,0.8301,0.8765
243,-0.2937,-0.3418,0.8997
244,0.0359,-0.5876,1.4204
245,0.1523,-0.4255,0.9829
246,0.1873,0.3542,0.8206
247,0.1531,0.8381,1.0461
248,-0.0820,0.2136,0.8813
249,-0.1416,0.2493,1.0999
250,-0.0835,-0.0964,0.9702
251,0.0479,-0.3176,0.8677
252,0.0720,-0.3208,1.0227
253,0.1665,-0.1953,1.0100
254,-0.0312,0.1416,0.8647
255,-0.1189,0.2144,0.8596
256,-0.1951,-0.1160,0.8606
257,-0.1243,-0.1213,1.0627
258,0.1226,-0.1829,0.9292
259,0.2717,-0.1133,1.0991
260,0.2622,-0.0020,1.0334
261,0.0535,0.2424,0.9836
262,-0.1479,0.8267,1.0796
263,-0.4854,-0.2378,0.7825
264,-0.4016,-0.2458,1.2788
265,-0.2937,-0.7183,0.9172
266,0.0654,-0.4360,0.8699
267,0.3215,0.0703,0.9731
268,0.4075,0.0908,0.7349
269,0.3372,0.1421,0.9312
270,0.1443,0.2935,1.0713
271,-0.0295,0.4788,0.8391
272,-0.2820,-0.4253,0.8899
273,-0.2219,-0.5828,1.2524
274,-0.2300,0.1309,0.9106
275,-0.1096,0.6987,0.6577
276,0.0693,0.2886,1.0952
277,0.0972,-0.6157,1.0452
278,0.1047,-0.3672,1.0198
279,0.0898,0.1689,1.0513
280,0.1362,0.0078,0.9231
281,0.1069,-0.0503,1.1177
282,0.0288,0.1794,0.9534
283,-0.1221,0.3101,0.7847
284,-0.1956,0.3225,0.8889
285,-0.2625,-0.2563,0.9407
286,-0.0652,0.0837,1.0383
287,0.0786,0.4290,0.7346
288,0.1797,0.5237,0.9856
289,0.2209,-0.0886,1.0522
