Sample,X,Y,Z
0,0.0925,0.0410,0.9749
1,0.0674,-0.0061,0.9543
2,-0.0107,0.0347,1.0012
3,0.0112,0.0237,0.9631
4,-0.0576,-0.0322,0.9741
5,-0.0405,0.0205,0.9866
6,-0.0828,-0.0896,0.9458
7,-0.0645,0.0098,1.0034
8,0.0208,-0.0667,0.9302
9,0.0095,0.0107,0.9839
10,0.0825,0.0012,0.9663
11,0.0688,0.0242,0.9407
12,-0.0273,0.0649,0.9653
13,-0.0017,-0.0339,0.9563
14,-0.0564,-0.0251,1.0208
15,-0.0503,0.0203,0.9536
16,-0.0444,-0.0527,0.9526
17,-0.1147,-0.0188,1.0229
18,0.0049,-0.0752,0.9309
19,0.0071,0.0632,0.9712
20,0.0852,0.0520,0.9565
21,0.1135,-0.0530,0.9624
22,0.0271,0.0559,1.0132
23,-0.0105,-0.0256,0.9126
24,-0.1047,0.0022,0.9858
25,-0.1375,-0.0376,0.9807
26,-0.0273,-0.0813,0.9182
27,-0.0530,0.0188,1.0061
28,0.0444,0.0024,0.9465
29,0.0906,-0.0312,0.9780
30,0.0569,0.0916,1.0005
31,0.0334,-0.0439,0.9282
32,-0.0359,0.0479,1.0229
33,-0.0703,-0.0557,0.9429
34,-0.0674,0.0234,0.9651
35,-0.0400,-0.0339,0.9546
36,0.0146,-0.0588,0.9624
37,0.0298,0.0266,0.9712
38,0.0171,0.0051,0.9561
39,-0.0098,0.0176,0.9846
40,-0.0176,-0.0071,0.9761
41,0.0015,0.0127,0.9563
42,-0.0195,0.0024,0.9973
43,0.0098,-0.0503,0.9631
44,-0.0374,-0.0654,0.9778
45,-0.0029,0.0327,0.9653
46,-0.0134,-0.0635,0.9253
47,-0.0359,0.0374,1.0168
48,0.0144,-0.0205,0.9299
49,0.0146,0.0359,0.9758
50,-0.0044,0.0527,0.9758
51,-0.0037,-0.0310,0.9524
52,-0.0271,0.0461,1.0159
53,-0.0305,-0.0491,0.9380
54,0.0042,-0.0574,0.9915
55,-0.0100,-0.0283,0.9875
56,-0.0007,-0.0305,0.9446
57,-0.0303,0.0088,0.9751
58,-0.0332,-0.0420,0.9663
59,-0.0364,0.0398,0.9583
60,0.0054,0.0369,0.9417
61,0.0522,0.0264,0.9729
62,0.0767,-0.0068,0.9641
63,0.0706,0.0247,0.9893
64,-0.0347,-0.0588,0.9622
65,-0.1328,-0.0378,1.0144
66,-0.1353,-0.0347,0.9644
67,-0.1060,-0.0381,0.9497
68,-0.0139,0.0261,0.9998
69,0.1167,-0.0393,0.9331
70,0.1206,0.0449,0.9758
71,0.0918,0.0745,0.9641
72,0.0391,-0.0740,0.9341
73,-0.0554,0.0249,1.0256
74,-0.1038,0.0166,0.9055
75,-0.1072,-0.0576,0.9644
76,-0.0859,-0.0288,1.0386
77,-0.0103,-0.0549,0.9390
78,0.0430,0.0552,0.9963
79,0.0627,-0.0220,0.9661
80,0.0698,0.0132,0.9751
81,0.0303,0.0266,0.9507
82,-0.0320,-0.0327,0.9534
83,-0.0579,0.0544,0.9849
84,-0.1111,-0.0823,0.9309
85,-0.0718,0.0017,1.0132
86,0.0017,-0.0537,0.9446
87,0.0566,-0.0073,0.9634
88,0.1228,0.0054,0.9971
89,0.1028,-0.0193,0.9478
90,-0.0264,0.0103,0.9924
91,-0.0984,0.0542,0.9797
92,-0.1709,-0.0364,0.9456
93,-0.1125,0.0393,0.9983
94,-0.0486,-0.0625,0.9243
95,0.0754,0.0347,0.9927
96,0.1538,-0.0725,0.9438
97,0.1265,0.0054,1.0005
98,0.0520,0.0112,0.9487
99,-0.0339,-0.0933,0.9680
100,-0.1025,0.0510,1.0151
101,-0.1692,-0.0366,0.9124
102,-0.1045,0.0649,0.9905
103,-0.0498,-0.0430,0.9749
104,0.0613,0.0322,0.9507
105,0.1484,-0.0046,0.9749
106,0.1101,-0.0364,0.9875
107,0.0869,-0.0403,0.9749
108,-0.0796,0.0103,0.9553
109,-0.1431,-0.0039,0.9497
110,-0.1467,-0.0618,0.9797
111,-0.0342,0.0022,0.9810
112,0.0393,0.0320,0.9338
113,0.0632,0.0447,0.9780
114,0.0901,-0.0312,0.9722
115,0.0229,-0.0415,0.9817
116,-0.0432,0.0540,0.9785
117,-0.0376,-0.0862,0.9536
118,-0.0930,0.0059,1.0171
119,-0.0464,-0.0540,0.9214
120,0.0381,0.0273,0.9800
121,0.0173,-0.0312,0.9661
122,0.0835,0.0264,0.9758
123,0.0125,0.0371,0.9426
124,-0.0935,-0.0029,0.9719
125,-0.1016,-0.0115,0.9897
126,-0.1016,-0.0134,0.9565
127,-0.0466,0.0598,0.9644
128,0.0723,-0.0203,0.9614
129,0.1313,-0.0457,0.9973
130,0.0391,0.0364,1.0042
131,-0.0205,-0.0217,0.9397
132,-0.1145,0.0376,1.0151
133,-0.1689,0.2617,0.8931
134,-0.1243,0.2646,0.8628
135,-0.0710,0.3308,1.0022
136,-0.0195,0.1201,0.9937
137,0.0205,0.2437,1.0247
138,0.0552,0.2690,0.9761
139,0.0813,0.6184,0.9172
140,0.0828,0.8091,0.8745
141,0.0027,1.0386,0.9429
142,-0.0835,1.0793,0.9534
143,-0.2190,1.0493,0.9780
144,-0.2012,1.1223,0.9797
145,-0.1436,1.3511,0.9624
146,0.0190,1.6655,0.8647
147,0.1602,1.7915,0.9448
148,0.1399,1.7065,0.9819
149,0.0798,1.1809,0.9797
150,0.0029,0.8938,1.0647
151,-0.1042,0.6672,1.0618
152,0.0005,0.8618,0.9780
153,0.0371,0.9644,0.9468
154,0.0576,1.3374,0.8804
155,0.0005,1.2280,0.7485
156,-0.1260,1.1587,0.8999
157,-0.2351,0.6316,0.9197
158,-0.1792,0.3687,0.9927
159,-0.0540,0.3423,0.9722
160,0.0496,0.4690,0.9934
161,0.0903,0.7854,1.0491
162,0.0486,0.7627,1.0151
163,-0.1174,0.6948,1.0825
164,-0.0906,0.4822,1.0002
165,-0.1406,0.2676,0.8948
166,-0.0801,0.5984,0.9709
167,0.0696,0.6421,0.7847
168,0.0422,1.1116,0.8430
169,0.0708,1.2209,0.8254
170,0.0039,0.9849,0.8354
171,-0.1226,0.4897,1.0767
172,-0.0491,0.0969,1.0530
173,-0.0552,0.0315,1.1418
174,-0.0244,0.0994,1.0815
175,0.0588,0.2842,0.9692
176,0.0515,0.9185,0.9712
177,0.0867,1.1077,0.7756
178,0.0593,1.3667,0.9165
179,-0.0381,1.5464,0.8335
180,-0.0613,1.1118,0.7417
181,-0.1470,0.8628,1.0200
182,-0.1692,0.3445,1.0637
183,-0.1313,0.0493,1.1011
184,-0.1050,-0.3533,1.2427
185,0.0247,-0.6160,1.1587
186,0.0774,-0.5210,1.0022
187,0.1860,-0.0281,0.9387
188,0.1431,0.7505,0.8638
189,0.0540,0.6252,0.6731
190,-0.0864,0.0066,0.9993
191,-0.1836,-0.4451,1.0469
192,-0.3286,-0.3728,0.7896
193,-0.1379,-0.1394,0.9175
194,-0.0603,-0.3445,1.0073
195,0.1597,-0.2463,1.0715
196,0.2478,-0.0264,0.9758
197,0.0974,-0.0942,0.9341
198,-0.0205,-0.1272,1.0640
199,-0.2119,-0.2507,0.9663
200,-0.1587,0.2622,1.0210
201,-0.0537,0.5413,0.9172
202,0.1660,0.4290,0.7815
203,0.1560,0.4402,0.9280
204,-0.0242,0.8872,1.0630
205,-0.0303,0.1433,0.7310
206,-0.1147,-0.8345,1.2942
207,0.0405,-0.1426,1.2124
208,0.1372,0.8367,0.5857
209,0.1064,1.7336,1.0051
210,0.0386,0.9116,1.0620
211,-0.2388,-0.3152,1.0063
212,-0.3367,-0.5122,1.1838
213,-0.2351,-0.9097,0.9475
214,-0.0095,-0.7468,1.0171
215,0.1943,-0.4927,1.0881
216,0.3726,0.2686,0.8921
217,0.2319,0.6877,0.6956
218,-0.0090,0.3730,0.7639
219,-0.2046,-0.2744,0.9263
220,-0.2544,-0.1060,0.9780
221,-0.2297,0.4690,1.0608
222,0.0354,0.2791,0.8608
223,-0.0298,-0.5659,1.0852
224,0.1128,-0.6277,1.2378
225,0.0688,-0.8081,0.9456
226,0.0203,-0.1497,1.1331
227,0.0615,-0.0579,0.9487
228,0.0876,0.0117,0.8354
229,0.1445,0.5808,0.9670
230,0.0505,0.5161,0.7485
231,-0.1174,0.1868,0.9133
232,-0.2290,-0.3152,1.0659
233,-0.3218,-0.7644,0.9712
234,-0.2422,-0.8813,0.9553
235,0.0400,-0.5310,1.0894
236,0.2446,-0.1067,0.9585
237,0.3345,0.4592,0.9641
238,0.1912,0.8433,0.9478
239,0.0132,0.5854,0.7954
240,-0.1631,0.2612,0.9995
241,-0.2463,0.0737,1.0093
242,-0.2144,0.0601,0.9829
243,-0.1633,0.1853,0.9946
244,-0.0410,0.0237,0.9934
245,0.0991,-0.1992,0.9670
246,0.1040,-0.3833,1.1169
247,0.2598,0.0222,1.1067
248,0.1113,0.5720,0.8909
249,0.0469,0.6545,0.9290
250,-0.1550,0.6125,1.0149
251,-0.2129,-0.0830,0.7798
252,-0.2046,-0.3928,1.0181
253,-0.0457,-0.7554,0.9983
254,0.1423,-0.7156,0.8198
255,0.2246,-0.0996,0.9875
256,0.1448,0.4595,0.9331
257,-0.0039,0.5178,0.8918
258,-0.1448,0.3706,1.0845
259,-0.2620,-0.1602,0.9907
260,-0.1831,-0.2849,1.0034
261,-0.0161,-0.5054,1.0266
262,0.0862,-0.2812,1.0806
263,0.0818,-0.2869,0.8794
264,0.0359,0.1038,0.9319
265,-0.0601,0.2285,0.8499
266,-0.0850,0.1938,0.8911
267,-0.0374,0.0552,1.0112
268,0.1458,-0.1108,0.9836
269,0.1704,-0.2222,0.9680
270,0.1375,0.1545,1.0159
271,0.0076,0.1401,0.8440
272,-0.2468,0.1633,1.0217
273,-0.2861,0.1272,1.0601
274,-0.1445,-0.2185,0.8987
275,-0.0442,-0.4009,0.9827
276,0.1777,0.0000,1.1567
277,0.3257,0.1348,0.9172
278,0.2832,0.0706,1.1450
279,0.1765,0.1384,1.0676
280,-0.1453,-0.1323,0.6663
281,-0.1875,0.2725,0.8755
282,-0.2869,0.2234,0.8987
283,-0.1802,0.2104,0.7876
284,-0.0466,0.4104,0.9812
285,0.0103,0.3635,0.8704
286,0.0762,-0.0278,0.9622
287,0.1758,-0.1421,1.2085
288,0.1277,-0.4802,1.1226
289,0.1082,0.1379,1.1194
290,-0.0854,0.1533,0.9058
291,-0.1213,0.1179,1.0503
292,-0.1387,-0.2786,0.9741
293,-0.1333,-0.2268,0.9390
294,0.1118,0.1685,0.8970
295,0.0869,0.0115,0.7329
296,0.2183,0.2463,0.9846
297,0.0398,-0.0452,0.8616
298,-0.0554,-0.0510,0.8928
299,-0.1626,0.1272,1.0930
300,-0.1226,-0.0442,0.8713
301,-0.0022,-0.2498,1.0435
302,0.0625,-0.0720,1.1519
303,0.0518,0.0906,0.9487
304,0.0098,-0.0127,1.0637
305,0.0369,-0.5046,1.1528
306,0.0449,-0.2314,1.1069
307,-0.0173,0.4219,0.9146
308,0.0056,-0.0220,0.7551
309,0.0059,-0.2258,1.0601
310,-0.1526,-0.3240,0.7612
311,-0.1753,0.3076,0.6899
312,-0.1433,0.6768,0.8389
