Sample,X,Y,Z
0,0.0942,-0.0264,0.9758
1,0.0847,-0.0154,0.9829
2,0.0227,-0.0532,0.9631
3,-0.0037,-0.0198,0.9995
4,-0.0403,-0.0920,0.9846
5,-0.0603,-0.0371,0.9954
6,-0.0676,-0.0295,0.9722
7,-0.0320,0.0623,0.9771
8,-0.0298,0.0037,0.9644
9,-0.0244,0.0247,1.0054
10,-0.0266,-0.0305,0.9875
11,0.0161,-0.0332,0.9846
12,0.0183,-0.0312,1.0002
13,0.0378,-0.0222,1.0002
14,0.0356,-0.0676,0.9690
15,-0.0037,-0.0173,0.9790
16,-0.0303,-0.0337,0.9583
17,-0.0132,-0.0076,0.9536
18,0.0005,0.0520,0.9612
19,0.0549,0.1003,0.9504
20,0.0674,0.0627,0.9543
21,0.0281,0.0266,1.0073
22,-0.0142,-0.0454,1.0100
23,-0.0903,-0.0459,1.0112
24,-0.1367,-0.0283,1.0042
25,-0.1240,-0.0676,0.9927
26,-0.0710,-0.0210,1.0139
27,0.0049,-0.0554,0.9692
28,0.1062,0.0134,0.9614
29,0.1353,0.0435,0.9397
30,0.1057,0.0625,0.9575
31,0.0444,0.0342,0.9612
32,-0.0247,-0.0059,0.9739
33,-0.0737,-0.0146,0.9907
34,-0.0759,-0.0466,0.9849
35,-0.0251,-0.0469,0.9956
36,-0.0015,-0.0232,1.0142
37,0.0056,-0.0413,0.9956
38,0.0181,-0.0112,0.9846
39,-0.0237,0.0156,0.9885
40,-0.0476,0.0112,0.9797
41,-0.0491,0.0161,0.9797
42,-0.0437,-0.0173,0.9778
43,-0.0159,-0.0283,0.9641
44,0.0142,-0.0178,0.9553
45,0.0632,0.0254,0.9673
46,0.0847,-0.0188,0.9517
47,0.0884,-0.0281,0.9790
48,0.0503,0.0032,0.9878
49,-0.0195,0.0505,0.9692
50,-0.0740,0.0483,0.9683
51,-0.1213,0.0918,1.0210
52,-0.1099,-0.0188,0.9915
53,-0.0381,-0.0044,0.9973
54,0.0042,-0.0095,1.0020
55,0.0679,-0.0237,0.9866
56,0.0525,-0.0608,0.9749
57,0.0161,-0.0168,0.9993
58,-0.0432,-0.0488,0.9426
59,-0.0422,0.0217,0.9663
60,-0.0234,0.0068,0.9585
61,0.0569,-0.0234,0.9692
62,0.0872,0.0527,0.9692
63,0.0688,0.0610,0.9631
64,0.0449,0.0242,0.9790
65,-0.0435,-0.0422,1.0103
66,-0.0999,-0.0205,1.0337
67,-0.1128,-0.0696,0.9692
68,-0.0679,0.0249,0.9917
69,-0.0437,0.0085,0.9897
70,0.0430,0.0083,0.9878
71,0.0647,-0.0422,0.9692
72,0.0581,0.0068,0.9797
73,0.0173,-0.0215,0.9504
74,-0.0286,0.0457,0.9680
75,-0.0498,0.0142,0.9468
76,-0.0088,0.0190,0.9739
77,0.0361,-0.0029,0.9565
78,0.0596,-0.0215,0.9680
79,0.0955,0.0549,0.9924
80,0.0222,0.0122,0.9768
81,-0.0415,0.0776,1.0083
82,-0.0967,-0.0195,0.9771
83,-0.1299,0.0103,1.0090
84,-0.1177,0.0049,0.9819
85,-0.0496,0.0178,0.9807
86,0.0212,-0.0010,0.9622
87,0.0750,-0.0354,0.9739
88,0.0977,0.0022,0.9807
89,0.0813,-0.0493,0.9487
90,0.0500,0.0459,0.9758
91,-0.0300,-0.0054,0.9556
92,-0.0200,0.0068,0.9749
93,-0.0608,-0.0046,0.9709
94,-0.0300,0.0312,0.9888
95,0.0000,0.0139,0.9636
96,-0.0042,0.0308,0.9917
97,0.0166,0.0139,0.9976
98,-0.0173,-0.0112,0.9956
99,-0.0552,-0.0105,0.9995
100,-0.0356,-0.0342,0.9927
101,-0.0352,-0.0117,0.9622
102,-0.0168,0.0288,0.9700
103,0.0410,0.0247,0.9468
104,0.0422,-0.0334,0.9487
105,0.0647,0.0291,0.9937
106,0.0457,-0.0198,0.9468
