Sample,X,Y,Z
0,-0.0452,0.0061,0.9817
1,0.0107,0.0215,0.9697
2,0.0562,-0.0205,0.9731
3,0.1150,-0.0171,0.9846
4,0.0627,-0.0154,0.9829
5,-0.0117,0.0281,0.9858
6,-0.0845,0.0112,0.9546
7,-0.1216,0.0405,0.9849
8,-0.0862,-0.0579,0.9768
9,0.0151,-0.0713,0.9712
10,0.0479,-0.0391,0.9966
11,0.1033,-0.0081,0.9790
12,0.0881,0.0190,0.9387
13,-0.0164,0.0581,0.9983
14,-0.0212,-0.0110,0.9924
15,-0.0896,-0.0911,0.9709
16,-0.1084,0.0764,1.0413
17,-0.0076,0.0142,0.9380
18,0.0083,-0.0352,0.9319
19,0.0496,0.0596,1.0479
20,0.0813,-0.1426,0.9397
21,0.0405,-0.0144,0.9722
22,-0.0083,0.0730,1.0142
23,-0.0413,-0.0405,0.9280
24,-0.0535,0.0103,0.9927
25,-0.0605,0.0122,1.0129
26,-0.0286,-0.0737,0.9282
27,-0.0046,-0.0059,1.0024
28,0.0383,0.0461,0.9995
29,0.0576,-0.0405,0.9407
30,0.0332,0.0603,1.0168
31,0.0154,-0.0791,0.9761
32,-0.0210,-0.0144,0.9739
33,-0.0569,0.0422,0.9944
34,-0.0574,0.0469,0.9446
35,-0.0188,-0.0227,0.9553
36,-0.0098,-0.0339,1.0090
37,0.0417,-0.0496,0.9937
38,0.0098,-0.0427,0.9438
39,0.0366,0.0623,1.0081
40,0.0173,0.0220,0.9690
41,-0.0383,-0.0740,0.9575
42,-0.0525,0.0168,1.0249
43,-0.0281,-0.0234,0.9563
44,-0.0210,0.0308,0.9614
45,0.0051,0.0283,0.9985
46,0.0657,-0.0781,0.9556
47,0.0083,-0.0361,1.0034
48,0.0125,0.0437,1.0071
49,-0.0090,-0.0496,0.9233
50,-0.0339,0.0864,1.0210
51,-0.0359,-0.0264,0.9807
52,-0.0159,-0.0371,0.9397
53,-0.0137,0.0415,0.9937
54,0.0308,-0.0264,0.9709
55,0.0085,-0.0725,0.9565
56,0.0151,0.0598,1.0354
57,-0.0183,-0.0447,0.9417
58,-0.0398,-0.0017,0.9543
59,-0.0408,-0.0044,1.0344
60,0.0005,-0.0278,0.9797
61,0.0320,-0.0413,0.9417
62,0.0649,0.1099,1.0198
63,0.0491,-0.0247,0.9399
64,-0.0144,-0.0337,0.9819
65,-0.0691,0.0093,1.0171
66,-0.0859,-0.0627,0.9456
67,-0.0627,0.0105,0.9680
68,0.0005,0.0200,0.9946
69,0.0742,-0.0007,0.9778
70,0.0906,-0.0093,0.9875
71,0.0562,0.0073,0.9849
72,0.0115,-0.0134,0.9683
73,-0.0950,-0.0134,0.9768
74,-0.1135,0.0288,0.9819
75,-0.0898,-0.0234,0.9585
76,-0.0383,-0.0581,0.9768
77,0.0691,-0.0444,1.0024
78,0.1223,-0.0063,0.9829
79,0.0911,0.0398,0.9634
80,0.0452,0.0305,0.9673
81,-0.0588,-0.0071,1.0015
82,-0.1313,-0.0181,0.9976
83,-0.0999,-0.0156,0.9624
84,-0.0469,0.0154,0.9729
85,0.0662,0.0066,0.9829
86,0.0706,-0.0647,0.9614
87,0.0747,0.0459,0.9993
88,0.0171,-0.0425,0.9573
89,-0.0422,-0.0195,0.9871
90,-0.0947,-0.0105,1.0015
91,-0.0303,0.0142,0.9690
92,-0.0188,0.0012,0.9622
93,0.0325,-0.0137,0.9993
94,0.0574,-0.0330,0.9868
95,0.0027,-0.0027,0.9836
96,0.0359,0.0356,0.9612
97,-0.0020,-0.0312,0.9546
98,-0.0217,0.0383,1.0112
99,-0.0354,-0.0803,0.9663
100,-0.0571,0.0178,0.9963
101,-0.0376,0.0381,0.9976
102,-0.0015,-0.0166,0.9583
103,-0.0044,-0.0317,0.9849
104,0.0569,-0.0186,0.9993
105,0.0300,-0.0464,0.9487
106,0.0264,0.0413,0.9722
107,0.0137,0.0076,0.9683
108,-0.0081,-0.0012,0.9829
109,-0.0288,-0.0154,0.9897
110,-0.0435,-0.0339,0.9856
111,-0.0559,-0.0115,0.9790
112,-0.0457,0.0168,0.9927
113,-0.0186,0.0098,0.9683
114,0.0098,-0.0386,0.9741
115,0.0420,-0.0117,1.0081
116,0.0959,-0.0164,0.9673
117,0.0520,0.0283,0.9556
