Sample,X,Y,Z
0,0.0186,0.0435,-1.0266
1,0.0625,0.0479,-0.9380
2,-0.0088,0.0205,-0.9653
3,-0.0718,0.0271,-1.0396
4,0.0039,0.0205,-0.9524
5,0.0261,0.0090,-0.9976
6,0.0259,-0.0076,-1.0344
7,0.0518,-0.0518,-0.9233
8,-0.0134,-0.0493,-0.9963
9,-0.0447,-0.0344,-0.9924
10,0.0105,0.0254,-0.9233
11,-0.0295,0.0486,-0.9875
12,0.0366,0.0679,-0.9585
13,0.0259,0.0618,-0.9329
14,-0.0061,0.0232,-0.9653
15,-0.0330,-0.0117,-0.9495
16,-0.0916,-0.0403,-0.9573
17,0.0103,-0.0710,-0.9592
18,-0.0073,-0.0405,-0.9983
19,0.0366,-0.0359,-1.0151
20,0.0806,-0.0117,-0.9624
21,-0.0171,0.0537,-1.0425
22,-0.0303,0.0703,-0.9585
23,0.0642,0.0410,-0.9409
24,-0.0344,0.0549,-1.0181
25,0.0527,0.0283,-0.8999
26,-0.0408,0.0146,-0.9133
27,-0.1213,0.0002,-0.9797
28,-0.0237,-0.0029,-0.8831
29,0.0066,0.0281,-0.9829
30,0.0203,-0.0073,-1.0159
31,0.1282,0.0171,-0.9380
32,-0.0090,-0.0007,-1.0374
33,0.0732,-0.0178,-0.9702
34,0.0093,-0.0190,-0.9709
35,0.0085,0.0312,-0.9741
36,-0.0481,0.0151,-0.9458
37,-0.0796,0.0439,-0.9351
38,-0.0457,0.0334,-0.9575
39,-0.0073,0.0166,-0.9426
40,0.0149,0.0361,-0.9771
41,0.0322,0.0117,-0.9526
42,0.1277,0.0183,-0.9565
43,-0.0005,0.0630,-1.0120
44,0.0571,0.0166,-0.9221
45,-0.0234,0.0139,-0.9553
46,-0.1284,-0.0015,-1.0024
47,-0.0466,-0.0806,-0.9065
48,-0.0496,-0.0376,-0.9807
49,-0.0869,-0.0056,-1.0212
50,0.0483,0.0510,-0.9062
51,0.0244,0.1228,-1.0093
52,0.0396,0.1321,-0.9993
53,0.1016,0.1179,-0.9128
54,0.0417,0.0447,-0.9817
55,0.0032,-0.0571,-0.9673
56,0.0120,-0.1064,-0.9114
57,-0.0647,-0.1074,-0.9846
58,-0.0269,-0.0381,-0.9465
59,-0.0291,0.0532,-0.9409
60,0.0002,0.1460,-0.9836
61,0.0225,0.1443,-0.9866
62,0.0088,0.1016,-0.9749
63,0.0178,-0.0083,-0.9827
64,0.0271,-0.0605,-0.9592
65,0.0105,-0.0793,-0.9761
66,0.0425,-0.0195,-0.9731
67,0.0105,0.0310,-0.9741
68,-0.0305,0.0845,-0.9377
69,-0.0452,0.0764,-0.9387
70,-0.0571,0.0137,-0.9641
71,0.0078,-0.0171,-0.9497
72,-0.0076,-0.0598,-1.0103
73,0.0579,-0.0647,-0.9758
74,0.0068,0.0032,-0.9888
75,-0.0459,0.0891,-0.9993
76,-0.0361,0.1021,-0.9360
77,-0.0303,0.1636,-0.9800
78,-0.0776,0.0757,-0.9937
79,0.0820,-0.0225,-0.8967
80,-0.0618,-0.0815,-1.0269
81,0.0015,-0.1267,-0.9536
82,0.0557,-0.0725,-0.9231
83,-0.0325,0.0352,-1.0581
84,0.1179,0.0947,-0.9419
85,0.0667,0.1384,-0.9651
86,-0.0159,0.1196,-1.0347
87,-0.0330,0.0474,-0.9263
88,-0.0183,-0.0359,-0.9783
89,-0.0791,-0.0974,-1.0366
90,0.0554,-0.0405,-0.9143
91,-0.0718,-0.0576,-0.9858
92,-0.0178,0.0625,-0.9866
93,-0.0295,0.0955,-0.9702
94,0.1077,0.0781,-0.9817
95,0.0884,0.0859,-1.0239
96,0.0085,0.0022,-0.9604
97,0.0337,-0.0256,-0.9282
98,-0.1064,-0.0344,-1.0376
99,-0.0132,-0.0300,-0.9524
100,0.0151,0.0054,-0.9663
101,-0.0312,0.0479,-1.0249
102,-0.0315,0.0454,-0.9495
103,-0.0454,0.0764,-0.9602
104,-0.0671,0.0222,-1.0295
105,0.0129,-0.0420,-0.9534
106,0.0798,-0.0566,-0.9895
107,0.0183,-0.0461,-1.0210
108,0.0061,0.0188,-0.9417
109,-0.0308,0.0889,-0.9739
110,-0.0090,0.1145,-0.9983
111,0.0461,0.0916,-0.9573
112,-0.0063,-0.0063,-0.9839
113,-0.0034,-0.0845,-0.9846
114,-0.0193,-0.0796,-0.9797
115,0.0168,-0.0642,-0.9866
116,0.0154,0.0198,-0.9993
117,-0.0271,0.0837,-0.9797
118,0.0227,0.0613,-0.9458
119,-0.0042,0.0593,-1.0222
120,0.0110,0.0667,-0.9924
121,0.0471,0.0305,-0.9292
122,-0.0740,0.0164,-1.0461
123,0.0391,-0.0151,-0.9507
124,0.0764,-0.0364,-0.9468
125,-0.0413,-0.0093,-1.0735
126,0.0229,-0.0347,-0.8889
127,0.0361,0.0312,-0.9790
128,-0.0833,0.0400,-1.0601
129,0.1357,0.0325,-0.8606
130,-0.1135,-0.0005,-1.0317
131,-0.0369,-0.0190,-0.9836
132,-0.0520,-0.0291,-0.9155
133,-0.0222,0.0376,-1.0344
134,-0.0115,0.0522,-0.9739
135,0.0608,0.0881,-0.9622
136,0.0178,0.0767,-1.0227
137,0.0588,0.0088,-0.9749
138,-0.0193,-0.0305,-0.9565
139,0.0139,-0.0728,-0.9888
140,0.0098,-0.0730,-0.9534
141,-0.0352,-0.0251,-0.9653
142,-0.0347,0.0208,-0.9788
143,-0.0059,0.0542,-0.9546
144,0.0459,0.0906,-0.9771
145,0.0354,0.1082,-0.9819
