Sample,X,Y,Z
0,-0.0925,-0.3550,-1.0032
1,-0.0178,-0.1875,-0.8237
2,0.0200,-0.0156,-0.9570
3,0.1365,0.1697,-1.0774
4,0.2300,0.2395,-0.9888
5,0.1619,0.1753,-1.0122
6,0.0208,0.1238,-1.0581
7,0.0212,0.0613,-0.9165
8,-0.0164,0.1204,-0.9465
9,-0.2397,0.1890,-1.0103
10,-0.1985,0.2107,-0.8528
11,-0.2456,0.0957,-0.9517
12,-0.0813,-0.0574,-0.9963
13,-0.0022,-0.2346,-0.9731
14,-0.0127,-0.3145,-1.0005
15,-0.0525,-0.3262,-1.0100
16,0.0339,-0.2417,-0.9575
17,0.1511,-0.0884,-0.9888
18,0.0232,0.0166,-1.0073
19,-0.0525,0.1628,-0.9055
20,-0.1462,0.2542,-0.9141
21,-0.1013,0.2913,-0.9321
22,-0.1096,0.2969,-0.9358
23,-0.0696,0.1775,-0.9495
24,-0.0444,0.0396,-0.9761
25,-0.0159,-0.1343,-1.0217
26,0.0918,-0.2529,-1.0032
27,0.0867,-0.2600,-1.0513
28,0.0322,-0.2178,-1.0286
29,0.1406,-0.0964,-0.9673
30,0.1377,0.0457,-1.0129
31,0.0964,0.1367,-0.9634
32,-0.0742,0.1562,-0.8940
33,-0.1067,0.1824,-0.8899
34,-0.0674,0.1465,-0.9397
35,-0.0066,0.1580,-0.9690
36,-0.1289,0.1272,-1.0044
37,-0.1577,0.1055,-0.9888
38,-0.0774,0.0381,-1.0198
39,0.0623,-0.0959,-1.0591
40,0.1091,-0.1548,-1.0256
41,0.0598,-0.2029,-0.9751
42,-0.0093,-0.1960,-0.9299
43,-0.1069,-0.1775,-0.9241
44,-0.0447,-0.1304,-0.8489
45,-0.0635,-0.0305,-0.9380
46,-0.0962,0.0415,-0.9380
47,-0.0378,0.1089,-0.9102
48,-0.1003,0.2002,-1.0481
49,-0.0510,0.2019,-1.0168
50,-0.0217,0.2073,-1.0171
51,-0.0474,0.1128,-1.0579
52,0.0732,-0.0203,-0.9819
53,0.0305,-0.0911,-1.0112
54,0.0154,-0.2144,-0.9690
55,0.0142,-0.1934,-0.8997
56,-0.0891,-0.1594,-0.9722
57,0.0542,-0.0664,-0.8987
58,0.0833,0.0088,-0.9419
59,0.0347,0.0613,-1.0015
60,0.0229,0.1042,-0.9768
61,-0.0173,0.1863,-0.9915
62,-0.0864,0.2402,-1.0754
63,-0.0225,0.2444,-0.9719
64,0.0334,0.1919,-1.0083
65,-0.0671,0.0508,-1.0649
66,0.0229,-0.0762,-0.8928
67,-0.0610,-0.1892,-0.9507
68,-0.0845,-0.2734,-0.9670
69,0.0723,-0.2688,-0.8315
70,0.0247,-0.2493,-0.9458
71,0.0066,-0.1519,-0.9514
72,-0.0022,-0.0298,-0.8850
73,-0.0403,0.1250,-1.0515
74,-0.0615,0.2358,-1.0454
75,-0.0095,0.2473,-0.9673
76,-0.1084,0.2056,-1.1040
77,0.0317,0.0925,-0.9846
78,0.0134,0.0215,-0.9641
79,-0.1389,-0.0737,-0.9885
80,0.0190,-0.0730,-0.8188
81,-0.0757,-0.0974,-0.9553
82,0.0999,-0.0955,-0.9155
83,0.0637,-0.1558,-0.9202
84,-0.0215,-0.1448,-1.0044
85,0.0525,-0.1138,-0.9893
86,0.1226,0.0024,-1.0100
87,0.0969,0.1267,-1.1086
88,0.0664,0.2156,-1.0171
89,0.0457,0.2969,-0.9800
90,-0.0664,0.2651,-1.0239
91,-0.0181,0.1726,-0.9036
92,-0.0081,0.0234,-0.9172
93,-0.0786,-0.1221,-0.9124
