Sample,X,Y,Z
0,0.1104,-0.0100,1.1555
1,0.1863,-0.0208,1.1194
2,0.2112,0.0203,1.0308
3,0.0815,0.0400,0.9700
4,-0.0557,-0.0374,0.9075
5,-0.2029,-0.0625,0.8762
6,-0.2476,-0.0676,0.8267
7,-0.1687,-0.0410,0.8196
8,-0.0503,-0.0195,0.8450
9,0.1130,0.0391,0.9102
10,0.1873,0.0684,0.9749
11,0.1125,0.1035,1.0845
12,0.0513,0.0652,1.1174
13,-0.0449,-0.0139,1.1323
14,-0.0957,-0.0630,1.1008
15,-0.0105,-0.1233,1.0298
16,0.0149,-0.1560,0.9819
17,0.0667,-0.0947,0.9194
18,0.0925,-0.0054,0.8674
19,-0.0176,0.0659,0.8547
20,-0.0894,0.1414,0.8528
21,-0.1443,0.1362,0.8792
22,-0.1787,0.1306,0.9495
23,-0.1047,0.0332,0.9663
24,0.0029,-0.0186,1.0620
25,0.1216,-0.0483,1.0842
26,0.1875,-0.1418,1.0676
27,0.1687,-0.1001,1.0754
28,0.0845,-0.1187,0.9944
29,-0.0820,-0.0212,0.9563
30,-0.1785,-0.0088,0.8997
31,-0.2371,0.0349,0.9016
32,-0.1702,0.0889,0.8740
33,-0.0842,0.0747,0.8813
34,0.0688,0.0818,0.9583
35,0.1287,-0.0400,0.9663
36,0.0828,-0.0476,1.0415
37,0.0461,-0.1077,1.0649
38,-0.0723,-0.0828,1.0461
39,-0.1052,-0.0168,1.0256
40,-0.0349,0.0286,0.9771
41,-0.0193,0.0549,0.9446
42,0.0381,0.0715,0.8918
43,0.0435,0.1042,0.8704
44,-0.0674,0.0525,0.8833
45,-0.0632,-0.0132,0.9143
46,-0.0972,-0.0393,0.9819
47,-0.1055,0.0164,0.9778
48,-0.0225,-0.0459,1.0071
49,-0.0562,-0.1255,1.0640
50,-0.0137,-0.1152,1.0354
51,0.0273,-0.0273,1.0364
52,0.0237,0.0513,0.9954
53,0.0952,0.0317,0.9250
54,0.0649,0.0129,0.9185
55,0.0029,0.0249,0.8650
56,-0.0579,0.0188,0.8274
57,-0.2053,0.0063,0.9075
58,-0.1790,-0.1042,0.9321
59,-0.1641,-0.0920,1.0063
60,-0.0425,0.0991,1.0103
61,0.0986,0.0483,0.9846
62,0.1843,-0.0066,1.0649
63,0.1592,-0.0510,1.0151
64,0.0696,0.0784,1.0286
65,-0.0413,0.0266,0.9712
66,-0.1360,-0.0493,0.9360
67,-0.1746,-0.0261,0.9270
68,-0.1140,-0.0173,0.8674
69,-0.0806,-0.0361,0.8716
70,-0.0071,0.0068,0.9058
71,0.0908,0.0188,0.9299
72,0.0632,-0.0276,0.9661
73,0.0493,0.0781,0.9946
74,-0.0205,0.0149,0.9888
75,-0.1301,-0.0310,1.0227
76,-0.1614,-0.0432,1.0200
77,-0.0715,-0.0393,1.0549
78,0.0085,-0.0708,1.0149
79,0.0759,-0.0669,0.9739
80,0.1470,0.0217,0.9612
81,0.0164,-0.0161,0.8687
82,-0.0984,0.0781,0.8733
83,-0.1284,0.0271,0.8462
84,-0.2019,0.0505,0.9221
85,-0.1050,0.0625,0.9319
86,0.0085,0.0046,0.9927
87,0.0540,0.0085,1.0415
88,0.0942,-0.0557,1.0188
89,0.0583,-0.0422,1.0940
90,-0.0134,-0.1250,1.0354
91,-0.0361,-0.0396,1.0093
92,-0.0852,0.0337,0.9673
93,-0.0544,0.0488,0.9009
94,-0.0647,0.0200,0.8901
95,-0.0376,0.0767,0.8979
96,-0.0093,0.0725,0.9055
97,0.0054,-0.0164,0.9233
98,0.0312,-0.0303,0.9807
99,-0.0356,-0.1143,0.9875
100,-0.0349,-0.1030,1.0344
101,-0.1125,-0.0952,1.0471
102,0.3276,-0.0049,1.1409
103,1.9978,0.1670,1.3215
104,1.9980,0.4355,1.2388
105,1.9980,1.2222,1.0981
106,1.9980,1.5171,0.8765
107,1.9980,1.2300,0.5024
108,1.9980,0.2349,0.4849
109,-1.9998,-1.5735,0.8987
110,-1.9998,-1.9983,1.5002
111,-1.9998,-1.9980,1.4956
112,-1.9998,0.6956,1.3489
113,-1.9998,1.9824,0.7424
114,0.0872,1.9998,0.5842
115,1.9980,1.2798,0.3835
116,1.9978,0.5686,0.3557
117,1.9980,0.7280,0.5806
118,1.9980,0.2209,0.9380
119,-1.3467,-1.1548,1.3391
120,-1.9998,-1.9980,1.5034
121,-1.9998,-1.9983,1.8713
122,-1.9998,-1.9983,1.4368
123,0.2192,-1.3201,1.7241
124,1.9980,0.4937,1.3169
125,1.9980,1.8113,0.6694
126,1.9980,1.9998,0.5679
127,1.8940,1.9998,-0.2339
128,-0.5796,1.2456,-0.1257
129,-1.8521,-0.1614,0.1099
130,-0.9089,-0.8794,0.6448
131,0.4690,-0.7566,1.5718
132,1.3784,-1.0952,1.9512
133,0.6799,-1.0525,1.9998
134,-1.1248,-0.6304,1.9998
135,-1.9998,0.1519,1.5815
136,-1.9714,0.7805,0.9270
137,-0.5081,0.6611,0.3293
138,1.5410,0.1545,0.1250
139,1.9980,-0.1589,0.1089
140,1.8843,-0.3369,0.1902
141,-0.1289,-0.5491,0.3218
142,-1.9998,-0.3655,0.5325
143,-1.9998,0.0369,0.9084
144,-1.9998,0.4023,1.2856
145,-1.5193,0.6438,1.5208
146,1.1858,0.7681,1.8677
147,1.9980,0.4771,1.8989
148,1.9978,-0.1006,1.6458
149,1.7131,-0.3125,1.3540
150,-0.2278,-0.6562,0.8264
151,-1.8577,-0.7644,0.5054
152,-1.9998,-0.5271,0.2998
153,-1.4653,-0.1875,0.2056
154,0.0459,0.1504,0.2971
155,1.2759,0.1755,0.4622
156,1.6021,0.4392,0.8284
157,0.9651,0.5190,0.9946
158,0.0737,0.3264,1.3176
159,-0.6089,-0.0022,1.6182
160,-0.6646,-0.3552,1.6987
161,-0.1167,-0.4490,1.7476
162,0.7036,-0.5171,1.4514
163,1.1860,-0.1909,1.1467
164,0.9905,0.2192,0.7144
165,0.3284,0.5220,0.4136
166,-0.5613,0.5481,0.3379
167,-1.2280,0.3599,0.3086
168,-1.3162,0.2822,0.4397
169,-0.8445,-0.0073,0.6135
170,-0.1084,-0.4067,0.9634
171,0.5806,-0.5430,1.2874
172,0.8684,-0.4099,1.5190
173,0.7368,-0.2219,1.6038
174,0.3962,-0.1621,1.5491
175,-0.0024,0.1431,1.3784
176,-0.1709,0.3069,1.0002
177,-0.2007,0.2798,0.7622
178,-0.1724,0.2495,0.5454
179,-0.2629,0.1260,0.4077
180,-0.5339,-0.0107,0.4485
181,-0.8015,-0.1189,0.5823
182,-0.7437,-0.0288,0.7993
183,-0.4229,-0.0430,0.9761
184,0.2954,0.0823,1.2532
185,0.9563,0.0642,1.3901
186,1.2026,-0.0491,1.4827
187,1.0474,-0.1477,1.4290
188,0.4663,-0.2935,1.2815
189,-0.3291,-0.4343,1.0200
190,-0.8904,-0.3735,0.7141
191,-1.0583,-0.0615,0.5237
192,-0.9321,0.0542,0.3843
193,-0.4290,0.2563,0.5093
194,0.0713,0.4241,0.6594
195,0.5273,0.5637,0.8860
196,0.7805,0.5630,1.0845
197,0.7378,0.3516,1.2952
198,0.4473,-0.0496,1.4683
199,0.0488,-0.5295,1.4858
200,-0.2290,-0.6296,1.4458
201,-0.4060,-0.6196,1.1692
202,-0.2830,-0.5679,0.8772
203,-0.0725,-0.3013,0.6067
204,-0.0249,0.2847,0.3901
205,0.0754,0.6995,0.2893
206,-0.0588,0.6516,0.4153
207,-0.1802,0.5977,0.7651
208,-0.0410,0.3313,1.0227
209,0.1423,0.0059,1.3586
210,0.2520,-0.4028,1.5520
211,0.3235,-0.6882,1.5874
212,0.1177,-0.7605,1.4917
213,-0.1306,-0.4976,1.1907
214,-0.3149,-0.1160,0.9331
215,-0.3123,0.2595,0.6477
216,-0.0764,0.5415,0.4155
217,0.1064,0.7368,0.3970
218,0.2705,0.6011,0.4497
219,0.1624,0.2629,0.6763
220,-0.1121,-0.0610,0.9866
221,-0.1675,-0.4265,1.2271
222,-0.2681,-0.6074,1.4133
223,-0.1831,-0.5447,1.4771
224,0.0874,-0.4097,1.3987
225,0.1167,-0.2759,1.2551
226,0.1064,0.1428,1.0510
227,0.1536,0.3945,0.7817
228,0.1433,0.5198,0.6663
229,0.0884,0.5093,0.5269
230,0.1045,0.3159,0.5933
231,-0.0913,-0.0833,0.6917
232,-0.2378,-0.3018,0.8618
233,-0.2827,-0.3044,1.0527
234,-0.1995,-0.3503,1.1421
235,0.0083,-0.1323,1.2532
236,0.2385,0.0396,1.2280
237,0.3496,0.0688,1.1938
238,0.2993,0.1550,1.1057
239,0.1465,0.1851,1.0103
240,-0.0356,0.0137,0.9370
241,-0.0889,-0.1394,0.8811
242,-0.0811,0.0322,0.8237
243,-0.0798,-0.0229,0.7192
244,-0.1062,-0.0962,0.7883
245,-0.1826,0.0098,0.8350
246,-0.1721,0.0991,0.8638
247,0.0437,0.1865,0.9897
248,0.1370,0.1777,1.0532
249,0.2739,0.0867,1.1458
250,0.2415,-0.2087,1.1763
251,0.0010,-0.2515,1.2004
252,-0.2183,-0.2915,1.1653
253,-0.3354,-0.3572,1.0923
254,-0.2241,-0.1455,1.0139
255,-0.0237,0.0212,0.8049
256,0.1309,0.1758,0.7485
257,0.1609,0.2764,0.6577
258,0.0764,0.3013,0.6682
259,-0.0059,0.2888,0.8176
260,-0.0422,0.1548,0.9028
261,0.0466,0.1868,1.1516
262,0.1494,-0.0366,1.1672
263,0.1707,-0.3413,1.2903
264,-0.0190,-0.5295,1.3130
265,-0.1545,-0.4019,1.1809
266,-0.2192,-0.1501,1.0171
267,-0.2075,-0.0425,0.8550
268,-0.0569,0.2139,0.7563
269,0.0830,0.3958,0.6184
270,0.1226,0.4856,0.6516
271,0.1262,0.3188,0.7261
272,0.0796,0.1106,0.9270
273,0.1079,-0.1094,1.0818
274,0.1938,-0.3337,1.2017
275,0.1201,-0.4128,1.2700
276,0.0923,-0.3682,1.2454
277,-0.1411,-0.2964,1.1526
278,-0.3513,-0.0420,1.0559
279,-0.3540,0.1997,0.8999
280,-0.2563,0.3159,0.7808
281,-0.0105,0.3159,0.7290
282,0.2358,0.2327,0.7014
283,0.2522,0.1162,0.7847
284,0.1958,-0.0454,0.8486
285,0.0518,-0.1538,1.0325
286,-0.0217,-0.2209,1.1467
287,-0.0432,-0.2175,1.1760
288,-0.0012,-0.0422,1.2083
289,-0.0688,-0.0530,1.0930
290,-0.1472,-0.0308,1.0620
291,-0.1687,0.1074,0.9817
292,-0.1611,0.1240,0.8596
293,0.0100,0.0786,0.8521
294,0.2524,0.0281,0.7786
295,0.2229,-0.0232,0.8003
296,0.0452,-0.0015,0.8303
297,-0.0671,-0.0032,0.8772
298,-0.2310,0.0347,0.9956
299,-0.2104,0.0090,1.0598
300,0.0444,0.0879,1.1646
301,0.1709,0.0110,1.1077
302,0.2314,-0.1191,1.1370
303,0.1033,-0.2146,1.0942
304,-0.0981,-0.1714,0.9985
305,-0.1770,-0.0894,0.9487
306,-0.1572,-0.0342,0.8342
307,-0.0986,0.0381,0.7896
308,-0.0232,0.1528,0.7463
309,-0.0239,0.2546,0.7688
310,-0.0601,0.2593,0.8608
311,-0.0408,0.1223,0.9485
312,0.0076,0.0515,1.0991
313,0.1089,-0.0005,1.1313
314,0.2219,-0.2061,1.2161
315,0.1345,-0.3481,1.1819
316,-0.0217,-0.2471,1.1206
317,-0.1433,-0.1816,1.0090
318,-0.2537,-0.1375,0.8889
319,-0.2471,0.0959,0.8108
320,-0.1418,0.2268,0.7241
321,-0.0715,0.2427,0.7290
322,-0.0688,0.2200,0.7717
323,-0.0122,0.1094,0.8716
324,0.0693,-0.0554,0.9854
325,0.2668,-0.0188,1.1157
326,0.3384,-0.0972,1.1741
327,0.2710,-0.1963,1.2297
328,0.0254,-0.1802,1.1907
329,-0.2310,-0.0332,1.0923
330,-0.4575,-0.0120,0.9429
331,-0.3940,0.0505,0.8857
332,-0.2163,0.1091,0.7971
333,0.0583,0.1357,0.7368
