Sample,X,Y,Z
0,0.0522,-0.0249,0.9612
1,0.0027,-0.0122,0.9885
2,-0.0059,0.0203,1.0032
3,-0.0549,-0.0525,0.9683
4,-0.0879,-0.0173,0.9944
5,-0.0137,-0.0120,0.9749
6,0.0015,-0.0415,0.9624
7,0.0601,0.0203,0.9915
8,0.0884,-0.0012,0.9583
9,0.0288,0.0068,0.9836
10,-0.0146,0.0291,0.9888
11,-0.0500,-0.0249,0.9653
12,-0.1028,-0.0095,0.9922
13,-0.0149,0.0039,0.9768
14,-0.0120,-0.0532,0.9788
15,0.0396,0.0044,0.9944
16,0.0537,-0.0432,0.9758
17,0.0227,0.0415,0.9895
18,-0.0237,-0.0476,0.9565
19,0.0012,0.0176,0.9966
20,-0.0525,0.0088,0.9729
21,-0.0168,0.0154,0.9700
22,-0.0173,-0.0603,0.9565
23,0.0015,0.0564,1.0110
24,0.0205,-0.0579,0.9673
25,0.0273,-0.0146,0.9839
26,0.0071,-0.0134,0.9846
27,-0.0010,-0.0122,0.9768
28,-0.0193,-0.0210,0.9800
29,-0.0378,0.0112,0.9758
30,-0.0242,-0.0049,0.9868
31,-0.0129,0.0046,0.9653
32,-0.0051,-0.0198,0.9739
33,0.0168,0.0503,0.9866
34,0.0396,-0.0613,0.9602
35,0.0342,0.0212,1.0015
36,-0.0168,-0.0251,0.9856
37,-0.0273,-0.0210,0.9797
38,-0.0845,-0.0276,0.9692
39,-0.0425,0.0156,0.9944
40,0.0017,-0.0376,0.9565
41,0.0571,0.0273,0.9924
42,0.0586,0.0020,0.9583
43,0.0679,-0.0059,0.9812
44,0.0188,0.0039,0.9829
45,-0.0469,-0.0110,0.9895
46,-0.0774,-0.0063,0.9641
47,-0.1011,-0.0581,0.9751
48,-0.0776,0.0195,1.0002
49,-0.0276,-0.0525,0.9636
50,0.0840,0.0386,0.9934
51,0.1018,-0.0198,0.9604
52,0.1316,0.0066,0.9993
53,0.0442,-0.0042,0.9702
54,-0.0415,0.0078,0.9817
55,-0.1240,-0.0332,0.9612
56,-0.1184,-0.0093,0.9915
57,-0.0935,-0.0215,0.9771
58,0.0178,-0.0095,0.9702
59,0.0674,-0.0024,0.9788
60,0.0952,0.0225,0.9956
61,0.0781,-0.0225,0.9778
62,0.0022,0.0107,0.9797
63,-0.0635,-0.0127,0.9888
64,-0.0630,-0.0342,0.9788
65,-0.0867,-0.0312,0.9836
66,-0.0237,0.0132,0.9612
67,0.0278,-0.0667,0.9448
68,0.0496,0.0684,1.0073
69,0.0710,-0.0347,0.9565
70,0.0518,0.0361,0.9966
71,-0.0212,0.0212,0.9817
72,-0.0239,-0.0237,0.9827
73,-0.1121,-0.0305,0.9973
74,-0.0603,-0.0022,0.9839
75,0.0027,-0.0830,0.9448
76,0.0408,0.0181,1.0005
77,0.0725,-0.0222,0.9624
78,0.0513,-0.0249,0.9680
79,-0.0005,0.0750,0.9868
80,-0.0459,-0.0098,0.9631
81,-0.0742,-0.0029,0.9849
82,-0.0454,0.0122,1.0022
83,-0.0029,-0.0408,0.9780
84,0.0388,-0.0244,0.9871
85,0.0581,-0.0186,1.0005
86,0.0291,-0.0464,0.9592
87,-0.0059,-0.0112,0.9907
88,-0.0120,0.0203,0.9512
89,-0.0647,-0.0247,0.9639
90,-0.0530,0.0891,1.0073
91,-0.0483,-0.0654,0.9377
92,0.0115,0.0542,1.0178
93,0.0090,-0.0125,0.9731
94,0.0820,-0.0540,0.9954
95,0.0442,-0.0432,0.9829
96,0.0264,-0.0076,0.9934
97,-0.0142,-0.0618,0.9458
98,-0.0750,0.0085,0.9924
99,-0.0508,0.0405,0.9683
100,-0.0713,-0.0403,0.9536
101,-0.0107,0.1038,0.9983
102,-0.0029,-0.0403,0.9846
103,-0.1050,-0.0117,1.1001
104,-0.1160,-0.0396,0.9622
105,-0.0686,0.2625,0.9436
106,-0.0217,0.9114,0.8186
107,0.1279,1.1782,0.7466
108,0.2251,1.6526,0.9055
109,0.1143,1.4211,0.9192
110,0.1353,1.1799,1.0520
111,0.0461,0.7876,1.0640
112,0.0161,0.6362,1.1323
113,0.0146,0.7561,1.1106
114,0.0188,1.1086,1.0481
115,-0.0933,1.2827,0.9116
116,-0.1680,1.5288,0.9048
117,-0.3657,1.3994,0.8638
118,-0.4949,1.2820,0.6995
119,-0.5105,0.8958,0.9270
120,-0.2864,0.4602,0.8440
121,0.0381,0.4714,1.0071
122,0.3115,0.8401,0.9275
123,0.4819,0.9172,1.0461
124,0.3640,0.2305,1.1438
125,0.0476,-0.4683,1.4143
126,-0.2280,-1.1453,1.3003
127,-0.2463,-1.4097,1.1389
128,-0.1121,-1.3901,0.9758
129,0.1233,-1.2449,0.8423
130,0.3140,-0.8286,0.8196
131,0.2795,-0.1541,0.6470
132,0.0786,0.0457,0.5237
133,-0.2366,0.1277,0.6685
134,-0.4666,-0.3096,0.8616
135,-0.4353,-0.6187,1.0627
136,-0.2649,-0.6384,1.1685
137,0.0193,-0.2947,1.2593
138,0.3127,-0.0217,1.2329
139,0.3804,0.5325,1.2561
140,0.2571,0.8696,1.1030
141,0.0757,1.1389,0.9788
142,-0.0291,1.1333,0.8843
143,-0.0774,0.9204,0.8560
144,-0.0183,0.7395,0.8958
145,0.0947,0.5667,0.8206
146,0.1135,0.2830,0.8440
147,-0.0295,0.2534,0.9663
148,-0.1792,-0.0066,0.9653
149,-0.2341,-0.0696,1.0403
150,-0.2764,-0.2036,1.0413
151,-0.1194,-0.2651,1.0764
152,0.0464,-0.2390,1.0881
153,0.1931,-0.0381,1.0737
154,0.1511,-0.2322,0.9536
155,0.0801,-0.2600,0.9858
156,0.0098,-0.3386,0.9546
157,-0.0149,-0.4529,0.8940
158,0.0347,-0.4480,0.9028
159,0.1277,-0.3816,0.9409
160,0.1560,-0.3669,0.9360
161,0.0203,-0.3706,0.9270
162,-0.1125,-0.1577,0.9722
163,-0.3015,-0.0918,0.9817
164,-0.2925,-0.0146,0.9849
165,-0.1917,0.0090,0.9995
166,0.0237,0.1575,1.0491
167,0.1929,0.0823,0.9680
168,0.2729,0.2439,1.0452
169,0.1565,0.1855,1.0042
170,0.1072,0.0889,1.0015
171,-0.0056,0.0603,1.0044
172,-0.0449,0.0264,0.9749
173,-0.0376,-0.0151,0.9446
174,-0.0859,0.0181,0.9624
175,-0.1218,0.0393,0.9807
176,-0.1765,0.0737,0.9250
177,-0.1519,0.1284,0.9438
178,-0.0681,0.0759,0.9192
179,0.0664,-0.0801,0.9683
180,0.1863,0.1597,1.0688
181,0.2090,0.0735,0.9729
182,0.1125,0.0320,0.9937
183,-0.0188,-0.0356,1.0347
184,-0.1094,-0.0603,1.0403
185,-0.1240,-0.1328,0.9700
186,0.0171,-0.0251,0.9585
187,0.0896,-0.0420,0.9548
188,0.0854,0.0957,0.9729
189,0.0110,0.0200,0.8987
190,-0.1399,-0.0923,0.9243
191,-0.2058,-0.1382,0.9719
192,-0.1418,-0.1938,0.9866
193,0.0093,0.0381,0.9973
194,0.1692,0.1611,0.9614
195,0.2329,0.1211,0.9749
196,0.0950,0.0588,1.0359
197,-0.0642,0.0007,1.0425
198,-0.1804,-0.1357,0.9702
199,-0.1284,-0.0566,0.9993
200,0.0061,-0.0317,0.9729
201,0.1865,0.1145,0.9758
202,0.1921,0.1865,0.9146
203,0.0994,0.1152,0.9482
204,-0.1050,0.0232,1.0122
205,-0.2791,-0.2280,0.9983
206,-0.2266,-0.1887,1.0227
207,-0.1121,-0.1521,0.9622
208,0.0977,0.0037,0.9817
209,0.2444,0.0488,0.9507
210,0.2104,0.1873,0.9817
211,-0.0007,0.2151,0.9514
212,-0.1736,0.0994,0.9417
213,-0.2314,-0.1687,0.9495
214,-0.1394,-0.2815,1.0364
215,0.0691,-0.1707,1.0415
216,0.2395,-0.0234,0.9526
217,0.2424,0.1616,0.9604
218,0.0332,0.1550,0.9836
