Sample,X,Y,Z
0,-0.0281,-0.0254,0.9673
1,-0.0405,-0.0754,0.9448
2,-0.0334,-0.0149,1.0503
3,0.0022,0.0359,0.9749
4,0.0107,-0.0068,0.9133
5,0.0154,0.0127,1.0122
6,0.0085,0.0144,0.9612
7,-0.0261,-0.0376,0.8979
8,-0.0103,0.0923,1.0073
9,-0.0613,-0.0034,0.9407
10,-0.0569,-0.0342,0.9624
11,-0.0530,-0.0566,1.0181
12,-0.0002,0.0010,0.9546
13,0.0684,0.0254,0.9575
14,0.0559,0.0188,1.0151
15,0.0471,-0.0513,0.9739
16,-0.0105,-0.0339,0.9778
17,-0.0725,0.0327,0.9915
18,-0.0896,-0.0117,0.9124
19,-0.0605,0.0374,0.9712
20,-0.0083,0.0181,0.9534
21,0.0337,-0.0479,0.9465
22,0.0342,-0.0198,0.9946
23,0.0276,0.0305,0.9868
24,0.0012,0.0769,0.9546
25,-0.0615,-0.0249,0.9712
26,-0.0557,-0.0393,1.0093
27,-0.0220,-0.0571,0.9583
28,-0.0022,-0.0105,0.9614
29,0.0452,0.0664,0.9885
30,0.0449,-0.0076,0.9370
31,0.0020,0.0110,0.9702
32,-0.0640,-0.0300,0.9614
33,-0.0713,-0.0193,0.9585
34,-0.0566,0.0054,0.9836
35,-0.0125,0.0479,0.9753
36,0.0232,-0.0115,0.9563
37,0.0708,-0.0303,0.9937
38,0.0349,-0.0476,0.9824
39,-0.0325,-0.0044,0.9761
40,-0.0425,0.0183,0.9604
41,-0.0813,0.0310,0.9546
42,-0.0454,0.0388,0.9663
43,-0.0007,-0.0110,0.9485
44,0.0537,0.0015,0.9856
45,0.0740,-0.0034,0.9741
46,0.0339,0.0107,0.9839
47,-0.0266,-0.0334,0.9751
48,-0.0779,-0.0410,0.9868
49,-0.1450,-0.0618,0.9810
50,-0.0850,-0.0095,0.9429
51,-0.0164,0.0229,0.9683
52,0.0608,0.0781,0.9556
53,0.1140,-0.0469,0.9299
54,0.1182,0.0771,1.0071
55,0.0347,0.0266,0.9387
56,-0.0225,0.0171,0.9692
57,-0.1519,-0.0720,1.0132
58,-0.1216,-0.0244,0.9985
59,-0.0732,-0.0491,0.9448
60,-0.0293,0.0178,1.0024
61,0.0762,-0.0139,0.9634
62,0.0994,-0.0120,0.9358
63,0.0483,0.0210,1.0071
64,0.0317,0.0112,0.9241
65,-0.0544,-0.0342,0.9436
66,-0.1079,0.0696,1.0142
67,-0.1143,-0.0298,0.9075
68,-0.0759,0.0076,0.9963
69,0.0229,0.0117,1.0083
70,0.0977,-0.0923,0.9075
71,0.1167,0.0725,1.0549
72,0.0884,0.0173,0.9719
73,-0.0327,-0.0574,0.9172
74,-0.1055,0.0427,1.0754
75,-0.1313,-0.0884,0.9019
76,-0.1104,-0.0371,0.9341
77,-0.0535,0.0732,1.0337
78,0.0288,-0.0063,0.8616
79,0.0725,0.0334,0.9692
80,0.0798,0.0400,0.9976
81,0.0798,-0.0305,0.9194
82,0.0278,0.0032,1.0249
83,-0.0557,0.0015,1.0210
84,-0.0833,-0.0081,0.9622
85,-0.1118,-0.0625,0.9963
86,-0.1042,-0.0808,1.0015
87,0.0022,-0.0239,0.9475
88,0.0330,0.0205,0.9253
89,0.0728,0.1213,0.9788
90,0.0925,-0.0071,0.8892
91,0.0071,-0.0122,0.9780
92,0.0059,0.1042,1.0083
93,-0.0793,-0.0632,0.8794
94,-0.1106,0.0203,1.0764
95,-0.0947,-0.0835,0.9858
96,-0.0303,-0.0591,0.9543
97,-0.0186,0.0063,1.0413
98,0.0906,-0.0464,0.9495
99,0.0950,-0.0298,0.9399
100,0.1001,0.1345,1.0181
101,0.0283,0.0181,0.8616
102,-0.0925,0.0107,0.9905
103,-0.1428,0.0229,0.9956
104,-0.1523,-0.0713,0.8801
105,-0.0837,0.0811,1.0305
106,0.0193,-0.0623,0.9631
107,0.1130,-0.0596,0.9653
108,0.1123,0.0176,1.0601
109,0.0588,-0.0515,0.9348
110,-0.0076,-0.0420,0.9595
111,-0.0959,0.0759,1.0422
112,-0.0884,0.0266,0.8804
113,-0.0669,-0.0042,0.9456
114,-0.0266,0.0400,1.0366
115,0.0244,-0.0603,0.8735
116,0.0544,0.0339,0.9917
117,0.0554,0.0784,1.0005
118,-0.0020,-0.0693,0.8879
119,-0.0464,-0.0383,1.0659
120,-0.0935,-0.0811,1.0083
121,-0.0583,-0.0198,0.9182
122,-0.0381,0.0549,1.0139
123,0.0369,0.0627,0.9641
124,0.0596,-0.1050,0.9104
125,0.0459,0.0337,1.0444
126,-0.0110,-0.0195,0.8989
127,-0.0205,0.0669,0.9253
128,-0.0645,0.0798,1.0168
129,-0.0271,-0.0256,0.9504
130,-0.0266,-0.1370,0.9741
131,-0.0212,-0.0195,1.0503
132,0.0400,0.0217,0.9214
133,-0.0002,0.0283,0.9546
134,-0.0073,0.0691,1.0435
135,0.0125,-0.0640,0.8921
136,-0.0754,-0.0422,0.9934
137,-0.0615,0.0110,1.0083
138,-0.0212,-0.0598,0.8833
139,0.0134,0.1174,1.0366
140,0.1047,0.0547,0.9448
141,0.0544,-0.1165,0.9075
142,0.0107,0.0286,1.0823
143,-0.0566,-0.0884,0.9036
144,-0.1357,0.0627,0.9758
145,-0.1123,0.0398,1.0178
146,-0.0425,-0.0642,0.9146
147,-0.0007,-0.0200,1.0024
148,0.0977,-0.0125,0.9797
149,0.1235,0.0076,0.9163
150,0.0476,0.0676,0.9956
