Sample,X,Y,Z
0,-0.0444,0.0056,0.9729
1,0.0337,-0.0388,0.9683
2,0.0603,0.0112,1.0012
3,0.0781,0.0188,0.9810
4,0.0403,-0.0801,0.9526
5,-0.0195,0.0361,1.0190
6,-0.1001,-0.0442,0.9709
7,-0.0906,-0.0210,0.9495
8,-0.0576,0.0164,0.9797
9,0.0300,0.0603,0.9868
10,0.0918,-0.0637,0.9468
11,0.0872,0.0076,1.0071
12,0.0217,-0.0115,0.9915
13,-0.0283,-0.0107,0.9602
14,-0.0852,0.0303,0.9849
15,-0.0796,-0.0188,0.9983
16,-0.0476,-0.1025,0.9858
17,0.0012,0.0281,0.9956
18,0.0735,0.0166,0.9429
19,0.0999,0.0305,0.9543
20,0.0322,-0.0110,0.9963
21,-0.0151,0.0010,1.0032
22,-0.0842,-0.0544,0.9456
23,-0.0615,0.0505,0.9915
24,-0.0471,0.0056,0.9866
25,0.0007,-0.0681,0.9858
26,0.0339,-0.0242,0.9817
27,0.0312,-0.0002,0.9895
28,0.0432,-0.0188,0.9534
29,0.0220,-0.0068,0.9749
30,-0.0225,0.0701,1.0024
31,-0.0430,-0.0166,0.9436
32,-0.0483,-0.0098,0.9836
33,-0.0508,-0.0056,0.9956
34,0.0042,-0.0552,0.9905
35,0.0225,0.0100,0.9788
36,0.0625,0.0134,0.9758
37,0.0583,0.0215,0.9858
38,0.0117,-0.0603,0.9663
39,-0.0332,0.0002,0.9927
40,-0.0842,-0.0073,0.9634
41,-0.0671,0.0117,0.9702
42,-0.0544,0.0122,0.9897
43,0.0137,0.0012,0.9897
44,0.0769,-0.0984,0.9644
45,0.0566,0.0342,0.9946
46,0.0554,0.0208,0.9653
47,-0.0024,0.0117,0.9758
48,-0.0583,-0.0229,0.9905
49,-0.0720,-0.0447,0.9792
50,-0.0388,-0.0195,0.9849
51,-0.0186,0.0146,0.9517
52,0.0405,0.0171,0.9780
53,0.0420,0.0698,0.9956
54,0.0166,-0.0796,0.9700
55,0.0215,-0.0371,0.9915
56,-0.0610,-0.0376,0.9976
57,-0.0154,0.0916,0.9846
58,-0.0352,-0.0698,0.9185
59,0.0183,0.0762,1.0247
60,0.0139,-0.1101,0.9575
61,0.0654,-0.0076,0.9963
62,-0.0115,-0.0105,0.9661
63,0.0022,0.0771,0.9966
64,-0.0828,-0.0479,0.9417
65,-0.0598,0.0334,1.0122
66,-0.0098,-0.0698,0.9514
67,0.0039,-0.0461,0.9934
68,0.0789,0.0701,0.9946
69,0.0488,-0.0276,0.9497
70,0.0435,0.0522,0.9856
71,-0.0598,-0.0613,0.9829
72,-0.0400,0.0061,1.0032
73,-0.1116,-0.1091,0.9438
74,-0.0186,0.1150,1.0217
75,0.0112,-0.0366,0.9094
76,0.0786,0.0354,1.0110
77,0.0586,-0.0334,0.9741
78,0.0168,-0.0825,0.9976
79,-0.0054,0.0818,0.9963
80,-0.0896,-0.0789,0.9417
81,-0.0361,0.0801,1.0063
82,-0.0493,-0.0925,0.9380
83,0.0188,0.0315,1.0334
84,0.0327,-0.0767,0.9338
85,0.0967,0.0674,1.0063
86,0.0115,0.0320,0.9663
87,0.0085,-0.0144,0.9634
88,-0.0640,-0.0615,0.9800
89,-0.1279,0.0190,1.0090
90,-0.0513,-0.0122,0.9634
91,-0.0027,0.0278,0.9653
92,0.0608,-0.0291,0.9956
93,0.1155,-0.0383,0.9966
94,0.0518,-0.0466,0.9595
95,0.0276,0.0498,0.9819
96,-0.0610,-0.0317,0.9592
97,-0.1033,0.0161,0.9985
98,-0.0757,-0.0269,0.9712
99,-0.0403,0.0161,0.9683
100,0.0129,-0.0388,0.9600
101,0.1016,0.0598,1.0090
102,0.0632,-0.0369,0.9690
103,0.0698,-0.0002,0.9895
104,-0.0093,-0.0232,0.9878
105,-0.0908,-0.0081,1.0012
106,-0.0857,-0.0403,0.9573
107,-0.0984,-0.0112,0.9758
108,-0.0151,0.0222,0.9702
109,0.0750,-0.0154,0.9624
110,0.1162,0.0518,0.9731
111,0.0840,-0.0457,0.9651
112,0.0142,0.0112,1.0198
113,-0.0969,-0.0295,0.9595
114,-0.1030,0.0479,0.9956
115,-0.1030,-0.0498,0.9644
116,-0.0015,-0.0544,0.9963
117,0.0920,0.0107,1.0054
118,0.0798,-0.0178,0.9622
119,0.0742,-0.0193,0.9556
120,-0.0198,0.0286,0.9905
