Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33599,410.14,410.25,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2544,3564,0,10,-11
1,0.20,33598,410.13,410.25,0.12,16.8,16.8,0.0,0.0,-0.0,-0.0,2532,3551,0,11,-12
2,0.36,33599,410.14,410.25,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2544,3568,0,10,-11
3,0.53,33600,410.16,410.25,0.10,13.4,13.4,0.0,-0.0,-0.0,-0.0,2557,3583,0,9,-9
4,0.61,33599,410.14,410.25,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2544,3568,0,10,-11
5,0.77,33598,410.13,410.25,0.12,16.8,16.8,0.0,0.0,-0.0,-0.0,2532,3554,0,11,-12
6,0.94,33599,410.14,410.25,0.11,15.1,15.1,0.0,-0.0,-0.0,-0.0,2544,3569,0,10,-11
7,1.09,33593,410.07,410.25,0.18,25.2,25.2,0.0,0.0,-0.0,-0.0,2469,3482,0,14,-20
8,1.18,33592,410.06,410.25,0.20,26.9,26.9,0.0,0.0,-0.0,-0.0,2457,3468,0,15,-21
9,1.35,33596,410.11,410.25,0.13,18.5,18.5,0.0,0.0,-0.0,-0.0,2507,3528,0,12,-14
10,1.51,33595,410.10,410.25,0.15,20.1,20.1,0.0,0.0,-0.0,-0.0,2494,3512,0,12,-15
11,1.67,33597,410.12,410.25,0.12,16.8,16.8,0.0,-0.0,-0.0,-0.0,2519,3544,0,11,-12
12,1.76,33598,410.13,410.25,0.11,15.1,15.1,0.0,-0.0,-0.0,-0.0,2532,3564,0,10,-11
13,1.92,33598,410.13,410.25,0.11,15.1,15.1,0.0,-0.0,-0.0,-0.0,2532,3562,0,10,-11
14,2.09,33599,410.14,410.24,0.10,13.4,13.4,0.0,-0.0,-0.0,-0.0,2544,3574,0,9,-9
15,2.25,33597,410.12,410.24,0.12,16.8,16.8,0.0,-0.0,-0.0,-0.0,2519,3546,0,11,-12
16,2.34,33597,410.12,410.24,0.12,16.8,16.8,0.0,0.0,-0.0,-0.0,2519,3543,0,11,-12
17,2.49,33599,410.14,410.24,0.10,13.4,13.4,0.0,-0.0,-0.0,-0.0,2544,3571,0,9,-9
18,2.66,33599,410.14,410.24,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2544,3567,0,9,-9
19,2.82,33599,410.14,410.24,0.10,13.4,13.4,0.0,-0.0,-0.0,-0.0,2544,3569,0,9,-9
20,2.90,33600,410.16,410.24,0.09,11.8,11.8,0.0,-0.0,-0.0,-0.0,2557,3586,0,8,-8
21,3.06,33602,410.18,410.24,0.06,8.4,8.4,0.0,-0.0,-0.0,-0.0,2582,3612,0,6,-5
22,3.22,33600,410.16,410.24,0.09,11.8,11.8,0.0,-0.0,-0.0,-0.0,2557,3583,0,8,-8
23,3.38,33601,410.17,410.24,0.06,8.4,8.4,0.0,-0.0,-0.0,-0.0,2569,3596,0,6,-6
24,3.47,33601,410.17,410.23,0.06,8.4,8.4,0.0,-0.0,-0.0,-0.0,2569,3596,0,6,-6
25,3.63,33601,410.17,410.23,0.06,8.4,8.4,0.0,0.0,-0.0,-0.0,2569,3591,0,6,-6
26,3.79,33602,410.18,410.23,0.05,6.7,6.7,0.0,-0.0,-0.0,-0.0,2582,3607,0,5,-4
27,3.95,33601,410.17,410.23,0.06,8.4,8.4,0.0,-0.0,-0.0,-0.0,2569,3595,0,6,-6
28,4.11,33600,410.16,410.23,0.07,10.1,10.1,0.0,0.0,-0.0,-0.0,2557,3579,0,7,-7
29,4.20,33601,410.17,410.23,0.06,8.4,8.4,0.0,0.0,-0.0,-0.0,2569,3593,0,6,-6
30,4.36,33601,410.17,410.23,0.06,8.4,8.4,0.0,0.0,-0.0,-0.0,2569,3592,0,6,-6
31,4.52,33598,410.13,410.22,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2532,3552,0,9,-10
32,4.61,33598,410.13,410.22,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2532,3551,0,8,-8
33,4.78,33599,410.14,410.22,0.07,10.1,10.1,0.0,0.0,-0.0,-0.0,2544,3566,0,7,-7
34,4.95,33597,410.12,410.22,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2519,3536,0,8,-10
35,5.04,33596,410.11,410.22,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2507,3523,0,9,-11
36,5.21,33598,410.13,410.22,0.09,11.8,11.8,0.0,-0.0,-0.0,-0.0,2532,3556,0,8,-8
37,5.38,33596,410.11,410.21,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2507,3524,0,9,-11
38,5.46,33596,410.11,410.21,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2507,3526,0,9,-11
39,5.64,33597,410.12,410.21,0.09,11.8,11.8,0.0,-0.0,-0.0,-0.0,2519,3543,0,8,-9
40,5.80,33597,410.12,410.21,0.09,11.8,11.8,0.0,-0.0,-0.0,-0.0,2519,3543,0,8,-9
41,5.96,33597,410.12,410.21,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2519,3542,0,8,-9
42,6.05,33596,410.11,410.20,0.10,13.4,13.4,0.0,-0.0,-0.0,-0.0,2507,3531,0,8,-10
43,6.22,33598,410.13,410.20,0.07,10.1,10.1,0.0,-0.0,-0.0,-0.0,2532,3557,0,7,-7
44,6.39,33597,410.12,410.20,0.07,10.1,10.1,0.0,-0.0,-0.0,-0.0,2519,3543,0,6,-7
45,6.47,33595,410.10,410.20,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2494,3515,0,8,-10
46,6.64,33592,410.06,410.19,0.13,18.5,18.5,0.0,0.0,-0.0,-0.0,2457,3474,0,10,-15
47,6.80,33596,410.11,410.19,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2507,3528,0,7,-9
48,6.89,33595,410.10,410.19,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2494,3513,0,8,-10
49,7.05,33594,410.08,410.19,0.11,15.1,15.1,0.0,0.0,-0.0,-0.0,2482,3502,0,9,-12
50,7.22,33594,410.08,410.18,0.10,13.4,13.4,0.0,-0.0,-0.0,-0.0,2482,3509,0,8,-10
51,7.39,33596,410.11,410.18,0.07,10.1,10.1,0.0,-0.0,-0.0,-0.0,2507,3534,0,6,-7
52,7.46,33594,410.08,410.18,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2482,3503,0,8,-10
53,7.63,33594,410.08,410.18,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2482,3505,0,8,-10
54,7.79,33595,410.10,410.17,0.07,10.1,10.1,0.0,-0.0,-0.0,-0.0,2494,3521,0,6,-8
55,7.96,33593,410.07,410.17,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2469,3488,0,8,-10
56,8.04,33593,410.07,410.17,0.10,13.4,13.4,0.0,0.0,-0.0,-0.0,2469,3488,0,8,-10
57,8.20,33597,410.12,410.17,0.05,6.7,6.7,0.0,-0.0,-0.0,-0.0,2519,3547,0,4,-5
58,8.37,33594,410.08,410.16,0.07,10.1,10.1,0.0,-0.0,-0.0,-0.0,2482,3504,0,6,-8
59,8.53,33593,410.07,410.16,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2469,3490,0,7,-9
60,8.61,33596,410.11,410.16,0.05,6.7,6.7,0.0,-0.0,-0.0,-0.0,2507,3535,0,4,-5
61,8.78,33595,410.10,410.15,0.06,8.4,8.4,0.0,-0.0,-0.0,-0.0,2494,3518,0,5,-6
62,8.95,33594,410.08,410.15,0.06,8.4,8.4,0.0,0.0,-0.0,-0.0,2482,3503,0,5,-6
63,9.04,33595,410.10,410.15,0.05,6.7,6.7,0.0,-0.0,-0.0,-0.0,2494,3520,0,4,-5
64,9.20,33592,410.06,410.14,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2457,3480,0,7,-9
65,9.37,33592,410.06,410.14,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2457,3475,0,7,-9
66,9.53,33594,410.08,410.14,0.05,6.7,6.7,0.0,-0.0,-0.0,-0.0,2482,3506,0,4,-5
67,9.62,33594,410.08,410.13,0.05,6.7,6.7,0.0,-0.0,-0.0,-0.0,2482,3506,0,4,-5
68,9.78,33591,410.05,410.13,0.09,11.8,11.8,0.0,0.0,-0.0,-0.0,2444,3463,0,6,-9
69,9.94,33592,410.06,410.13,0.07,10.1,10.1,0.0,-0.0,-0.0,-0.0,2457,3481,0,6,-8
